grad_norm,P09:episode_rewards,fps,policy_loss,advantage_norm,P01:episode_rewards,policy_entropy,value_loss,epoch_idx,episode_length,frames,PMM:episode_rewards,explained_variance
1.1326827623245408,3.0,213,0.019676498500921298,1.7545104652643204,0.0,1.3480213660001754,0.04123977859497245,1,172.7027027027027,8000,1.2162162162162162,-3.00557199716568
0.3415419114612016,4.0,180,0.0006106950237881392,1.3793343045562505,0.0,1.3412762439250947,0.016318737542787856,2,187.7530864197531,16000,1.5555555555555556,-0.043919381499290464
0.36827559223287054,5.0,188,-0.0005888947047060356,1.436004225462675,0.0,1.346389297246933,0.016958449628582457,3,197.9,24000,1.87,0.12457889914512635
0.39092379115310133,5.1000000000000085,196,0.0034195150874438696,1.4071082365512848,0.0,1.3711931216716766,0.016270404494862306,4,202.7,32000,1.93,0.20244497299194336
0.6055892294953668,4.1000000000000085,197,-0.008552753016119822,1.5708248490095138,0.0,1.3674411046504975,0.023257722769631072,5,197.82,40000,1.72,0.3390533298254013
0.41465704990178287,3.0,198,-0.00046903774244128727,1.3347316613793374,0.0,1.3649493515491486,0.01381555837811902,6,190.85,48000,1.61,0.5267692708969116
0.5451677720385235,3.0,200,-0.009003671955288155,1.534869258403778,0.0,1.3522506248950958,0.019221292952424848,7,183.89,56000,1.45,0.3483040153980255
0.43468318026337466,4.1000000000000085,202,0.0031969200185267255,1.344673104584217,0.0,1.3672668898105622,0.014568375954404474,8,191.9,64000,1.6,0.6072939950227737
0.43663545512868013,5.0,202,-0.00852887281565927,1.3011887216567992,0.0,1.3506893229484558,0.012851810256252065,9,192.57,72000,1.63,0.8194068944454194
0.43683466024763357,5.0,203,-0.0003099055704660714,1.2373566204309463,0.0,1.359015358686447,0.011635345339309424,10,198.22,80000,1.8,0.787367712855339
0.45990452296781115,5.0,202,-0.006023674111929722,1.2924412855505942,0.0,1.3390059340000153,0.01267085874103941,11,200.68,88000,1.89,0.8767390716075897
0.4852809833929138,6.1000000000000085,202,-0.006728359283588361,1.3368014070391654,0.0,1.3416259360313416,0.01679636209853925,12,213.14,96000,2.29,0.8462975323200226
0.28129114733978094,6.0,203,-0.0004264426921145059,0.9665406069159508,0.0,1.321130188703537,0.006872406050097197,13,220.73,104000,2.42,0.9367479914426804
0.3134190914039417,5.0,205,-0.001685269090667134,0.9065294475853443,0.0,1.3315687930583955,0.006194370323210023,14,204.92,112000,1.97,0.9449332702159882
0.2783875042213161,5.0,206,-0.0007413112034555525,0.9289867243170739,0.0,1.3424243426322937,0.006486929408274591,15,199.34,120000,1.91,0.9353257095813752
0.30192859912536096,5.1000000000000085,207,-0.001249904803116806,1.0085341668128966,0.0,1.3387476444244384,0.007404648349038325,16,205.41,128000,2.06,0.9375896131992341
0.27846811524068543,6.0,207,-0.0009826031513512135,1.015571850836277,0.0,1.360302336215973,0.008223127447708976,17,214.17,136000,2.24,0.9124584251642227
0.3359460742105636,6.0,208,-0.0029459569530445153,1.0389887699484825,0.0,1.3378619647026062,0.008672830447321757,18,213.91,144000,2.24,0.9295072853565216
0.21870882306967715,6.1000000000000085,208,-0.0014443521416978911,0.71528110653162,0.0,1.3232198584079742,0.004493231557426043,19,206.7,152000,2.07,0.9618059080839158
0.28926593822772806,6.0,208,-0.0028682582998590077,0.9133960348367691,0.0,1.3536738216876985,0.006668221224681474,20,198.65,160000,1.84,0.9321139883995057
0.2788645918663171,5.0,210,-7.873005204601214e-05,0.9335187405347825,0.0,1.3587125420570374,0.0064074194425484165,21,190.13,168000,1.62,0.8982026851177216
0.22963348998448768,5.1000000000000085,210,0.0003609769803006202,0.8506025293469429,0.0,1.3618117785453796,0.005794256672379561,22,210.63,176000,2.14,0.9426429700851441
0.20090348110927148,6.1000000000000085,211,0.00011021053680451587,0.6711091606318951,0.0,1.3436556708812715,0.0035953038901789113,23,219.29,184000,2.39,0.9671362185478211
0.2194119376825998,5.1000000000000085,212,-0.0009535614249762147,0.7735602381825447,0.0,1.355724935531616,0.004939714195206762,24,203.9,192000,1.95,0.9472666645050049
0.22308629506240152,6.1000000000000085,211,-0.0010609224619111046,0.8379674047231674,0.0,1.353111093044281,0.005387206480372697,25,204.35,200000,2.06,0.9332026463747024
0.21121477594847182,6.0,211,-0.0006756429982488043,0.7485476337373257,0.0,1.3570679533481598,0.004352674025285524,26,203.78,208000,2.03,0.951038413643837
0.26430660570714176,5.0,212,-0.0025102937543124426,0.9190377813577651,0.0,1.351634714603424,0.006636940409080126,27,197.29,216000,1.89,0.9353931963443756
0.16466134921662476,5.0,212,0.00023945251399709377,0.6285967834293842,0.0,1.3403544437885284,0.0030871731031220408,28,197.74,224000,1.83,0.9692249518632888
0.261845720022704,5.0,212,0.00047441643589991145,0.8753116512298584,0.0,1.3643638610839843,0.0067385678796563295,29,205.05,232000,2.04,0.933116073012352
0.2183693416702873,5.0,212,-0.0011634029139531777,0.7866119900345803,0.0,1.3472711431980133,0.005168558158620726,30,205.69,240000,2.01,0.95226292014122
0.24436690715310871,5.0,212,-0.002213093351965654,0.845034037232399,0.0,1.3623811030387878,0.0059851841322961265,31,206.35,248000,2.06,0.9494504505395889
0.17393507350212523,5.0,213,-0.001822159800794907,0.6556640061736106,0.0,1.3523538970947266,0.0037410103266302033,32,207.49,256000,2.1,0.9647613561153412
0.23548160968835663,6.0,212,-0.0008097988108056597,0.856148957312107,0.0,1.367335742712021,0.00562090877094306,33,211.66,264000,2.22,0.9323891669511795
