value_loss,PMM:episode_rewards,explained_variance,advantage_norm,clip_fraction,episode_length,fps,P09:episode_rewards,policy_loss,grad_norm,approx_kl_divergence,P01:episode_rewards,epoch_idx,policy_entropy,frames
641589860.8725805,174.16666666666666,-0.4646426379680634,15.968717885017394,0.298193359375,324.93333333333334,586,300.00000000000034,0.02212102136691101,618915858.0976616,599123.0732344405,25.0,1,1.6881235655979254,10240
0.012403206660746947,202.11864406779662,-1.4901161193847657e-09,15.968717676401138,0.235595703125,334.9830508474576,540,425.00000000000034,-0.0020938622692483477,0.05607216656525915,0.003166317412660646,50.0,2,1.747682226449251,20480
0.012568886663211742,214.72222222222223,-1.4901161193847657e-09,15.968717944622039,0.1548583984375,339.24444444444447,540,525.0,-0.00041104791562247557,0.05606447774434953,0.002395896477946735,50.0,3,1.6907550118863583,30720
0.013288742856093449,244.25,2.2351741790771484e-09,15.968717712163926,0.23349609375,349.08,518,525.0,-0.002050393186254951,0.05503604630224797,0.0035762989031695724,75.0,4,1.6251295395195484,40960
0.013154664367903024,234.0,-1.4901161193847656e-08,15.968717783689499,0.21552734375,352.1,507,425.0,-0.001518142672284739,0.05395798272815248,0.0031188384190983243,72.50000000000001,5,1.5858111947774887,51200
0.013395713524369057,261.0,-2.6077032089233397e-09,15.96871783733368,0.1791259765625,360.2,501,502.5000000000002,-0.0018104923343344125,0.052310844127485434,0.0024665859098945476,122.5,6,1.6039707943797112,61440
0.013560885439801496,236.75,-7.450580596923829e-10,15.968717807531357,0.1906982421875,353.69,497,375.0,-0.0015761395243316656,0.05263158039900401,0.0030006794549535696,97.5,7,1.605755516141653,71680
0.00997814344955259,235.0,1.1175870895385742e-08,15.968717700242996,0.2507568359375,352.08,495,477.5000000000002,-0.0015650432869733777,0.053553485578886485,0.0034298163678386116,75.0,8,1.7019386298954486,81920
0.010643487700872357,230.25,2.0489096641540527e-08,15.96871783733368,0.214990234375,354.59,490,475.0,-0.0017761237308150158,0.052497107451127345,0.002769622542700745,75.0,9,1.6967704854905605,92160
0.011526311511079256,215.75,-8.195638656616212e-09,15.968717902898788,0.213671875,348.11,489,475.0,-0.0019203440053388477,0.05362797642447631,0.0027428229010951098,50.0,10,1.6491039976477624,102400
0.012062783444707747,231.0,7.078051567077636e-09,15.96871770620346,0.2155029296875,355.73,486,475.0,-0.0017600249204406282,0.052014427516994,0.0036692224040280053,72.50000000000001,11,1.550762290507555,112640
0.011611313596949913,229.5,0.0,15.968717843294144,0.1814453125,355.36,484,475.0,-0.001601960731932195,0.0514100563073446,0.0027890774034744934,75.0,12,1.5527877137064934,122880
0.011951806567958556,252.0,-7.078051567077636e-09,15.968717646598815,0.2249267578125,362.85,481,552.5000000000002,-0.0016674216396495467,0.05093010542680063,0.0035983541989935476,75.0,13,1.546631184965372,133120
0.011431030703533906,244.75,-1.0058283805847169e-08,15.968717777729035,0.17548828125,364.64,480,552.5000000000002,-0.0010192965048190672,0.05263122381648159,0.002462404489546088,75.0,14,1.5515808016061783,143360
0.011518442108354066,253.0,7.078051567077636e-09,15.96871782541275,0.176416015625,369.55,479,552.5000000000002,-0.0016482208542583977,0.049891180348842476,0.0024629795968508007,100.0,15,1.5337462797760963,153600
0.012255858948628883,252.75,-5.215406417846679e-09,15.968717777729035,0.1964599609375,371.15,478,550.0,-0.0019318841143103783,0.0489234134736735,0.003015184700905138,122.5,16,1.393854595720768,163840
0.013080182070552837,233.5,-3.725290298461914e-09,15.968717712163926,0.0934814453125,368.11,478,327.5000000000002,-0.0006772138414817164,0.039721977187636204,0.0016410134385523635,125.0,17,1.2330587826669217,174080
0.011298583960251563,234.75,1.3411045074462891e-08,15.968717551231384,0.1373291015625,370.03,477,352.5000000000002,-0.0009648680184909608,0.04453824251624845,0.0023137877726227885,125.0,18,1.3329793438315392,184320
0.012242813585908152,226.5,-2.570450305938721e-08,15.968717724084854,0.1581787109375,364.78,477,325.0,-0.0014489938697806793,0.04234874212829032,0.0028262015861685087,125.0,19,1.3007947243750095,194560
0.011614567460492253,220.0,-2.9802322387695314e-09,15.968717819452285,0.1345458984375,369.6,474,300.0,-0.0006284329701884417,0.04100780677773513,0.0026993163730651302,147.5,20,1.2812292233109475,204800
0.013672043857513926,229.25,-9.685754776000977e-09,15.96871793270111,0.1540283203125,372.46,473,300.0,-0.0014645425140770384,0.0473855308833684,0.0028381024030522894,150.0,21,1.4101390421390534,215040
0.01650568656332325,253.75,-6.332993507385254e-09,15.968717849254608,0.1461669921875,372.31,472,352.5000000000002,-0.0007114251046004938,0.05233952688949315,0.0021720371056062502,150.0,22,1.5004698500037192,225280
0.015424320675083435,274.75,-1.4156103134155273e-08,15.968717831373215,0.1776611328125,365.21,472,375.0,-0.001107780376332812,0.05530340814701963,0.0026623788505048653,150.0,23,1.5426904931664467,235520
0.016850913774396757,301.25,-1.4901161193847656e-08,15.968718165159226,0.189404296875,358.68,472,527.5000000000002,-0.0013651047607709187,0.05660999792823977,0.002566937671235792,175.0,24,1.5916938804090024,245760
0.01509894842893118,301.75,-2.9802322387695314e-09,15.96871775984764,0.1827392578125,356.09,473,550.0,-0.0009645990074204746,0.05756729298669909,0.002669831797834377,175.0,25,1.651909453421831,256000
0.014682049432303756,288.75,8.940696716308593e-09,15.968717980384827,0.1856689453125,351.94,472,430.0000000000004,-0.0013815125581459141,0.0564919676569388,0.0028425035207192196,175.0,26,1.6158196575939656,266240
