grad_norm,frames,PMM:episode_rewards,policy_loss,P09:episode_rewards,epoch_idx,P01:episode_rewards,policy_entropy,approx_kl_divergence,explained_variance,value_loss,fps,advantage_norm,clip_fraction,episode_length
109112954.74616139,10240,15.625,0.034596110431948546,0.0,1,0.0,0.209648764022063,246495.83990334993,-1.5700778786092997,87489783.54693972,193,15.96870185136795,0.2440673828125,279.1875
0.34860065536750395,20480,6.944444444444445,0.0004307075169435848,0.0,2,0.0,0.026867529413038937,0.07210145726174418,-2.458691596984863e-08,0.02700230513540518,176,15.968011695146561,0.017431640625,276.9166666666667
0.003156631571865051,30720,0.0,9.457935902901227e-07,0.0,3,0.0,9.389069114149607e-05,2.2737367544323207e-14,-1.4528632164001465e-08,2.1889647791285694e-06,189,15.849352020025254,0.0,274.61
0.10870067582286631,40960,0.0,-3.2614990459478576e-07,0.0,4,0.0,0.0015212387847441278,8.103162940642506e-09,-3.7252902984619143e-10,0.0030591089000774115,197,15.260818874835968,0.0,274.82
0.07351603483880823,51200,4.0,0.0028545907643433566,0.0,5,0.0,0.5851287623110693,0.017814273726223996,-2.9802322387695314e-09,0.0015685598924442517,204,15.966469866037368,0.2027587890625,276.3
0.031414439031597324,61440,12.0,0.0011960285002714955,50.0,6,0.0,1.216908324509859,0.010095239173551818,-7.450580596923828e-09,0.002267004704813047,209,15.968700444698333,0.303076171875,279.39
0.03764268705393132,71680,22.75,0.0002392731694271788,50.0,7,0.0,1.4487160287797451,0.01089753896080765,6.332993507385254e-09,0.0020353200167505746,211,15.968682414293289,0.3864501953125,282.3
0.04198994021628209,81920,39.25,4.157527073402889e-05,100.0,8,0.0,1.4507142923772336,0.006218552628456564,-5.960464477539063e-09,0.00392243072257088,214,15.968714743852615,0.3383056640625,287.07
0.037362001274146246,92160,39.25,-0.0012539637642476008,100.0,9,0.0,1.5448230288922786,0.0072395424210753845,-1.899898052215576e-08,0.0023464464016196727,216,15.96869916319847,0.3879638671875,285.84
0.047010330670016656,102400,58.0,-0.0010320344776118874,125.0,10,0.0,1.647276458889246,0.005250665030166602,-1.6391277313232423e-08,0.005399706047987962,218,15.968709701299668,0.3041259765625,292.18
0.03944980800019482,112640,56.0,-0.0010654189154593041,125.0,11,0.0,1.547435201704502,0.004357879924009466,-1.4901161193847657e-09,0.0032449757349574783,220,15.9687088906765,0.27412109375,293.57
