P09:episode_rewards,PMM:episode_rewards,grad_norm,fps,episode_length,epoch_idx,frames,policy_entropy,policy_loss,value_loss,P01:episode_rewards,explained_variance,advantage_norm
3.1000000000000014,1.15,19.498685919333262,251,173.75,1,8000,1.3166071922704576,0.033825318727758714,0.8766981910460617,0.0,-0.9397231251001358,4.011121162772179
3.0,1.1839080459770115,0.1617629852676722,158,175.5977011494253,2,16000,1.3740258741378784,0.00014124017536232714,0.009072654284955206,0.0,-0.3176883190870285,0.9470972859859467
4.1000000000000085,1.71,0.14358801187233225,182,191.97,3,24000,1.378320082426071,-0.00012031378457322717,0.010463013186945319,0.0,-0.5315758979320526,1.0456518180668355
5.0,1.76,0.13940355110603023,199,192.56,4,32000,1.37673752784729,0.0008462743135169148,0.009569504223109107,0.0,-0.30524258136749266,0.9718313864432275
5.0,1.56,0.13910693773097324,209,188.64,5,40000,1.3823634612560272,0.0015148739959113299,0.008694975255684767,0.0,-2.829365528821945,0.8515364989079535
4.0,1.54,0.12456844824318514,216,189.11,6,48000,1.3855337047576903,-0.0003908817586489022,0.009136584607767872,0.0,-0.20580273032188415,0.9500074521824717
3.0,1.23,0.09380640228536942,222,176.89,7,56000,1.3844035863876343,-0.00034074075752869246,0.007407656618661349,0.0,-0.2460285586118698,0.8233806826919318
3.0,1.13,0.11722200687395101,225,173.03,8,64000,1.3855988526344298,0.001174314158852212,0.009068167580662702,0.0,-0.2264415568113327,0.9330246030911803
3.1000000000000085,1.38,0.10426366053161035,228,183.66,9,72000,1.3845559990406036,-0.0003342927916673943,0.009560531364440976,0.0,-0.11122017085552216,0.988205240368843
3.0,1.38,0.0839999533643786,233,182.88,10,80000,1.3832438850402833,0.0006333088355313521,0.007746865614535636,0.0,-0.14732056021690368,0.835853134766221
3.0,1.02,0.0893805689077572,234,167.96,11,88000,1.382335628271103,0.0013211395981488749,0.00674965049333423,0.0,-0.5860329467058182,0.735119216889143
2.0,0.93,0.10718298576031766,236,164.24,12,96000,1.3842670345306396,-0.00022956873290240764,0.007971990489396603,0.0,-0.24198042333126069,0.8292026644013822
3.0,1.04,0.10995220452135528,238,168.65,13,104000,1.383794561624527,-0.00015537569350271952,0.00850419064313428,0.0,-0.20128427684307099,0.8641175765916705
