#{"t_start": 1543698237.0054913, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
6.0,377,72.495456
1.0,157,92.01319
5.0,336,110.714136
1.0,155,118.926916
1.0,155,126.7731
0.0,129,133.044131
0.0,125,139.031781
0.0,129,145.946239
3.0,253,158.107425
3.0,248,171.021187
0.0,129,177.235132
0.0,125,183.59013
0.0,125,189.375251
2.0,208,199.425074
0.0,125,205.597615
1.0,171,213.995109
0.0,127,220.540923
0.0,127,226.209591
3.0,248,238.522882
0.0,127,244.455762
0.0,125,250.951968
1.0,172,259.836792
0.0,127,265.911197
0.0,129,271.696464
3.0,272,286.250658
1.0,155,293.195335
0.0,125,299.351893
1.0,156,306.823737
0.0,129,319.463554
0.0,129,325.49097
1.0,155,333.792328
0.0,127,339.900975
9.0,403,360.353018
1.0,175,369.312529
0.0,127,376.184276
1.0,173,385.105953
0.0,125,391.033598
0.0,129,396.925853
0.0,125,403.234776
4.0,299,419.84875
1.0,173,428.806948
7.0,442,454.823925
4.0,315,472.388733
2.0,202,482.014997
2.0,201,492.562954
3.0,248,506.806507
4.0,297,522.20815
4.0,297,538.115005
2.0,202,549.433434
0.0,127,555.563056
2.0,198,565.894248
0.0,127,571.905446
0.0,127,578.485466
9.0,404,598.609876
0.0,125,604.664171
1.0,153,611.257747
0.0,129,616.823468
4.0,297,631.989629
0.0,129,638.111705
0.0,125,643.772107
5.0,350,662.074816
0.0,127,667.648386
0.0,129,673.628532
5.0,350,692.2335
0.0,129,698.800011
0.0,125,704.878389
5.0,350,722.295638
9.0,380,743.261155
2.0,200,753.582641
0.0,127,760.822105
0.0,129,766.572684
0.0,129,772.247475
0.0,129,778.385652
0.0,127,784.33806
0.0,129,790.736875
0.0,127,796.945772
2.0,202,807.315761
0.0,129,813.06641
0.0,129,819.130859
4.0,297,834.462292
0.0,129,841.022527
0.0,129,847.875786
0.0,127,853.392666
5.0,372,872.074578
1.0,175,881.11976
5.0,346,899.241613
0.0,129,905.484693
3.0,248,919.805969
4.0,297,934.965098
9.0,404,957.2581
2.0,202,968.554558
0.0,125,974.436285
0.0,125,979.854303
1.0,173,987.683438
7.0,429,1011.18029
11.0,475,1035.652214
2.0,200,1045.934509
2.0,190,1055.359601
4.0,318,1071.406396
5.0,329,1087.838086
1.0,173,1097.046412
0.0,127,1103.374392
9.0,382,1122.591137
0.0,129,1128.936332
1.0,173,1136.726941
4.0,321,1153.460134
0.0,127,1159.838367
0.0,127,1165.334822
1.0,173,1173.78365
0.0,129,1180.537344
5.0,328,1198.894685
1.0,175,1207.351574
6.0,401,1229.042181
0.0,129,1235.718287
2.0,222,1247.463856
1.0,155,1254.667976
1.0,174,1263.090549
1.0,157,1270.559363
0.0,129,1284.610081
1.0,172,1292.628288
5.0,331,1309.291512
1.0,157,1317.076019
1.0,173,1325.557055
1.0,157,1333.245783
1.0,173,1342.132862
0.0,129,1348.837908
0.0,127,1355.327463
5.0,329,1372.245796
2.0,203,1383.179693
0.0,129,1389.02011
0.0,127,1394.543485
1.0,154,1401.625273
2.0,184,1410.264065
5.0,350,1431.714647
2.0,202,1442.916332
1.0,177,1450.677047
2.0,222,1461.561584
0.0,125,1467.995896
0.0,125,1474.47152
2.0,226,1486.029419
1.0,157,1493.479118
1.0,157,1501.504601
0.0,127,1507.984082
0.0,125,1513.74297
3.0,248,1525.698513
1.0,155,1533.097458
2.0,206,1542.460502
2.0,185,1551.673884
2.0,204,1562.006635
0.0,129,1568.613842
2.0,202,1579.228549
1.0,178,1587.551472
0.0,129,1593.814539
5.0,352,1611.191058
9.0,404,1632.273112
10.0,428,1657.020718
3.0,248,1669.750453
10.0,434,1692.190009
5.0,352,1710.961677
0.0,127,1717.030759
0.0,127,1723.027674
2.0,204,1733.434033
1.0,175,1742.080546
2.0,202,1751.926117
0.0,129,1758.021081
2.0,198,1767.655446
9.0,400,1805.815456
0.0,129,1811.63419
0.0,129,1818.017607
9.0,404,1838.861494
3.0,244,1851.287666
6.0,397,1871.93574
2.0,200,1881.25385
0.0,125,1887.577706
0.0,127,1893.387983
1.0,174,1901.762118
2.0,185,1910.530898
2.0,220,1920.588652
4.0,297,1935.248015
0.0,127,1942.152285
2.0,225,1953.17017
3.0,248,1965.905344
2.0,184,1974.842711
3.0,216,1985.911961
0.0,127,1992.185099
3.0,250,2005.820281
1.0,158,2013.471753
3.0,229,2024.804479
0.0,127,2031.188847
1.0,155,2038.683089
0.0,129,2045.672925
2.0,187,2055.211786
4.0,319,2070.957981
3.0,248,2082.879628
6.0,352,2099.841538
10.0,447,2122.922863
2.0,186,2132.126938
5.0,350,2149.639212
4.0,297,2164.763275
4.0,290,2179.225654
4.0,260,2193.301036
3.0,230,2204.983536
1.0,157,2213.130953
2.0,202,2224.358778
9.0,380,2244.482668
1.0,174,2253.436434
3.0,254,2266.818775
2.0,200,2276.738028
5.0,352,2294.835754
2.0,202,2304.761508
2.0,202,2314.269248
5.0,346,2331.9064
10.0,433,2353.846378
0.0,127,2359.965956
0.0,129,2365.628199
3.0,251,2377.344215
7.0,395,2398.157726
10.0,451,2421.055525
4.0,279,2435.490745
1.0,153,2442.827284
0.0,129,2448.818041
2.0,202,2458.571724
6.0,345,2477.132634
10.0,600,2508.190806
2.0,183,2516.594269
17.0,627,2547.934749
4.0,287,2562.219509
4.0,263,2575.513432
15.0,446,2597.526037
9.0,393,2616.244641
5.0,307,2632.188202
2.0,202,2642.041393
5.0,350,2658.984413
4.0,282,2672.309584
6.0,397,2690.307383
6.0,354,2709.266093
5.0,350,2726.172801
2.0,183,2734.744968
4.0,320,2750.806328
6.0,349,2767.46051
5.0,298,2782.748272
5.0,351,2799.419415
3.0,233,2810.724626
4.0,270,2824.87906
2.0,187,2833.714107
4.0,280,2848.283189
2.0,221,2858.750015
10.0,472,2881.758074
9.0,382,2900.223942
4.0,246,2912.643257
5.0,350,2930.049651
19.0,649,2961.97618
4.0,279,2975.347604
7.0,427,2996.823023
6.0,399,3015.869023
7.0,404,3039.001986
5.0,310,3056.632358
12.0,507,3083.771219
5.0,325,3098.415979
7.0,422,3121.066606
19.0,664,3156.500333
4.0,286,3171.283819
14.0,396,3191.803297
10.0,410,3213.151477
11.0,557,3241.062154
8.0,476,3265.934867
17.0,493,3292.442001
6.0,372,3312.006947
13.0,370,3330.865059
19.0,656,3364.359318
9.0,458,3388.710808
5.0,311,3405.393485
16.0,497,3431.348298
7.0,454,3454.861123
14.0,463,3476.398879
12.0,596,3505.550994
19.0,601,3534.975922
13.0,467,3559.837616
14.0,582,3589.764029
6.0,397,3609.885161
7.0,362,3628.56376
15.0,516,3654.852324
4.0,279,3668.032833
9.0,503,3694.96238
15.0,420,3716.359019
11.0,585,3747.152536
14.0,406,3767.423494
8.0,460,3790.721133
8.0,322,3806.490721
9.0,462,3830.442938
16.0,556,3859.00677
7.0,360,3878.379683
17.0,658,3910.887092
13.0,334,3927.295077
8.0,426,3950.093695
5.0,328,3965.294849
20.0,647,3998.541608
18.0,525,4025.892813
14.0,399,4045.174087
15.0,575,4074.28921
10.0,571,4103.476306
15.0,508,4127.735007
20.0,638,4160.602171
9.0,400,4180.62766
8.0,461,4204.056251
9.0,475,4229.262557
7.0,358,4246.98287
10.0,514,4272.390597
14.0,570,4304.568711
17.0,495,4330.100871
11.0,418,4350.394494
11.0,580,4379.757272
7.0,374,4399.234803
13.0,613,4429.691326
7.0,392,4450.123133
10.0,561,4478.643644
19.0,604,4509.396936
21.0,551,4537.700297
11.0,478,4561.818566
17.0,595,4590.149087
14.0,646,4623.528267
16.0,651,4655.053316
28.0,793,4695.539665
19.0,700,4731.670077
18.0,703,4767.949714
17.0,637,4800.809414
13.0,536,4825.774997
17.0,593,4854.584314
