value_loss,P01:episode_rewards,frames,grad_norm,advantage_norm,epoch_idx,episode_length,PMM:episode_rewards,explained_variance,fps,policy_loss,P09:episode_rewards,policy_entropy
0.04131239272777748,0.0,8000,2.2024379484045356,1.6989684794098139,1,171.66666666666666,1.1428571428571428,-1.3592662131786346,337,-0.014796813282882794,3.0,1.3104041569493712
0.012007279330355232,0.0,16000,0.29353099616274625,1.1398073685914278,2,166.70408163265307,1.0612244897959184,-0.10445405662059784,243,0.001160870621970389,3.0,1.360250791311264
0.011511929759726626,0.0,24000,0.2747714711278654,1.0928151632100345,3,164.61,1.02,-0.060111490488052366,256,0.002516727605398046,2.0,1.3799113142490387
0.02894125328733935,0.0,32000,0.5686766410760205,1.2969186447560788,4,165.06,0.98,-0.17985016942024232,266,-0.0002324295521248132,2.0,1.3672099781036378
0.0124458124753437,0.0,40000,0.29409185587612685,1.1701167632639409,5,168.59,1.04,-0.008687007427215575,271,0.002737777962174732,3.0,1.3797790586948395
0.012845114594820189,0.0,48000,0.3728915843986641,1.2201284885406494,6,176.08,1.19,0.16053056418895723,275,0.0014551245665643364,3.0,1.372891240119934
0.016469584299484266,0.0,56000,0.4387343741029509,1.4773837950825692,7,182.71,1.39,0.3191913044452667,278,-0.0015193024929612874,3.1000000000000085,1.3705268681049347
0.010979811509896535,0.0,64000,0.38888220829358594,1.2062148517370224,8,188.28,1.53,0.5803568869829178,279,0.00018542789504863322,4.0,1.373202213048935
0.014846207252703606,0.0,72000,0.4798361835247832,1.439197444319725,9,197.21,1.71,0.7210873234272003,282,-0.0029669114749412986,5.0,1.360402113199234
0.013475176125066355,0.0,80000,0.45105770240642473,1.3734994062781334,10,202.4,1.94,0.7719787776470184,277,-0.0006113293636008165,5.0,1.337803430557251
0.015556277519790456,0.0,88000,0.5551294953676207,1.4579691833257675,11,211.99,2.21,0.7633797270059586,278,-0.0066914905505836945,5.1000000000000085,1.2502769565582275
0.011576162714045496,0.0,96000,0.4853639398789915,1.2367395222187043,12,206.16,2.03,0.8562594699859619,279,-0.006645354866050184,5.0,1.320569645166397
0.0080731490557082,0.0,104000,0.3724944059104338,1.0602551874518396,13,199.65,1.87,0.8985474002361298,279,-0.002722629752533976,5.0,1.3391846823692322
0.020551998688606545,0.0,112000,0.5879276962324724,1.2422095188498496,14,191.63,1.73,0.8244411861896515,278,-0.007593789148522774,5.0,1.3507867789268493
0.009413737903814763,0.0,120000,0.3837579495460994,1.1517466703057289,15,209.53,2.15,0.8905318236351013,278,-0.0005378623254364357,6.0,1.3573871123790742
0.008997111520147882,0.0,128000,0.34820685021235953,1.0917296442389488,16,213.82,2.23,0.8438913476467133,278,-0.0003533101678476669,5.1000000000000085,1.3511120641231538
0.0065396212879568335,0.0,136000,0.33073010151234955,0.9533049526810646,17,216.7,2.28,0.9430757427215576,278,-0.0027275670075323434,5.0,1.3199416816234588
0.004377751678694039,0.0,144000,0.24240949532400383,0.7629653406143189,18,192.42,1.65,0.9540244567394257,279,-0.0013357655276922743,4.1000000000000085,1.329313155412674
0.004072203767427709,0.0,152000,0.2278209269278628,0.7348211862146854,19,174.41,1.22,0.9435459303855896,280,3.249381028581411e-05,3.1000000000000085,1.3459091866016388
0.0077738110412610695,0.0,160000,0.30135780170371573,1.0253711688518523,20,184.81,1.53,0.9179709470272064,282,-0.0013273930153809487,5.0,1.3475991797447204
0.005416843401035294,0.0,168000,0.2405040657601338,0.8473266738653183,21,201.65,2.0,0.9400613397359848,282,-0.0003083998477086425,7.0,1.3468097364902496
0.005027863775612786,0.0,176000,0.23236938740507296,0.8051052877306938,22,218.83,2.37,0.9555702352523804,283,-0.000614806887715531,7.0,1.3447852432727814
0.005594891202636063,0.0,184000,0.29174947497108117,0.8141966760158539,23,200.48,1.85,0.9488413047790527,283,-0.005889782747835852,5.0,1.3449045741558074
0.003254205610137433,0.0,192000,0.1912096037629398,0.6778232780098915,24,201.39,1.81,0.9692723137140274,284,0.000539090535021387,5.0,1.3500433790683746
0.037709924881055484,0.0,200000,0.7913379083216442,1.1590759947896003,25,210.56,2.11,0.885223696231842,284,-0.008656029622652568,5.0,1.3449935865402223
0.003119862272287719,0.0,208000,0.18967935105788628,0.6385550281405449,26,202.1,1.96,0.9708686721324921,285,-0.000373085677420022,5.0,1.3407775020599366
0.004545202229928691,0.0,216000,0.20952821080066383,0.7287169310450554,27,189.27,1.64,0.9380276310443878,285,-0.0016269225039286538,5.0,1.357799699306488
0.00415238511224743,0.0,224000,0.20938537669133794,0.712448775023222,28,191.0,1.66,0.9634079408645629,285,-0.0021291769622985156,5.0,1.3528838562965393
0.008568523689755239,0.0,232000,0.29234981380941805,1.0467173129320144,29,208.86,2.2,0.8998230171203613,286,0.00019233297956816386,6.200000000000017,1.365870212316513
0.005861490202369169,0.0,240000,0.25233989307176596,0.8682914355397224,30,208.61,2.14,0.9345698618888855,286,-0.0003914798068581149,5.0,1.3662276566028595
0.005631070468225517,0.0,248000,0.2337183860737213,0.8299367696046829,31,213.47,2.25,0.9398171889781952,286,-0.00048074255173560234,6.0,1.3492663788795471
