epoch_idx,value_loss,explained_variance,P01:episode_rewards,P09:episode_rewards,fps,policy_entropy,advantage_norm,clip_fraction,policy_loss,PMM:episode_rewards,frames,approx_kl_divergence,episode_length,grad_norm
1,2027384675.318098,-4.147256261110305,150.0,250.0,423,0.0979328637257166,15.968715941905975,0.2071044921875,0.07516772652061263,179.16666666666666,10240,12758936.341605231,329.73333333333335,1719147264.3887553
2,0.05320317530959073,-5.587935447692871e-09,150.0,250.0,350,0.6017458664486185,15.968716579675675,0.1969970703125,0.0052638027247667194,179.66101694915255,20480,0.01582377378362949,332.76271186440675,0.39435374051829064
3,0.015354982251301408,1.825392246246338e-08,150.0,275.0,377,1.1243436958640813,15.968717867136002,0.16787109375,0.0008687158187967725,207.38636363636363,30720,0.003434621599899401,341.0568181818182,0.10752544610990575
4,0.016503999129054137,-4.470348358154297e-09,150.0,302.5000000000002,388,1.174975471943617,15.968717855215072,0.1193115234375,0.0003641168266767636,226.25,40960,0.0020926827076436895,341.5,0.05628451614544776
5,0.016300917926128023,-7.078051567077636e-09,175.0,352.5000000000002,397,1.2896978251636029,15.968717926740647,0.1269775390625,-0.0005900616219150834,264.0,51200,0.002111156713044693,343.9,0.05078494850966052
6,0.016223257230012677,-1.1548399925231934e-08,172.5,352.5000000000002,404,1.3083849862217902,15.968717938661575,0.1748046875,-0.0014250762749725254,270.0,61440,0.003044565602209559,338.03,0.050682216999072105
7,0.016625568985182325,-1.4901161193847656e-08,175.0,352.5000000000002,409,1.3007795810699463,15.968717974424361,0.155419921875,-0.0011877959783305413,270.5,71680,0.0024656122305714233,331.34,0.05179216098159266
8,0.016891209612367675,-4.470348358154297e-09,175.0,350.0,418,1.3283605247735977,15.96871799826622,0.1279541015625,-0.00021336661848181393,265.25,81920,0.0021362626878044465,328.08,0.04896167156967082
9,0.016751990988268517,-1.0430812835693359e-08,175.0,375.0,427,1.3968596659600734,15.968718004226684,0.1294921875,-0.0006817334702645894,272.0,92160,0.0021729798384853894,331.9,0.050258570692642335
10,0.013517500879243017,-2.4959444999694825e-08,125.0,375.0,427,1.5599574707448483,15.968717885017394,0.1900390625,-0.0012379453761241165,271.5,102400,0.003105113610399712,339.5,0.053525033317071515
