approx_kl_divergence,episode_length,PMM:episode_rewards,explained_variance,clip_fraction,fps,policy_loss,frames,grad_norm,P01:episode_rewards,policy_entropy,epoch_idx,value_loss,advantage_norm,P09:episode_rewards
0.16240695456017507,349.67857142857144,214.28571428571428,-0.020662206783890726,0.3223388671875,197,0.012316804233705625,10240,169.6395598593881,42.5,1.6957639835774898,1,17.01606420315802,15.968719178438187,525.0
0.0024739738591961213,346.86206896551727,209.91379310344828,-6.7055225372314455e-09,0.17783203125,176,-0.0005789988454125705,20480,1.0102016399338458,42.5,1.7458832442760468,2,0.3056075028143823,15.968719285726547,507.5000000000001
0.0022281308834919853,340.6179775280899,188.48314606741573,1.3783574104309083e-08,0.1517578125,186,-0.0009145850155618974,30720,1.0730065844458725,50.0,1.7675305239856243,3,0.05339271699194796,15.968718630075454,500.0
0.001827967509308337,333.65,169.75,-7.450580596923828e-09,0.116259765625,188,-0.0014668318231997545,40960,0.4333569641371856,50.0,1.773820884525776,4,0.019340523568098435,15.968717938661575,315.00000000000125
0.0009375158436881748,337.19,179.5,1.4901161193847656e-08,0.05947265625,189,-0.0014254818419431104,51200,0.17179584664044106,50.0,1.7754729367792605,5,0.02509095024433918,15.968718302249908,360.0000000000009
0.0004699649518414617,334.89,179.0,-1.3411045074462891e-08,0.011279296875,191,-0.0012868580055510393,61440,0.08599239582695531,50.0,1.7817742750048637,6,0.020412858005147427,15.968718022108078,360.0000000000009
0.00016648993488459495,339.88,202.75,-7.450580596923829e-10,0.0,191,-0.0005978863067866768,71680,0.07584441124714533,50.0,1.7761840015649795,7,0.02285067831398919,15.96871801018715,500.0
0.00015874795090482509,337.65,218.0,-2.60770320892334e-08,0.0,192,-0.0005419649663963355,81920,0.07215835824389716,50.0,1.7786678023636342,8,0.0243205144564854,15.968718284368515,552.5000000000002
0.00022725042841642562,341.95,224.75,1.825392246246338e-08,0.0,192,-0.0008093157935945783,92160,0.0752801872255278,50.0,1.7778973579406738,9,0.02226577794062905,15.968718057870865,552.5000000000002
0.0002073246487306335,340.42,205.75,-2.2724270820617674e-08,0.0,193,-0.0006801442012147163,102400,0.07609296612945994,50.0,1.7840854875743388,10,0.01839623395644594,15.968718075752259,502.5000000000002
0.00016208210573509518,333.3,165.5,-1.6763806343078613e-08,0.0,191,-0.0005463826028062613,112640,0.06799669369113252,25.0,1.7855346269905568,11,0.016075629921397196,15.968718034029006,277.5000000000002
0.00017342931851693777,329.85,146.25,-4.470348358154297e-09,0.0,192,-0.0006150610359327402,122880,0.07443200735215949,25.0,1.7815602540969848,12,0.014408000181720126,15.968717908859253,275.0
0.00020065648997444896,322.55,137.5,-1.7881393432617187e-08,0.0,192,-0.0007365188725088956,133120,0.07209730040054109,22.500000000000007,1.7834758765995502,13,0.018822396267205478,15.968717980384827,325.0
0.00012371868798393136,329.1,146.5,-1.0430812835693359e-08,0.0,193,-0.00037811297461303183,143360,0.06839018702734037,25.0,1.7786505699157715,14,0.017887871558195913,15.968718111515045,327.5000000000002
0.00018199459697925134,332.44,149.0,-1.862645149230957e-08,0.0,192,-0.000590989741976955,153600,0.07530177502441758,25.0,1.7746139571070672,15,0.02354093423928134,15.968718421459197,302.5000000000002
0.00015951222195980107,342.84,165.25,-7.078051567077636e-09,0.0,192,-0.0005476756447023945,163840,0.07198860382393359,47.50000000000001,1.7710582427680492,16,0.021652902153437025,15.968718105554581,300.0
0.00017561736378333138,342.13,170.0,-1.7881393432617187e-08,0.0,193,-0.0005448311887448654,174080,0.07524828226973564,50.0,1.7766781441867352,17,0.02251394271152094,15.96871829032898,300.0
0.0001669068879355251,346.18,187.25,-1.4901161193847657e-09,0.0,193,-0.00042442895282874816,184320,0.07317850151893933,50.0,1.784109679609537,18,0.022390105729573406,15.96871829032898,327.5000000000002
0.0001779040677902799,343.28,181.25,-1.7136335372924803e-08,0.0,193,-0.0006886891529575223,194560,0.08110579059794795,25.0,1.7875523172318935,19,0.020638784363109154,15.968718272447585,400.0
0.00022901308768865646,337.15,178.75,-1.862645149230957e-08,0.0,193,-0.0008891032666724641,204800,0.06933528205108837,25.0,1.7872992277145385,20,0.01818722754251212,15.96871789097786,407.5000000000006
0.0001284362598180877,335.9,167.75,-8.940696716308593e-09,0.0,193,-0.0004798275431312504,215040,0.07281119694185648,25.0,1.7738436482846738,21,0.019295727758435532,15.968718200922012,355.00000000000045
0.00012115888014676556,331.61,164.5,-9.685754776000977e-09,0.002685546875,193,-0.0005480471039845724,225280,0.07382633392286117,50.0,1.763124181330204,22,0.02196162464824738,15.968718105554581,277.5000000000002
0.0001222444228812236,336.23,174.5,-9.313225746154785e-09,0.000732421875,194,-0.00042698822398961055,235520,0.06897515353029841,50.0,1.7753620237112044,23,0.020195466119912454,15.968718075752259,302.5000000000002
0.00010055164311770782,338.53,169.25,1.0058283805847169e-08,0.0,195,-0.00042243058560416103,245760,0.051917120390685315,47.50000000000001,1.777028040587902,24,0.018731818278320135,15.968717968463897,277.5000000000002
0.00013743435107205215,341.8,176.5,-1.3783574104309083e-08,0.0,195,-0.0005434190989035415,256000,0.055958351800883065,25.0,1.7687883011996746,25,0.02159180008166004,15.968718206882476,305.00000000000045
0.00015858300523348136,339.51,174.25,-1.30385160446167e-08,0.0,195,-0.0006806366165619693,266240,0.05866078639547669,50.0,1.7811374872922898,26,0.021760147961322217,15.968718177080154,350.0
