P01:episode_rewards,advantage_norm,policy_entropy,P09:episode_rewards,explained_variance,fps,policy_loss,PMM:episode_rewards,clip_fraction,epoch_idx,approx_kl_divergence,frames,grad_norm,episode_length,value_loss
20.000000000000007,15.9687175989151,1.3055844827212488,250.0,-1.2533431012183427,459,0.05035750274646489,143.10344827586206,0.5245361328125,1,1560203.1435492751,10240,517008203.37279683,327.9655172413793,501218768.7339177
25.0,15.96871570944786,1.7052837178111075,250.0,-2.9802322387695314e-09,371,-0.000833571932525956,120.56451612903226,0.2453125,2,0.004596540405941596,20480,0.05110216189307287,322.1290322580645,0.005611779533469985
7.500000000000018,15.968717563152314,1.7165332548320293,225.0,-1.7881393432617187e-08,405,-0.001458151227234339,115.42553191489361,0.241650390625,3,0.0033362309084168373,30720,0.05170587378475091,323.74468085106383,0.007042256889235432
25.0,15.968717694282532,1.7439904734492302,225.0,-2.2351741790771484e-09,430,-0.0005170016003830824,106.75,0.2203125,4,0.0038655744308016436,40960,0.05416185439029634,321.45,0.007807870381657267
25.0,15.968717569112778,1.7312376216053962,225.0,7.82310962677002e-09,444,-0.0012979948878637515,116.25,0.2657958984375,5,0.004589453727533055,51200,0.05013359464960383,321.97,0.007367601837813709
25.0,15.968716955184936,1.717120396345854,200.0,-2.2351741790771484e-09,455,-0.0019927200009988155,113.5,0.336328125,6,0.005118580102021042,61440,0.04936247792328728,318.41,0.0061566234448505956
25.0,15.968717259168624,1.6543613895773888,227.5000000000002,-1.30385160446167e-08,466,-0.0012397873440932016,123.5,0.2503662109375,7,0.0038247739118673963,71680,0.04948225118703779,323.05,0.007102489073366769
0.0,15.96871750354767,1.6423700384795665,200.0,1.862645149230957e-09,475,-0.0012328162687481382,106.0,0.2505126953125,8,0.0035918335668384317,81920,0.04886471237683954,325.28,0.005997041230239119
25.0,15.96871787905693,1.6437916837632656,225.0,5.960464477539063e-09,478,-0.0020368862122268185,119.5,0.2650146484375,9,0.003947561598340599,92160,0.047830196507661724,332.23,0.009156956335937138
50.0,15.968717670440673,1.5802872747182846,275.0,1.4901161193847657e-09,483,-0.0017751123868947616,152.5,0.232275390625,10,0.0034094302935727683,102400,0.0519974239073116,341.93,0.011700735756312497
50.0,15.96871771812439,1.5079211093485356,300.0,-1.4528632164001465e-08,489,-0.0006524424992676358,179.5,0.135302734375,11,0.002120149084100831,112640,0.048467589486519067,343.57,0.010495575737149921
50.0,15.968717896938324,1.3618869744241238,300.0,1.080334186553955e-08,494,-0.001278552378062159,197.25,0.1372802734375,12,0.0023581265760810764,122880,0.042632733081030466,349.66,0.011405132114305161
125.0,15.968717765808105,1.2239715993404388,300.0,5.960464477539063e-09,496,-0.0006613445049879374,198.75,0.0877685546875,13,0.0013600473121414326,133120,0.037429523162139926,351.21,0.011587845513713547
125.0,15.968717908859253,1.2823741830885411,252.50000000000023,6.7055225372314455e-09,500,-0.0003418050906475401,194.75,0.1260498046875,14,0.002260033188704824,143360,0.04388129911336502,349.03,0.011864411381247919
75.0,15.968717527389526,1.433478631079197,275.0,-2.2351741790771484e-09,503,-0.0009857310567895183,191.5,0.1674560546875,15,0.002669235297992145,153600,0.045230533977402364,348.23,0.008272867657797178
50.0,15.968717646598815,1.4567925728857518,275.0,-1.1920928955078126e-08,505,-0.001167871174402535,166.25,0.19970703125,16,0.003143589869118557,163840,0.04533249372519416,337.49,0.007978805399034172
50.0,15.96871758699417,1.4257508762180806,250.0,-2.9802322387695314e-09,507,-0.0007819944239599863,148.25,0.1604736328125,17,0.0026973403294562105,174080,0.045334648378636724,333.66,0.010165798508455736
50.0,15.96871793270111,1.442989556491375,250.0,1.080334186553955e-08,508,-0.000871863292195485,163.5,0.1942138671875,18,0.0028337728725205125,184320,0.054633980789653966,332.88,0.013436292958795093
75.0,15.968717849254608,1.402260759472847,275.0,-1.6763806343078613e-08,510,-0.0021318329170753715,194.0,0.190576171875,19,0.002827506476177177,194560,0.05072986192672484,339.91,0.012456462423142512
97.5,15.968717616796493,1.4149736322462558,300.0,8.568167686462402e-09,511,-0.0012113009353925009,205.25,0.1815185546875,20,0.002431609987735328,204800,0.05099762258183275,338.33,0.011028576973694726
75.0,15.968717747926712,1.388498889654875,277.5000000000002,1.2665987014770507e-08,510,-0.0013226995113654993,193.5,0.1951171875,21,0.00287410287728278,215040,0.05239508492319234,336.1,0.011398563525108329
75.0,15.968717622756959,1.4268390223383904,300.0,-4.097819328308106e-09,512,-0.0007630870437424164,187.75,0.1447021484375,22,0.002331716338392198,225280,0.05010943007024536,336.29,0.011776567976198749
75.0,15.968717777729035,1.4083358198404312,300.0,2.6077032089233397e-09,513,-0.0007910260872449725,191.75,0.1466796875,23,0.0022319281974660043,235520,0.052309938570712165,336.32,0.013178850256372244
72.50000000000001,15.96871799826622,1.4289644487202167,300.0,4.470348358154297e-09,515,-0.0011614064897003118,198.5,0.17783203125,24,0.0024159833368571524,245760,0.054200709963534585,333.12,0.01322990680073417
100.0,15.968717920780183,1.2992902085185052,325.0,-6.332993507385254e-09,516,-0.001541658958012704,210.75,0.154833984375,25,0.0025739798355743915,256000,0.04560460611989892,336.57,0.012953431906134938
125.0,15.968717896938324,1.1515025950968265,325.0,3.3527612686157227e-09,518,-0.001145274496957427,216.5,0.1447998046875,26,0.002725431889194496,266240,0.03940351709536174,337.11,0.012500325839209837
125.0,15.968717956542969,1.2109685853123664,300.0,-1.7881393432617187e-08,519,-0.0005965943826595321,224.75,0.1226806640625,27,0.0022856465579309316,276480,0.042078038917671645,340.86,0.013496043178020046
125.0,15.968717724084854,1.157523439824581,275.0,-6.332993507385254e-09,519,-0.0010417357279948192,201.25,0.13408203125,28,0.0030860573834303297,286720,0.03679728786012182,336.59,0.011792343546403572
125.0,15.96871777176857,1.1464813485741616,275.0,-2.0489096641540527e-08,519,-0.0006976204225793481,194.0,0.1229736328125,29,0.002323264622731358,296960,0.03993631262460015,341.99,0.011625472994001029
125.0,15.968717753887177,1.232414823025465,275.0,1.825392246246338e-08,518,-0.0011631716617557686,188.25,0.176611328125,30,0.0029449742772158062,307200,0.042674968108230724,351.75,0.010740941505355294
125.0,15.968717724084854,1.255458053946495,252.50000000000023,1.1548399925231934e-08,518,-0.0006325461356027518,194.75,0.1300537109375,31,0.0022485417087978023,317440,0.04146259186152559,358.74,0.012089031917639659
125.0,15.968717992305756,1.2780285730957985,275.0,1.1175870895385742e-09,518,-0.0013729528236581245,205.0,0.141845703125,32,0.0023896414982914394,327680,0.04686024373605747,358.88,0.012686036693048663
125.0,15.968717914819717,1.3168224528431893,275.0,8.195638656616212e-09,518,-0.0008767430428633816,211.5,0.171435546875,33,0.0029451501411131174,337920,0.04715690154382045,361.4,0.011414735778816975
125.0,15.96871726512909,1.4222975738346577,250.0,-3.725290298461914e-09,518,-0.0012301881099119783,194.5,0.1872314453125,34,0.0030754536054928396,348160,0.04994042927224784,358.23,0.0093447697468946
97.5,15.968717473745347,1.4686614848673343,250.0,-2.2351741790771484e-09,518,-0.001307310489937663,182.5,0.221630859375,35,0.003656226105317728,358400,0.05103968641658234,360.52,0.009114636388221697
