advantage_norm,fps,P09:episode_rewards,value_loss,P01:episode_rewards,grad_norm,explained_variance,episode_length,frames,PMM:episode_rewards,clip_fraction,epoch_idx,policy_loss,approx_kl_divergence,policy_entropy
15.96871919631958,167,395.0000000000004,1.2656776387244464,50.0,28.014868095936514,0.07269137315452098,344.18518518518516,10240,204.62962962962962,0.2720703125,1,0.005208495259284973,0.008780692791425423,1.404968122392893
15.968719345331191,150,500.0,0.36852841516956686,102.50000000000001,7.757537657195708,0.5036824353039264,371.0769230769231,20480,253.3653846153846,0.222998046875,2,-0.00012839751834690106,0.004016692242385669,1.519413521885872
15.96871938109398,162,550.0,0.3030955002643168,125.0,7.579573293278804,0.6816847056150437,373.30864197530866,30720,278.7037037037037,0.163134765625,3,-0.0013661129152751528,0.002628327860657431,1.6504083104431628
15.968719416856766,168,550.0,0.21308632516302167,125.0,4.488517528706822,0.5623208720237016,375.71,40960,292.0,0.1541748046875,4,-0.0039499796526797585,0.0023683791850320638,1.6941252127289772
15.96871926188469,171,550.0,0.16560597396455706,125.0,3.740696577873508,0.6408409766852856,372.98,51200,290.25,0.15224609375,5,-0.004721696901833638,0.002352658910513451,1.7354424133896829
15.968719315528869,174,550.0,0.14033133857883512,125.0,3.693283525688936,0.7218140982091427,371.51,61440,280.5,0.1439697265625,6,-0.005371039811507217,0.0022605269496128533,1.743920662999153
15.968719226121902,176,550.0,0.13160088355652988,125.0,3.2604950798071,0.7194087166339159,376.53,71680,274.5,0.13681640625,7,-0.005008340372296516,0.0021484296644760765,1.7276119217276573
15.96871926188469,178,577.5000000000002,0.14780153799802065,147.5,3.412130033211409,0.7309142880141735,381.45,81920,309.0,0.1341552734375,8,-0.005181278850795934,0.002142560138645752,1.6911635734140873
15.968719333410263,180,577.5000000000002,0.14113761354237794,150.0,2.7745048922966804,0.7553601711988449,383.35,92160,313.75,0.1393798828125,9,-0.005544981478305999,0.0023189127039135154,1.6839701257646085
15.968719267845154,180,602.5000000000002,0.12771145075093954,150.0,2.7586983667402976,0.7922351073473692,389.07,102400,321.75,0.1497802734375,10,-0.005878513150673825,0.0023867513449207316,1.7209077566862105
15.968719178438187,181,625.0,0.13155943863093852,172.5,2.326525459779602,0.7784946024417877,390.38,112640,327.0,0.1407958984375,11,-0.006501516877688118,0.002145910362151297,1.7097400054335594
15.968719238042832,182,600.0,0.12612148844636978,150.0,2.9158896986783542,0.819720946252346,387.87,122880,317.75,0.1473876953125,12,-0.006385916605358944,0.0023250496320318553,1.703857410699129
15.968719309568405,183,600.0,0.12354449667036534,175.0,2.46614881469236,0.8335603054612875,391.52,133120,337.25,0.1749755859375,13,-0.006661204987904057,0.0027353361342651065,1.695102220773697
15.9687191426754,183,575.0,0.1499205012107268,175.0,3.2449271282853958,0.7823560979217291,388.68,143360,340.75,0.1248291015625,14,-0.006055355089665681,0.0020541265892237595,1.695086881518364
15.968719232082368,183,577.5000000000002,0.14330361967440694,175.0,2.45615396975358,0.8404573168605566,383.07,153600,343.0,0.1454345703125,15,-0.007460406233622052,0.00229603316745427,1.6907729871571064
15.968719255924224,183,507.5000000000006,0.11809226549230516,197.5,2.3401422162760332,0.8274475518614054,382.25,163840,328.5,0.1504638671875,16,-0.00810217682592338,0.0023494493092815726,1.7071939669549465
15.968719279766082,184,575.0,0.08741577819455415,175.0,1.8641118937283772,0.8691580086946488,394.04,174080,339.0,0.1848876953125,17,-0.009346173191443086,0.002763119162432618,1.7282521232962609
15.968719279766082,184,600.0,0.14806019577663393,175.0,2.514008543621316,0.800799173861742,403.6,184320,348.5,0.144091796875,18,-0.007882737870022537,0.0022896325539252917,1.7389854103326798
15.968719351291657,185,652.5000000000002,0.13324141020420938,175.0,2.0324860059623737,0.8069725207984447,408.26,194560,359.5,0.12958984375,19,-0.008162763542350149,0.002000587701923278,1.7389082439243793
15.96871919631958,185,675.0,0.1304417427862063,175.0,1.9837748678464582,0.7801198650151491,409.23,204800,361.5,0.1279052734375,20,-0.0075494180207897445,0.002008717813532983,1.7355977721512317
15.968719297647477,185,652.5000000000002,0.11266293209046126,175.0,2.164576145643031,0.8418290585279464,395.76,215040,355.75,0.1267578125,21,-0.0077756522252457215,0.0020356357797484707,1.7268021732568741
15.968719321489335,185,650.0,0.13661884332541377,175.0,2.321005015998648,0.7614280749112368,398.05,225280,364.75,0.1341552734375,22,-0.008199464488279773,0.0020700856499391617,1.7079640708863735
15.968719184398651,185,650.0,0.11411241553723812,175.0,1.9297662716912636,0.8724492009729147,402.12,235520,374.25,0.15048828125,23,-0.008420432181446813,0.002331588510560631,1.718260796368122
15.968719297647477,186,652.5000000000002,0.1210376117611304,225.0,2.061296573022991,0.8800503436475993,412.07,245760,410.25,0.159716796875,24,-0.008134157594759018,0.0024636572221883087,1.6995191238820553
15.968719273805618,186,677.5000000000002,0.15927312958519907,247.5,2.579749914454298,0.8364514268934726,418.01,256000,421.75,0.1248779296875,25,-0.00854364117330988,0.0019419940816081762,1.700778418034315
15.968719214200974,186,700.0,0.1426545962691307,225.0,2.113958907643235,0.8134491179138422,419.83,266240,443.75,0.152685546875,26,-0.009052563754812582,0.002324011544419936,1.6981511630117894
15.968719357252121,186,652.5000000000002,0.14730207780376076,225.0,2.1681745753817188,0.7821024145931006,414.34,276480,421.0,0.126513671875,27,-0.009184763872326585,0.002003317475828563,1.7091269589960576
15.968719232082368,186,652.5000000000002,0.1327391384053044,200.0,2.227145294096075,0.7721490934491158,414.1,286720,407.75,0.1368408203125,28,-0.008292764640646055,0.002190015525025353,1.7060018949210645
