frames,grad_norm,policy_loss,value_loss,epoch_idx,fps,P09:episode_rewards,policy_entropy,episode_length,explained_variance,PMM:episode_rewards,P01:episode_rewards,advantage_norm
8000,1.436665726253935,-0.02246052967966534,0.043575345678145826,1,222,2.8999999999999986,1.363474114537239,164.47619047619048,-0.5047107011079788,0.9047619047619048,0.0,1.5493624388799072
16000,0.2062137087640067,-0.0004583329427987337,0.013807940397891799,2,164,3.0,1.3843542766571044,175.44444444444446,-0.012402880787849426,1.2444444444444445,0.0,1.2353542944043874
24000,0.20617839238047586,0.0027047168253920974,0.016395162556582365,3,169,4.0,1.3814857244491576,188.53,-0.01860136866569519,1.6,0.0,1.3965805890411138
32000,0.21571248634862922,7.748929157969542e-05,0.013947050620918161,4,175,4.0,1.3691765451431275,190.05,-0.014339053630828857,1.58,0.0,1.2541982361674309
40000,0.26328226458210374,0.0009602011530660092,0.015535964500668343,5,185,4.0,1.3737769687175752,188.29,-0.009049602746963502,1.47,0.0,1.3153863368183374
48000,0.3315255325205571,0.0015820382384117693,0.016437295058203745,6,192,4.0,1.3653877341747285,185.91,-0.0552337372303009,1.45,0.0,1.3293234353512526
56000,0.33677343920862357,3.726239832758438e-05,0.014560702099697665,7,190,4.0,1.348210802078247,185.23,0.16156899333000183,1.44,0.0,1.3099415183067322
64000,0.3559928783806636,-0.0008933314829482697,0.02040272313213791,8,191,4.0,1.353685233592987,183.67,0.05950347065925598,1.39,0.0,1.2509742149710654
72000,0.29351998753818587,-0.0026358400960452854,0.011969700214540352,9,194,4.0,1.3645375287532806,182.19,0.4511723566055298,1.35,0.0,1.208291677236557
80000,0.3992689594167688,-0.004407849827839527,0.016380406148382463,10,194,5.0,1.360733985900879,185.1,0.5761854463815689,1.43,0.0,1.4246147033572196
88000,0.296481286936108,-0.00035442381908069366,0.011175074883794878,11,194,3.1000000000000085,1.380582160949707,187.25,0.5644871032238007,1.48,0.0,1.2329118949174882
96000,0.349390913155357,-0.0043846084646338565,0.01341943199688103,12,195,3.0,1.3797540247440339,182.88,0.5561148512363434,1.39,0.0,1.3013479331135749
104000,0.32391852513639174,-0.003085269690491259,0.01081702543364372,13,198,4.0,1.3662030446529387,188.08,0.6809544682502746,1.57,0.0,1.1725091525912286
112000,0.37050628418702863,0.002185358312272001,0.011860509705729782,14,200,3.1000000000000085,1.3683085227012635,190.29,0.7326468485593796,1.6,0.0,1.2895894968509674
120000,0.3133163807541648,-0.0008649162916117347,0.009327086043776944,15,201,4.0,1.372900993824005,192.66,0.8536225497722626,1.64,0.0,1.1498176243901252
128000,0.38215241426334545,-0.0032188911232515238,0.009239297716412694,16,203,4.0,1.3706085789203644,196.87,0.8496782428026199,1.76,0.0,1.1456357979774474
136000,0.28973044033826223,-0.0006551934883464128,0.008894373149960302,17,205,4.0,1.363626070022583,190.06,0.8445135420560836,1.63,0.0,1.1099892047047615
144000,0.2334804577689168,0.00010815171623107745,0.006031950116157532,18,206,5.0,1.3523789715766907,198.3,0.9179146653413772,1.93,0.0,0.9162499269843102
152000,0.2743251422902754,-0.004014530525855662,0.006464168083039112,19,206,5.0,1.3229528999328612,206.85,0.93172591984272,2.05,0.0,0.9377348041534423
160000,0.2891993917177644,-0.0016931648907484486,0.007240771930664778,20,207,8.100000000000009,1.3046888959407807,217.79,0.9060693436861038,2.39,0.0,0.9925006181001663
168000,0.26325233410722204,-0.0006860641215462237,0.005868079648353159,21,209,9.0,1.3401237213611603,230.16,0.9434197509288788,2.74,0.0,0.8966684189438819
176000,0.21573760795568564,-0.0012813409109367058,0.0048293039679992945,22,211,9.0,1.3378096044063568,221.97,0.9540872144699096,2.6,0.0,0.794282298386097
184000,0.2288745273612049,-0.0014154865418095142,0.005904621934751049,23,213,7.1000000000000085,1.3446047616004944,226.56,0.9349732339382172,2.62,0.0,0.8499750006198883
192000,0.19441872257893814,-0.0010681880203264882,0.00426260831009131,24,213,8.0,1.3533700025081634,219.5,0.9452159863710403,2.46,0.0,0.7305726808309555
200000,0.22036836247102135,-0.0014465219000703656,0.00480953635124024,25,214,5.1000000000000085,1.3562340307235718,214.44,0.9494508051872254,2.29,0.0,0.7843723040819168
208000,0.19827944988603816,-0.0010201797955232904,0.004794978970021475,26,214,5.1000000000000085,1.3389156949520111,207.67,0.9501998800039292,2.04,0.0,0.7590535458922386
216000,0.3233538956322563,0.00015243828966049477,0.010164260069432203,27,214,6.0,1.3434617125988007,209.09,0.8869956237077713,2.08,0.0,0.8923208242654801
224000,0.19435592667641693,-0.0005561095158191165,0.005117526146932505,28,214,5.0,1.3468978905677795,198.61,0.9408436244726182,1.79,0.0,0.806703023314476
232000,0.14551437131530653,-0.0009322297923063161,0.0029024912440218033,29,213,5.0,1.3356452322006225,198.33,0.9712452036142349,1.81,0.0,0.5823893195390701
240000,0.1864710450226432,-0.0015929552548914216,0.0043740004385472275,30,214,5.0,1.3286328983306885,201.41,0.9642676723003387,1.95,0.0,0.7316748604178429
248000,0.1626951315194461,-3.28429727233015e-05,0.004090753410127945,31,215,9.0,1.3445603990554809,213.62,0.9533151030540467,2.39,0.0,0.6929608106613159
256000,0.15766547377525006,-0.001985409188346239,0.0031164162495406346,32,214,9.0,1.334626189470291,220.52,0.9750072717666626,2.58,0.0,0.6287846438586712
264000,0.18484052909320034,0.000543530269205803,0.004252040325081907,33,215,5.1000000000000085,1.3452524220943451,211.56,0.9557936525344849,2.28,0.0,0.6767818465828895
272000,0.1659076009986303,-0.002903328634565696,0.004061485245038057,34,215,6.0,1.3334713971614838,203.16,0.9588703209161759,2.01,0.0,0.6443200553953647
280000,0.19817954308516025,-0.0012303073762450368,0.004748954962124117,35,215,6.0,1.340257625579834,201.08,0.9608696901798248,2.02,0.0,0.7494089180231094
288000,0.16058428111760048,-0.0011620793319889345,0.0035324537819542458,36,215,9.0,1.3375508177280426,203.97,0.9595875263214111,2.14,0.0,0.629745270460844
296000,0.13867806391955748,-0.00034004797475063243,0.0027257981878210558,37,216,8.100000000000009,1.3398527348041533,201.85,0.9752016842365265,2.06,0.0,0.552666427642107
304000,0.21491013740215037,-0.00035817556832626,0.005673033982457127,38,216,5.0,1.355481128692627,199.26,0.9499698269367218,1.92,0.0,0.8102285139262676
312000,0.21458682544512742,-0.0018582778863128625,0.005875049542228225,39,215,5.0,1.3569969594478608,210.97,0.9469660890102386,2.15,0.0,0.8180308473110199
320000,0.16842937017345316,-0.002124247830506647,0.003864992379967589,40,214,6.0,1.3511305582523345,215.99,0.9593109548091888,2.31,0.0,0.6902956272661686
328000,0.15410605529611698,-0.0015296491249455358,0.0032396755271474832,41,214,5.1000000000000085,1.3250669157505035,210.2,0.969870457649231,2.16,0.0,0.6020350506901742
336000,0.14430434589616006,-0.0006691477153799497,0.002953958353609778,42,215,6.1000000000000085,1.3409304881095887,217.71,0.9718149536848069,2.45,0.0,0.6029314440488815
344000,0.13625170166888334,-0.0007970878202468157,0.0025457831128733233,43,214,7.200000000000017,1.3498276305198669,234.26,0.9719038510322571,2.83,0.0,0.5362703460454941
352000,0.17695024850545782,-0.00017493522376753389,0.004150944900902687,44,214,5.0,1.3656658029556275,202.77,0.8855488812923431,1.93,0.0,0.6656815940141678
360000,0.15325530995022318,-0.0008066432518535294,0.003390849225979764,45,215,5.0,1.3532610487937928,191.71,0.9674678701162338,1.64,0.0,0.6365147797763347
368000,0.10597261056933936,-0.000526464172071428,0.0015320804202929139,46,214,5.0,1.344228856563568,200.19,0.9867970371246337,1.92,0.0,0.422837847918272
376000,0.19916735225016155,-0.002165550207719207,0.005083161383518018,47,215,6.0,1.3593736398220062,211.7,0.9557214885950088,2.23,0.0,0.7536432561278343
384000,0.15855326681967408,-0.0009425164088315796,0.003680380823643645,48,216,6.0,1.358436496257782,206.25,0.9663181495666504,2.07,0.0,0.661072653979063
392000,0.1740770675201709,-0.00011952063141507097,0.004117004704021383,49,216,6.0,1.3603043687343597,208.88,0.9588454407453537,2.18,0.0,0.7223733568191528
400000,0.10962694395025978,-0.000871488314733142,0.0015601162645907606,50,216,6.0,1.3547362565994263,205.39,0.9825720101594925,2.1,0.0,0.43441999569535256
408000,0.1546261484578213,8.391334315092535e-05,0.0036373557706247082,51,217,9.0,1.3652404403686524,201.74,0.9608207815885543,2.06,0.0,0.6159816698729992
416000,0.17977543697063017,-0.0019701571483165025,0.004540690174035262,52,217,9.0,1.3661868488788604,206.48,0.95609230697155,2.17,0.0,0.7209456004202366
