explained_variance,P09:episode_rewards,fps,epoch_idx,grad_norm,policy_gradient_loss,PMM:episode_rewards,policy_loss,q_loss,avg_q_selected,policy_gradient_bias_correction,rollout_prob_std,policy_entropy,advantage_norm,frames,P01:episode_rewards,episode_length,model_prob_std,avg_q_retraced
-41.40236587524414,0.0,313,1,0.02693485799342744,-0.00026311327128496486,0.0,-0.00026311327128496486,0.00022275500305113383,0.015022480643043916,0.0,0.007402789064993461,2.1912365992863974,0.03371242216477791,7200,0.0,0,0.007402789057232439,0.01446020845323801
-266.2405157407125,0.0,176,2,0.04266026882021943,-9.695913718890855e-05,0.0,-9.695913718890855e-05,0.00026359952692776764,0.006676240660211382,0.0,0.0057822201866656545,2.1910916487375895,0.021946198043103018,14400,0.0,0,0.005782220229351273,0.007206453355805328
-31.320882415771486,0.0,209,3,0.003236273316813469,-2.624664284667233e-05,0.0,-2.624664284667233e-05,2.0695454986707772e-05,0.0014616515341913327,0.0,0.0024699632505265374,2.1968645334243773,0.01623649289831519,21600,0.0,0,0.0024699632815706235,0.0014030473442592968
-16.887791919708253,0.0,237,4,0.0027538435680188817,-8.19260169161377e-05,0.0,-8.19260169161377e-05,1.7608994524683416e-05,0.0032729234257203644,0.0,0.003406184158908824,2.196719749768575,0.023867618960017958,28800,0.0,0,0.003406184120103717,0.003265694160048345
-23.774528996149698,0.0,260,5,0.001087268093254766,-1.0914310321415617e-05,0.0,-1.0914310321415617e-05,6.186403470564983e-06,0.0011169108603401887,0.0,0.0015527327874830614,2.197085428237915,0.011976300335178772,36000,0.0,0,0.0015527328010648488,0.001145117209550032
-33.45530451138814,0.0,280,6,0.0014263094083638295,-7.104286539837782e-05,0.0,-7.104286539837782e-05,7.549624062145691e-06,0.0020680099166604294,0.0,0.002066422215042015,2.197002665201823,0.01689957215761145,43200,0.0,3324.8333333333335,0.0020664222072809936,0.002053804221698859
-81.86703211466471,0.0,296,7,0.0008876064980118767,-1.7945679366941174e-05,0.0,-1.7945679366941174e-05,5.018633324501328e-06,0.0008692759147379547,0.0,0.0008583681657910347,2.19716903368632,0.006711597849304477,50400,0.0,3324.8333333333335,0.0008583681657910347,0.0008496349425210307
-79.43413817087809,0.0,310,8,0.0008331535721762445,-1.280968214511328e-05,0.0,-1.280968214511328e-05,4.174613051570001e-06,0.0006430464010918513,0.0,0.0009007460980986555,2.197183092435201,0.007110026758164167,57600,0.0,3324.8333333333335,0.000900746084516868,0.0006364644068526104
-31.948954423268635,0.0,322,9,0.0006945852139750772,-1.866040655992644e-05,0.0,-1.866040655992644e-05,3.89658722118232e-06,0.001131442334735766,0.0,0.0013355609281764677,2.1971322377522786,0.0110921959237506,64800,0.0,3324.8333333333335,0.0013355609320569784,0.0011075044070215274
-41.342146237691246,0.0,332,10,0.0005233417995811589,-2.2777248176453213e-05,0.0,-2.2777248176453213e-05,2.42536318069142e-06,0.0007653812267259734,0.0,0.0009610709472326562,2.1971671263376873,0.008420254018468161,72000,0.0,3324.8333333333335,0.0009610709695455929,0.0007369942145790749
