P01:episode_rewards,PMM:episode_rewards,epoch_idx,explained_variance,value_loss,policy_entropy,episode_length,policy_loss,frames,grad_norm,P09:episode_rewards,advantage_norm,fps
0.0,1.6578947368421053,1,-1.1648517405986787,0.6071597155599011,1.2946201391518115,187.78947368421052,0.054519029451921594,8000,18.36890410453166,4.0,4.270797259286046,215
0.0,1.3103448275862069,2,-0.6837285739183426,0.007758544114858523,1.3791147887706756,176.6206896551724,0.00014040785375982523,16000,0.12648340027481228,4.0,0.7977972279861569,219
0.0,1.25,3,-0.17851096093654634,0.008810276577478363,1.3804877483844757,176.42,0.0006902415590593591,24000,0.11624755280794732,3.0,0.8978416917100549,225
0.0,1.25,4,-0.28043962955474855,0.0076774242813735325,1.379839950799942,175.19,0.0006488907019956969,32000,0.09625763981829516,3.0,0.7965841590613126,234
0.0,1.2,5,-0.13922617912292481,0.009544066808775824,1.3813210642337799,174.27,0.0010843050957191735,40000,0.11069934733902066,3.0,0.9464120648056269,237
0.0,1.45,6,-0.18020620167255402,0.009311891268043836,1.3773980236053467,185.21,-0.00033993269287748264,48000,0.11199998487202506,4.0,0.9487310548126697,241
0.0,1.51,7,-0.4049264109134674,0.008678711389629825,1.3815664410591126,189.34,0.0016189349617343396,56000,0.11159112165733502,4.0,0.8987415668368339,243
0.0,1.65,8,-0.10427501499652862,0.010500664955361571,1.3842184615135193,194.92,-0.0004666297169751488,64000,0.12555935410600283,4.0,1.044726458415389,245
0.0,1.59,9,-0.13487914681434632,0.009777403100597439,1.38314417719841,190.67,-0.00036935149575583636,72000,0.1251198114207594,3.1000000000000085,0.9766415733844042,247
0.0,1.5,10,-0.18722106635570526,0.009591589436440699,1.3842938458919525,186.35,0.001345494412817061,80000,0.11986036972829779,3.0,0.9462517552450299,249
0.0,1.44,11,-0.16409754514694214,0.008909428602819389,1.384598548412323,183.61,0.001386694625252858,88000,0.10405243182310692,3.0,0.9304591586068273,250
0.0,1.41,12,-0.35558914244174955,0.00906002262230686,1.3849025690555572,184.0,-0.0004755249404115602,96000,0.1325445880568853,3.0,0.9197333755344153,251
0.0,1.27,13,-0.18518096029758455,0.008247847061538778,1.3850185859203339,177.74,-0.0003088295646011829,104000,0.11210389961450568,3.0,0.8732006058096886,251
0.0,1.08,14,-0.2335118132829666,0.008019219382204028,1.3808363020420074,170.99,0.001320553928380832,112000,0.10040182003136179,3.0,0.8214468057826161,251
0.0,1.21,15,-0.15942650735378266,0.010874755279401143,1.3819444799423217,176.21,0.001677830627304502,120000,0.12107246811831227,3.0,1.0545490751415492,250
0.0,1.38,16,-0.20162286818027497,0.009264219561246137,1.382119175195694,182.86,-0.0009912432124838232,128000,0.11675832279907059,3.0,0.9339021331816911,252
0.0,1.48,17,-0.2283772796392441,0.008432139254255162,1.3806905150413513,186.49,-0.0010223840381513583,136000,0.10681485665200144,3.0,0.8544699008762836,252
0.0,1.3,18,-0.23178513169288636,0.008363525896984357,1.3776073575019836,177.47,0.001470466700848192,144000,0.09787780248880779,3.0,0.8626191597431898,252
0.0,1.11,19,-0.2547434657812119,0.007672182358201099,1.374308226108551,168.92,-0.0005898654783959501,152000,0.09224217247994533,3.0,0.8174285973235965,252
0.0,1.24,20,-0.21019514977931977,0.008627098460829074,1.3779429852962495,175.0,-0.00020236110314726828,160000,0.10735814272271237,3.0,0.8820739603042602,252
0.0,1.16,21,-0.2515721875429153,0.007911355095302497,1.3790597236156463,172.77,1.1510357726365328e-05,168000,0.106630428103364,3.0,0.8499851134419442,253
0.0,1.29,22,-0.2021098953485489,0.009116844386335287,1.3795229840278624,176.58,0.0016611707350239159,176000,0.11458245230749053,3.0,0.9010744947195053,254
0.0,1.44,23,-0.15696578741073608,0.009023708998320217,1.383635892868042,183.6,-0.0012432189102401026,184000,0.1122566104381479,3.0,0.9251587396860123,254
0.0,1.43,24,-0.27249082684516907,0.00824871003114822,1.385124555826187,184.48,-0.0005370031666825525,192000,0.1100103520692895,3.0,0.8424188843369484,255
0.0,1.22,25,-0.22746593296527862,0.0077927949972036005,1.3837899887561798,175.59,0.00014408886490855367,200000,0.09946356464441938,3.0,0.8341249073669315,255
0.0,1.17,26,-0.20694015860557557,0.00973252196021349,1.3843496429920197,175.09,0.0006781761522870511,208000,0.12422847894113596,3.1000000000000085,1.0023407030850648,256
0.0,1.2,27,-0.31108752608299256,0.008312548865160353,1.385435141324997,175.81,5.3741015144623815e-05,216000,0.11469309010634784,3.0,0.8598887356370688,256
0.0,1.18,28,-0.17059656023979186,0.00813741298756213,1.384908173084259,173.65,0.00018185236724093556,224000,0.10549773026776384,3.0,0.9027227365970611,257
