advantage_norm,explained_variance,approx_kl_divergence,frames,P01:episode_rewards,episode_length,epoch_idx,PMM:episode_rewards,fps,P09:episode_rewards,policy_loss,value_loss,clip_fraction,policy_entropy,grad_norm
15.968718951940536,0.2829575289040804,0.012531181211216744,10240,0.0,290.90625,1,60.15625,198,100.0,0.01086818309413502,0.3551742676529102,0.33994140625,1.3192448437213897,21.394513757153454
15.968719011545181,0.18908179737627506,0.002690740523098971,20480,0.0,302.2121212121212,2,85.98484848484848,197,187.5,-0.002374991455144482,0.0790799368172884,0.1789306640625,1.6702412970364093,2.9400466451121168
15.968719273805618,0.2717048395425081,0.002128550915859039,30720,0.0,318.2421052631579,3,140.26315789473685,209,265.0000000000002,-0.002847647305316059,0.121675660694018,0.13740234375,1.735117845237255,2.846286458169391
15.968719202280045,0.33402179181575775,0.001974865692091308,40960,25.0,333.78,4,184.75,217,455.0000000000004,-0.0034608190617291257,0.13150053434073924,0.1200927734375,1.736286600679159,3.4317154824672604
15.968719273805618,0.38278457187116144,0.0016812971535957685,51200,50.0,346.35,5,216.5,221,527.5000000000002,-0.004289864941529231,0.10415119298268109,0.0939453125,1.7624663688242435,2.7285579032268172
15.968719398975372,0.534991217032075,0.0019739891836254965,61440,50.0,351.73,6,232.25,224,527.5000000000002,-0.004161575514808646,0.12603328260593116,0.115966796875,1.7148678489029408,3.014529270478762
15.968719232082368,0.5536322455853224,0.002123528930963218,71680,75.0,358.23,7,241.25,227,525.0,-0.004709859433933161,0.12917019971646368,0.128564453125,1.7120405435562134,2.657828907645363
15.968719178438187,0.6634095709770917,0.001701913765214437,81920,125.0,359.84,8,262.25,227,525.0,-0.004627859427273506,0.12873553344979882,0.0961181640625,1.7161799184978008,3.522015530572743
15.968719333410263,0.7581684235483408,0.0022566718221699138,92160,125.0,367.32,9,289.75,228,525.0,-0.005230253913032357,0.11980804544873536,0.14248046875,1.72629072368145,2.479057342428443
15.968719160556793,0.7899731170386076,0.0021789051425232966,102400,150.0,379.29,10,296.75,229,477.5000000000002,-0.005816398544266121,0.12626785077154637,0.1366455078125,1.7279185131192207,2.85869861590336
15.968719291687012,0.8025041975080967,0.0016737871190687676,112640,150.0,387.8,11,321.75,230,575.0,-0.005423777057148982,0.12543697864748538,0.0965087890625,1.7118363477289678,2.4923560434526406
15.968719273805618,0.7797267291694879,0.0019617711389289666,122880,150.0,392.53,12,336.75,231,577.5000000000002,-0.005413543548820598,0.1361953465733677,0.121875,1.7239088408648968,2.473725547279022
15.968719291687012,0.8261599216610194,0.0017669144144863487,133120,150.0,393.3,13,350.75,232,625.0,-0.005730913415209216,0.11813783654943108,0.1072509765625,1.744240716099739,2.1244140973435104
15.968719220161438,0.7673915755003691,0.001937771787857198,143360,147.5,379.54,14,334.25,232,600.0,-0.006713861734533566,0.1559182600583881,0.1197021484375,1.7392518654465676,2.5401365614545637
15.96871930360794,0.8045819506049157,0.0019892467484171734,153600,172.5,385.34,15,334.75,233,600.0,-0.00638880893093301,0.12402487494982779,0.1247802734375,1.7343925751745701,2.449113610939858
15.968719267845154,0.7762219000607729,0.0020435922384197326,163840,175.0,396.2,16,346.0,233,627.5000000000002,-0.006146960298065096,0.13693280178122222,0.124755859375,1.7319241441786288,2.218073746007073
15.968719226121902,0.8224374447017908,0.002149616821748443,174080,175.0,401.91,17,340.25,233,602.5000000000002,-0.008039867308252725,0.10842666879761964,0.1318115234375,1.7135847687721253,2.1588205048949805
15.968719178438187,0.7340289026498794,0.002235311247136718,184320,200.0,410.32,18,355.0,233,625.0,-0.007623047716333531,0.13323065317235888,0.1471435546875,1.7273879803717136,2.1549107222775
15.968719238042832,0.7735953968018293,0.0021315718903227253,194560,172.5,403.51,19,347.0,233,580.0000000000005,-0.007400239969501854,0.1341259663226083,0.1403564453125,1.7211493045091628,2.1432915103458146
15.968719327449799,0.852883656322956,0.002307476309465802,204800,197.5,396.53,20,354.25,234,625.0,-0.007248637133307057,0.1116966920089908,0.149462890625,1.7301749803125859,2.0205984688261336
15.968719190359115,0.8518065478652715,0.002183364243649326,215040,150.0,390.6,21,353.0,234,602.5000000000002,-0.007695034915377619,0.12143694201949984,0.1419921875,1.72460325807333,2.0171052140730406
15.968719267845154,0.8352766763418913,0.0020216177890691163,225280,200.0,398.51,22,373.5,234,650.0,-0.008092432509511128,0.13027924741618335,0.12158203125,1.7213589504361153,1.8594731504403081
15.96871938109398,0.8336237266659736,0.001822861864502818,235520,200.0,397.45,23,379.25,235,652.5000000000002,-0.008446077522967244,0.13400265376549214,0.1099365234375,1.7312907628715037,2.1057446654123937
15.968719244003296,0.8166466359049082,0.0019066354014628869,245760,197.5,394.24,24,359.0,235,652.5000000000002,-0.007776451071549673,0.13962879893369973,0.122021484375,1.7399027593433858,1.939922829253775
15.968719190359115,0.8584433231502772,0.002117698179791021,256000,200.0,401.28,25,392.75,235,700.0,-0.009139113176570391,0.12310350346378982,0.1357666015625,1.7252763941884042,1.9491416857980415
15.968719100952148,0.8139967314898968,0.0022875559967363325,266240,200.0,406.9,26,410.75,235,725.0,-0.007623062214406673,0.15907699663657696,0.1461669921875,1.7137302786111832,2.3627527454320862
15.968719136714935,0.7662762600928545,0.0019554460928023288,276480,200.0,406.36,27,408.0,236,702.5000000000002,-0.007218706229468808,0.2068795906379819,0.1212890625,1.7220416255295277,2.535096475011945
15.968719285726547,0.8284474391490221,0.0022347495942542915,286720,200.0,414.99,28,436.75,236,725.0,-0.008985990884684724,0.15094287323299796,0.140673828125,1.7305864326655864,2.2343324632530774
