P09:episode_rewards,frames,PMM:episode_rewards,explained_variance,P01:episode_rewards,model_prob_std,policy_gradient_loss,epoch_idx,policy_loss,advantage_norm,avg_q_retraced,fps,q_loss,avg_q_selected,episode_length,policy_entropy,policy_gradient_bias_correction,rollout_prob_std,grad_norm
0.0,7200,0.0,-11.599332729975382,0.0,0.008759322809055448,-9.930654390473137e-05,1,-9.930654390473137e-05,0.05037573811908563,0.007299767667427659,247,0.0001087277615927936,0.007117188690851132,0,2.1907819509506226,0.0,0.008759322622790933,0.03031448424691935
0.0,14400,0.0,-20.348357756932575,0.0,0.02494603213078032,-0.0003859005262105105,2,-0.0003859005262105105,0.10278918482363224,0.013844663160853088,256,0.0015230081629852067,0.014398572545421,0,2.1141606052716573,0.0,0.024946031246023872,0.33231625923394775
0.0,21600,0.0,-22.240860589345296,0.0,0.0041258129136015976,1.8732966481138646e-05,3,1.8732966481138646e-05,0.024645420101781685,0.00040856614975079235,303,3.081396065075144e-05,0.00032231498644250676,0,2.1962072054545083,0.0,0.004125812750620146,0.007646418400492182
0.0,28800,0.0,-13.213173055648804,0.0,0.0032153756512949866,1.272602376047871e-05,4,1.272602376047871e-05,0.022440565191209315,-0.00039622334491771957,332,1.2655676118811244e-05,-0.0004041935721033951,0,2.196791426340739,0.0,0.0032153755348796648,0.0038912360160445877
0.0,36000,0.0,-13.907199414571126,0.0,0.0020537865813821552,4.933591397578615e-06,5,4.933591397578615e-06,0.012549168228482207,-0.00017791623302703858,353,5.039842036088279e-06,-0.00017944822502613533,0,2.1970059951146443,0.0,0.0020537865930236876,0.0024728010298970078
0.0,43200,0.0,-9.755496994654338,0.0,0.0024429223771827917,1.181652998146395e-05,6,1.181652998146395e-05,0.017408049292862417,-0.00045556472080837316,369,6.334028644990515e-06,-0.0004960081104854908,3324.0,2.1969692866007486,0.0,0.002442922287931045,0.002343341790324775
0.0,50400,0.0,-6.435787649949392,0.0,0.002250168736403187,-1.974282245100767e-05,7,-1.974282245100767e-05,0.014036704661945502,0.0007676384610628399,382,5.662525283393431e-06,0.0007630237145349383,3324.0,2.1968589862187704,0.0,0.002250168639390419,0.0034404872497736092
0.0,57600,0.0,-9.166418329874675,0.0,0.0024142197992963097,-2.585000242352938e-05,8,-2.585000242352938e-05,0.012980287739386162,0.001210039227589732,394,6.53291510843701e-06,0.0011880352044196722,3324.0,2.1969175497690836,0.0,0.0024142197410886488,0.00289206257562756
0.0,64800,0.0,-10.945718924204508,0.0,0.0017488962155766785,4.5228200588098846e-05,9,4.5228200588098846e-05,0.012774292162309091,-0.0002730482531963692,402,3.820719230892185e-06,-0.0003644079750605063,3324.0,2.1970900297164917,0.0,0.001748896207815657,0.0011425114632082692
0.0,72000,0.0,-8.282499901453654,0.0,0.0014026296829494336,-5.665096485548323e-06,10,-5.665096485548323e-06,0.010324044277270635,0.00019155045079817987,409,2.54221627831915e-06,0.0001925546534342478,3324.0,2.1971290588378904,0.0,0.0014026296286222836,0.0009952052740835314
