episode_length,explained_variance,policy_loss,P09:episode_rewards,grad_norm,fps,policy_entropy,frames,epoch_idx,P01:episode_rewards,clip_fraction,value_loss,advantage_norm,approx_kl_divergence,PMM:episode_rewards
311.34375,-0.0796938207000494,0.005443298088357551,222.50000000000006,245.42296280188128,170,1.7154441554564983,10240,1,2.500000000000002,0.2565185546875,29.60803728015162,15.968718957901,0.19127575909625472,96.09375
314.2258064516129,8.940696716308593e-09,-0.0007833174364350271,222.49999999999997,0.7368575411124607,171,1.7533509112894534,20480,2,25.0,0.11767578125,0.02124638111126842,15.968717956542969,0.0018882316058011384,112.90322580645162
318.63829787234044,-1.1175870895385742e-08,-0.0016973804667941295,267.5000000000001,0.255894138914263,176,1.7762574702501297,30720,3,25.0,0.110498046875,0.020137945073656738,15.968718236684799,0.0017011088160757027,126.32978723404256
328.93,-1.4156103134155273e-08,-0.001622315510030603,325.0,0.1993120753780642,177,1.7694596514105796,40960,4,47.50000000000001,0.085400390625,0.02094267222273629,15.968718069791795,0.0012115273959466323,152.25
338.58,-1.1920928955078126e-08,-0.0019861248070810688,380.00000000000045,0.15950202055264412,178,1.765598588436842,51200,5,47.50000000000001,0.0736572265625,0.02227297934878152,15.968718165159226,0.0012349235390331614,176.5
345.91,-7.450580596923829e-10,-0.0013589848967967555,380.00000000000045,0.10988462487861535,180,1.7579787217080594,61440,6,25.0,0.03427734375,0.022151316137751564,15.968718236684799,0.0007282902999392604,188.75
344.06,7.450580596923829e-10,-0.0013294814554683399,480.00000000000045,0.09842868462397691,182,1.7740947231650352,71680,7,25.0,0.0316650390625,0.020387962489621714,15.96871793270111,0.0006666511848813173,200.5
342.21,-1.0058283805847169e-08,-0.0008643328863399801,425.0,0.085743574467682,183,1.787571831047535,81920,8,25.0,0.0017333984375,0.019423510682827327,15.968717944622039,0.00032398028257834,194.25
332.91,1.825392246246338e-08,-0.0005346670492144767,327.5000000000002,0.0676360869374182,184,1.7847221128642559,92160,9,25.0,0.0,0.019894211093196647,15.968718081712723,0.0001310087300691265,174.75
332.63,-5.960464477539063e-09,-0.000820909592357566,280.00000000000045,0.06549645708200011,186,1.7764121428132058,102400,10,50.0,0.0,0.01860917289450299,15.968717908859253,0.00022168896336012268,170.75
328.84,9.313225746154785e-09,-0.0005857322405063315,252.50000000000023,0.06459281064203706,187,1.7786175034940244,112640,11,50.0,0.0,0.019702028468600474,15.968718016147614,0.00013207664741621272,156.0
334.9,1.30385160446167e-08,-0.0011649854350253008,277.5000000000002,0.06748262974112532,187,1.7831607036292554,122880,12,50.0,0.001025390625,0.01953597055980936,15.968717944622039,0.00030833795557931863,164.0
335.02,1.7881393432617187e-08,-0.0005454937869217247,277.5000000000002,0.06833216720448118,187,1.7743791706860066,133120,13,50.0,0.0,0.02392233912833035,15.968718248605729,0.00014038205670861004,157.75
339.02,-3.725290298461914e-09,-0.0005169821626623162,302.5000000000002,0.06395209370444739,188,1.7816249966621398,143360,14,50.0,0.0,0.022670466045383364,15.968718105554581,0.00013902419343239102,173.0
337.66,-1.825392246246338e-08,-0.0005744090944062918,325.0,0.06631493443021218,188,1.7871829070150853,153600,15,50.0,0.0,0.02201360934996046,15.968718248605729,0.0001490661525860304,178.0
338.58,-1.4528632164001465e-08,-0.0006772366788936779,350.0,0.0667089916186513,188,1.7784356780350208,163840,16,50.0,0.0,0.019759525355766527,15.968718206882476,0.00016359570034545355,189.25
341.13,-1.0058283805847169e-08,-0.0006875403738376918,450.0,0.06421819519638328,188,1.7817884989082813,174080,17,47.50000000000001,0.0,0.021705432736780494,15.96871811747551,0.00016110380761951147,187.5
343.33,2.2351741790771484e-09,-0.0005580259772614227,352.5000000000002,0.0677156175763933,188,1.7786922097206115,184320,18,47.50000000000001,0.0,0.02114156696770806,15.968718200922012,0.00015959809281582694,184.25
347.06,-1.4156103134155273e-08,-0.00032422544063592795,425.0,0.06311116556942013,188,1.781706314533949,194560,19,47.50000000000001,0.0,0.01810021863493603,15.968717980384827,8.574264159317835e-05,186.0
341.63,1.6763806343078613e-08,-0.0005560405901633203,400.0,0.06483867427409573,189,1.7831941083073617,204800,20,47.50000000000001,0.0,0.021881767141167074,15.968718183040618,0.0001373282344665938,181.25
338.04,-1.3783574104309083e-08,-0.00048153310035559116,305.00000000000045,0.06132461984141465,189,1.7890078149735928,215040,21,47.50000000000001,0.0,0.021880912577034905,15.968718153238296,0.00011461177932545752,169.5
337.16,-7.82310962677002e-09,-0.0005728186672058655,377.5000000000002,0.05725224603107777,189,1.7885119311511517,225280,22,47.50000000000001,0.0,0.015848250837007073,15.968717896938324,0.00014236486067673582,170.0
339.88,-7.82310962677002e-09,-0.0006921424006577581,405.00000000000045,0.05479603803995843,189,1.7754558973014354,235520,23,50.0,0.0,0.02432038721162826,15.968718326091766,0.00014479551231332265,188.5
342.07,-1.564621925354004e-08,-0.0006101633978687459,475.0,0.053782749288556864,189,1.7802921682596207,245760,24,47.50000000000001,0.0,0.021881419740384444,15.96871799826622,0.00016008570810583934,201.5
342.91,2.6077032089233397e-09,-0.0005583330923400354,477.5000000000002,0.057106575460107015,189,1.7860756926238537,256000,25,50.0,0.0,0.02243828557548113,15.968718159198762,0.0001268381321462897,212.25
339.4,1.1175870895385742e-09,-0.00038681913210893983,362.5000000000011,0.05416925220989925,189,1.7837047778069972,266240,26,50.0,0.0,0.02239246467943303,15.968718218803406,9.538253452809898e-05,199.5
