PMM:episode_rewards,approx_kl_divergence,frames,policy_entropy,explained_variance,policy_loss,P09:episode_rewards,epoch_idx,clip_fraction,grad_norm,episode_length,advantage_norm,P01:episode_rewards,fps,value_loss
159.375,278800.799401856,10240,0.19200950943333905,-0.22975330874323846,0.06135463297086972,287.5,1,0.194775390625,235434552.13172573,528.0625,15.968716162443162,62.5,238,130066270.29870138
168.47826086956522,0.008193348123131727,20480,0.8759979156777262,5.587935447692871e-09,0.0012961354288563598,375.0,2,0.2039306640625,0.06676538038242555,433.7608695652174,15.968714928627014,12.5,230,0.008181633689525824
190.8783783783784,0.00286331576678549,30720,1.1319419667124748,-7.450580596923828e-09,-0.00015648969856556504,467.5000000000001,3,0.1293701171875,0.042978012901708204,408.6216216216216,15.968717610836029,25.0,236,0.011366258163116072
200.0,0.002285597668293349,40960,1.0231745798140763,-2.6077032089233397e-09,-0.0006562424217918305,452.50000000000017,4,0.1168212890625,0.03871016696998341,400.48,15.968717783689499,25.0,237,0.010952753579476848
211.5,0.0014886735197251256,51200,0.7923590384423733,-5.215406417846679e-09,-0.0009746714440552751,475.0,5,0.08369140625,0.03166993751130365,372.45,15.96871766448021,75.0,237,0.011044003484130371
215.25,0.0016658631517543654,61440,0.7651102963835001,-1.862645149230957e-09,-0.0004779809431056492,425.0,6,0.0803466796875,0.0286455820137484,381.49,15.96871766448021,75.0,237,0.010972443519131047
250.25,0.0008830023778500617,71680,0.7555447734892369,4.8428773880004884e-09,-0.00037048680533189324,575.0,7,0.062353515625,0.033228556429779184,398.83,15.96871782541275,75.0,236,0.013290035921090747
281.5,0.0013928946719715895,81920,0.8347363460808992,3.725290298461914e-09,-0.00045431432990881147,575.0,8,0.0753662109375,0.03575828821583708,416.01,15.96871770620346,75.0,235,0.012585621417383664
316.25,0.0013492652587387965,92160,0.9261256124824285,-2.9802322387695314e-09,-0.0003263398823037278,575.0,9,0.07890625,0.04212883451547706,418.23,15.968717992305756,125.0,237,0.015669730192166755
318.75,0.0017837167787433828,102400,0.929280611127615,7.450580596923829e-10,-0.0005691146368917543,575.0,10,0.101513671875,0.044219432999941265,409.97,15.968717980384827,172.5,238,0.01587276207865216
306.0,0.001755683231817784,112640,0.9624055843800307,-2.2351741790771484e-08,-0.0004942745712469332,502.5000000000002,11,0.08359375,0.04393456095076298,396.66,15.968717986345291,175.0,238,0.016350261156912894
301.0,0.0016849267621410035,122880,0.8745969202369451,1.862645149230957e-09,-0.000482153044140432,502.5000000000002,12,0.0999267578125,0.04001674035683957,386.31,15.968717986345291,200.0,239,0.015235578593274113
292.5,0.0015492511772720262,133120,0.9205515693873167,3.7252902984619143e-10,-0.000649915677786339,410.00000000000085,13,0.092236328125,0.04472071727693493,385.84,15.968718004226684,197.5,238,0.015447216754546389
296.5,0.00168462609444191,143360,1.0401079263538122,-7.450580596923828e-09,-0.00019375794508960097,502.5000000000002,14,0.0981201171875,0.049421304208436045,387.12,15.968718022108078,175.0,238,0.015675878550973722
290.5,0.002002874070501548,153600,1.1026645965874196,-6.332993507385254e-09,-0.000734168553026393,410.00000000000085,15,0.1066162109375,0.05296734767182115,380.48,15.968718028068542,150.0,239,0.01644958606630098
283.0,0.0020394056170289334,163840,1.103396513313055,-1.3411045074462891e-08,-0.0006195925616339082,377.5000000000002,16,0.0874267578125,0.05060795915500438,366.64,15.968718028068542,175.0,239,0.018078730723937043
281.25,0.001954393371511287,174080,1.1056730307638645,1.4156103134155273e-08,-0.0007048622232105117,350.0,17,0.11669921875,0.05076186109875562,363.39,15.968717843294144,197.5,239,0.016860545432427897
295.75,0.0019399763987394182,184320,1.170765794068575,4.8428773880004884e-09,-0.0006335853475320618,375.0,18,0.10458984375,0.0568542636885816,356.67,15.968718087673187,200.0,240,0.020015686383703723
304.75,0.0026085434593369427,194560,1.2470237746834756,-1.2665987014770507e-08,-0.001220499946794007,377.5000000000002,19,0.1496337890625,0.05813851903525372,349.17,15.968718081712723,200.0,240,0.020157742936862632
316.25,0.0019452417258776222,204800,1.2750711217522621,1.2665987014770507e-08,-0.0005501905659912154,402.5000000000002,20,0.112158203125,0.05386720440525149,347.46,15.968718165159226,225.0,240,0.019183034214074725
305.5,0.0017467097205326354,215040,1.2260213926434518,8.195638656616212e-09,-0.0006541516449942719,400.0,21,0.084423828125,0.051924268060400104,347.71,15.96871811747551,200.0,240,0.017235176963731648
304.5,0.0015783415633892517,225280,1.0686112344264984,6.332993507385254e-09,-0.0008437396958470344,402.5000000000002,22,0.103125,0.04953529260521717,358.1,15.968717980384827,200.0,241,0.01778778500156477
297.5,0.001875937775531611,235520,1.1263973712921143,0.0,-0.0005288012840537704,375.0,23,0.0940673828125,0.04940677680674206,359.4,15.968718063831329,200.0,241,0.018462012567033524
291.25,0.0019053598105983837,245760,1.21098228469491,-3.725290298461914e-09,-0.0010725497886596713,375.0,24,0.137255859375,0.057621352530802895,354.71,15.968718075752259,200.0,241,0.01878494209377095
290.5,0.00234406908236906,256000,1.2112689048051835,-1.4901161193847657e-09,-0.001089128050080035,350.0,25,0.152490234375,0.05840603860763105,346.46,15.968717789649963,225.0,241,0.01856850509357173
285.5,0.0018604233246364288,266240,1.1504418388009072,1.7508864402770997e-08,-0.0008834057432977715,350.0,26,0.1219482421875,0.05699519316222279,336.97,15.968717980384827,225.0,241,0.019022594852140175
278.0,0.001417224453405197,276480,1.083211638778448,-1.4156103134155273e-08,-0.0007585392977489391,350.0,27,0.0729736328125,0.049418756915933705,337.66,15.968717950582505,222.5,241,0.017869006597902626
266.5,0.002011404936823169,286720,1.0584832474589347,5.587935447692871e-09,-0.0012720030597847653,350.0,28,0.121435546875,0.051902281382334305,337.11,15.968717783689499,200.0,241,0.016063358704559504
255.5,0.002000394506143266,296960,1.119417057931423,-2.123415470123291e-08,-0.0007649847571883584,325.0,29,0.112744140625,0.051153542413734265,347.05,15.968717885017394,200.0,241,0.01648131746260333
259.5,0.0016708262727282985,307200,1.1138067841529846,1.4156103134155273e-08,-0.0006650061110121897,350.0,30,0.0923095703125,0.04886751317901554,349.72,15.96871787905693,197.5,241,0.016238146551768296
260.0,0.0019003432660412046,317440,1.1041965067386628,3.725290298461914e-09,-0.0006823627882113215,350.0,31,0.105029296875,0.05359021663564108,349.73,15.968717980384827,175.0,241,0.015604306681780145
265.25,0.002411363293660429,327680,1.182981190830469,6.7055225372314455e-09,-0.0013972932603792288,350.0,32,0.148681640625,0.05740726550716442,345.86,15.96871799826622,175.0,241,0.018407794611994176
275.75,0.0018491791514335886,337920,1.2153572775423527,1.0430812835693359e-08,-0.0009532152333122212,350.0,33,0.1048828125,0.05443956223811326,344.71,15.96871793270111,200.0,240,0.019285830762237312
