policy_gradient_bias_correction,grad_norm,policy_entropy,policy_gradient_loss,q_loss,rollout_prob_std,episode_length,model_prob_std,P09:episode_rewards,P01:episode_rewards,explained_variance,policy_loss,fps,PMM:episode_rewards,avg_q_selected,avg_q_retraced,epoch_idx,advantage_norm,frames
0.0,0.05783659288355929,2.1818139632542928,-4.6070355449501224e-05,0.0005713200578611576,0.010062737468009194,0,0.01006273739039898,0.0,0.0,-77.50470746358236,-4.6070355449501224e-05,320,0.0,0.001734525855863467,0.0017477578134275974,1,0.033503910340368745,7200
0.0,0.1343244133044368,2.176072911421458,3.963200254588628e-05,0.0005133537029602546,0.01166781416007628,0,0.011667814212463176,0.0,0.0,-289.6681941986084,3.963200254588628e-05,182,0.0,0.002651153814319211,0.0031844574109224292,2,0.014802915874558191,14400
0.0,0.0028758836910322268,2.1969446182250976,-6.736153416871579e-06,1.1822405152391487e-05,0.0023484233922014632,0,0.002348423411604017,0.0,0.0,-41.34516712824504,-6.736153416871579e-06,216,0.0,0.00022093662681375766,0.00022676394391965004,3,0.009651200729422271,21600
0.0,0.003164776209784319,2.196655503908793,7.997126128126789e-07,1.7138739379637022e-05,0.0036535246724573272,0,0.003653524691859881,0.0,0.0,-50.36229616800944,7.997126128126789e-07,246,0.0,4.5141384422701476e-05,5.615081815146065e-05,4,0.022339369170367718,28800
0.0,0.0013430180276995769,2.1970614035924276,-6.14294271391221e-06,8.96323279751717e-06,0.0015802711073774844,0,0.0015802711267800381,0.0,0.0,-128.30929632186889,-6.14294271391221e-06,274,0.0,0.00011907655146690862,0.00013753224454073157,5,0.00965197451878339,36000
0.0,0.001644718709883733,2.1969647725423176,-6.214159232816504e-07,8.526395777153085e-06,0.002239231072599068,3324.5833333333335,0.0022392310958821325,0.0,0.0,-64.891770362854,-6.214159232816504e-07,295,0.0,-5.404445728345309e-05,-2.3844301661786934e-05,6,0.014946373815958699,43200
0.0,0.0010565088962212548,2.1971630493799847,1.1993735019662685e-06,4.86850372756938e-06,0.0009550319790529708,3324.5833333333335,0.0009550319829334815,0.0,0.0,-87.08950449625651,1.1993735019662685e-06,314,0.0,6.517289590798706e-05,8.388697786661699e-05,7,0.0049546518983940285,50400
0.0,0.0009912127629985745,2.197180438041687,-7.347679627400794e-06,3.826550497857776e-06,0.0009106078864230464,3324.5833333333335,0.0009106078650802374,0.0,0.0,-73.28020858764648,-7.347679627400794e-06,331,0.0,0.00027438128016162483,0.0002931282297746899,8,0.0035021585722764333,57600
0.0,0.0009642389505203669,2.197083306312561,-4.352879335556281e-06,5.241257576926728e-06,0.001602531102253124,3324.5833333333335,0.0016025310944921026,0.0,0.0,-49.6913117090861,-4.352879335556281e-06,344,0.0,0.0002031829656516493,0.0001338821971330617,9,0.011250050466818115,64800
0.0,0.0008088530829709943,2.1971269448598227,-5.453897334935694e-06,3.4961709009924863e-06,0.0012542600083785753,3324.5833333333335,0.0012542599783046172,0.0,0.0,-119.58225892384847,-5.453897334935694e-06,354,0.0,0.00020462664072814127,0.00018004517684554837,10,0.007805570781541368,72000
