policy_entropy,P01:episode_rewards,frames,P09:episode_rewards,PMM:episode_rewards,clip_fraction,value_loss,fps,episode_length,advantage_norm,explained_variance,grad_norm,approx_kl_divergence,epoch_idx,policy_loss
0.35793199304625,125.0,10240,195.0000000000001,147.0,0.3435791015625,2884237248.5803766,181,344.4,15.968716019392014,-3.0426047004759313,2210363508.209538,15781411.53035732,1,0.07359105911245933
1.374912553280592,50.0,20480,275.0,148.24561403508773,0.2536865234375,0.009676520740322303,184,348.70175438596493,15.968717551231384,2.905726432800293e-08,0.11102197971747096,0.005678838306539547,2,0.0012072785502823535
1.4484515614807605,47.50000000000001,30720,277.5000000000002,153.61111111111111,0.2627197265625,0.008017871333834137,197,343.8222222222222,15.968717473745347,-2.7567148208618165e-08,0.055837076912801376,0.004561829422584651,3,-0.0009826954210438998
1.3454872034490108,25.0,40960,300.0,136.25,0.2533203125,0.005708799455194447,204,332.03,15.968712872266769,-1.862645149230957e-08,0.04070474836856229,0.004039381473887715,4,-0.0016180006721697282
1.427004936337471,0.0,51200,252.50000000000023,116.25,0.223779296875,0.005335379060852574,206,319.78,15.968714982271194,0.0,0.0414703042064834,0.003940818469584428,5,-0.001122309760103235
1.553963904827833,0.0,61440,227.5000000000002,109.75,0.2374267578125,0.00895137249290201,210,321.46,15.968717712163926,-1.564621925354004e-08,0.04952786388037737,0.003659136232522542,6,-0.0016421912547230021
1.545690629631281,0.0,71680,250.0,119.25,0.2576904296875,0.007826826896780404,213,325.25,15.968717813491821,1.4901161193847657e-09,0.04812941440023298,0.003958916658780254,7,-0.0015692622138885782
1.6051839642226695,25.0,81920,252.50000000000023,138.75,0.187060546875,0.008940654395428283,213,328.09,15.968717789649963,-1.6391277313232423e-08,0.05221219524921887,0.0030971977533567952,8,-0.0008751165420108009
1.614676621556282,0.0,92160,275.0,138.0,0.2326904296875,0.009883167466250597,215,323.57,15.968717342615127,2.6077032089233397e-09,0.05335973673630484,0.0034471604444661352,9,-0.00130875507456949
1.6029684454202653,25.0,102400,275.0,157.0,0.2218017578125,0.010426733402346145,216,331.07,15.968717670440673,1.2665987014770507e-08,0.0525499677153328,0.003612807148806496,10,-0.0015513317026488948
1.603322657942772,50.0,112640,300.0,180.0,0.2591796875,0.010910741265979596,218,341.71,15.968717795610427,2.0861625671386717e-08,0.05646983817264724,0.0034980306821125852,11,-0.0019658439188788178
1.6707783065736295,75.0,122880,455.0000000000004,213.0,0.2244873046875,0.011246207139265607,219,350.53,15.968717962503433,4.097819328308106e-09,0.05406110921812466,0.003297559562213337,12,-0.001546049375247094
1.699540102481842,75.0,133120,527.5000000000002,221.75,0.206787109375,0.01176071130321361,220,351.99,15.968717730045318,-5.215406417846679e-09,0.05353768194079174,0.003094637836363745,13,-0.0012875523210823304
1.7097111232578754,75.0,143360,502.5000000000002,234.25,0.184033203125,0.013443184155767085,221,352.5,15.968717896938324,-2.2351741790771484e-09,0.05617368492506941,0.0026050703335954496,14,-0.000986654162988998
1.6735838927328586,75.0,153600,405.00000000000045,232.25,0.208251953125,0.014027755906408857,221,352.64,15.968717694282532,4.097819328308106e-09,0.055862561782445606,0.003211547114710811,15,-0.001597248369944282
1.7243063144385815,97.5,163840,405.00000000000045,238.5,0.2543212890625,0.011944907772704027,222,351.69,15.96871787905693,-4.470348358154297e-09,0.05530042884184168,0.00382067046582506,16,-0.0019188187885447404
1.7407335311174392,50.0,174080,450.0,233.5,0.204443359375,0.010198183986358345,222,355.7,15.968717795610427,-1.4901161193847657e-09,0.05406162647840784,0.0028227362949621694,17,-0.001164928295838763
1.7077143900096416,50.0,184320,430.0000000000004,225.75,0.165087890625,0.012910842303972459,223,354.73,15.96871789097786,-2.2351741790771484e-09,0.055515582018418996,0.0025080551026462673,18,-0.0010131058377737645
1.6646903529763222,72.50000000000001,194560,425.0,224.75,0.2368896484375,0.013485712357214652,223,357.56,15.96871787905693,-1.1548399925231934e-08,0.05358437042599941,0.0031658954253543925,19,-0.0025171561501338147
1.5682184785604476,75.0,204800,525.0,253.75,0.1760498046875,0.01352783591428306,223,357.77,15.968717867136002,1.2293457984924316e-08,0.051762778296102055,0.002270458565823219,20,-0.0011612190886808095
1.6303057685494422,125.0,215040,525.0,261.75,0.220361328125,0.013092504804444616,224,357.44,15.968717652559281,3.7252902984619143e-10,0.053045250134720515,0.0033521892242447393,21,-0.0014203099985024893
1.6361314922571182,125.0,225280,550.0,270.75,0.2020751953125,0.011314559344828012,224,362.02,15.96871777176857,-1.564621925354004e-08,0.052846205581156505,0.0029324441543906233,22,-0.0014220348959497642
1.6307718656957149,100.0,235520,550.0,249.75,0.2130615234375,0.009520424318907317,224,363.19,15.968717753887177,-4.8428773880004884e-09,0.049650737278049334,0.002966624674547802,23,-0.0015687687046010979
1.6114001825451851,50.0,245760,450.0,202.5,0.2632080078125,0.007106206906519219,224,353.82,15.968717747926712,1.7881393432617187e-08,0.05019520386575031,0.0038004118469416428,24,-0.0014071316145418677
1.5964767068624497,47.50000000000001,256000,300.0,150.0,0.247900390625,0.006399888889052363,225,339.53,15.968715834617615,9.313225746154785e-09,0.04983321645969182,0.0033249315735247365,25,-0.0011270961149421055
1.5798337154090405,0.0,266240,252.50000000000023,121.75,0.236767578125,0.007565303555475111,225,325.75,15.968717485666275,-1.080334186553955e-08,0.05015508192085253,0.0029067122394565103,26,-0.0018868782950448803
1.5353166170418262,0.0,276480,275.0,124.5,0.255517578125,0.0076545083197743224,225,325.63,15.968717485666275,7.82310962677002e-09,0.05150085778366227,0.0036479328885889117,27,-0.001942880094429711
