approx_kl_divergence,epoch_idx,grad_norm,episode_length,P09:episode_rewards,frames,policy_loss,explained_variance,PMM:episode_rewards,P01:episode_rewards,clip_fraction,fps,value_loss,advantage_norm,policy_entropy
0.03742807372018461,1,63.588109609476035,318.4642857142857,215.00000000000003,10240,0.010456723076640629,-0.056183868646621705,138.39285714285714,25.0,0.29951171875,165,5.55816498871427,15.968718665838242,1.6077847618609666
0.0017931091184323123,2,0.6986259011557989,333.8474576271187,255.00000000000006,20480,-0.0005232175702985842,1.4901161193847657e-09,154.66101694915255,25.0,0.0988037109375,167,0.027294399723177775,15.968718165159226,1.718521135300398
0.0017564262801414543,3,0.3083616359971447,343.14772727272725,475.0,30720,-0.0013797095340123632,8.195638656616212e-09,198.57954545454547,50.0,0.0954345703125,177,0.023385941190645097,15.968718194961548,1.7580563858151437
0.0009089122471493738,4,0.14234583334323053,346.26,427.5000000000002,40960,-0.0010393737291451543,-6.7055225372314455e-09,199.5,50.0,0.0420654296875,179,0.020204205231857487,15.968718045949936,1.774201623350382
0.0005215770802180942,5,0.1031601207488276,338.18,430.0000000000004,51200,-0.0012860456474300009,-1.5273690223693846e-08,189.5,50.0,0.01533203125,183,0.017763194622239097,15.968718057870865,1.7796598747372627
0.0005094789329902483,6,0.07903418479969937,332.61,275.0,61440,-0.000980954844271764,-1.6391277313232423e-08,164.5,50.0,0.0114990234375,187,0.02235643021413125,15.96871812939644,1.7712931148707867
0.0002923849476431428,7,0.07072043865342478,326.22,277.5000000000002,71680,-0.0008367566570086638,-3.3527612686157227e-08,158.5,25.0,0.0022216796875,188,0.01894604864064604,15.968718039989472,1.7873677089810371
0.00019260314786571087,8,0.0710231044746043,331.21,355.00000000000045,81920,-0.0005583698763075518,-1.862645149230957e-08,178.0,50.0,0.0,189,0.021621163352392614,15.968718218803406,1.782696294784546
0.0003712988034539677,9,0.0720281008877799,327.46,355.00000000000045,92160,-0.001090024403310963,3.7252902984619143e-10,167.25,25.0,0.0056396484375,189,0.019888741782051512,15.968717974424361,1.7788581930100917
0.00017323845199541666,10,0.06196961146271683,330.86,350.0,102400,-0.0006447544099501101,-9.313225746154785e-09,170.25,25.0,0.0,190,0.021193082048557698,15.968717914819717,1.7690940879285335
0.00016211628134072954,11,0.06966260099510829,332.03,350.0,112640,-0.0005295089915307472,-1.5273690223693846e-08,176.5,25.0,0.0,190,0.0233529579709284,15.968718302249908,1.7708001464605332
0.00018304695385857884,12,0.06283188434084541,336.37,352.5000000000002,122880,-0.0007298580610950011,5.215406417846679e-09,186.25,50.0,0.0,190,0.02178153211134486,15.96871812939644,1.7781964473426342
0.00017418592778923881,13,0.06081649503625201,332.87,375.0,133120,-0.000607035150824231,-4.097819328308106e-09,184.75,50.0,0.0,189,0.01976734409399796,15.968718045949936,1.786356345564127
0.0001294121625086575,14,0.06439558189827832,334.85,430.0000000000004,143360,-0.0005587487750744913,-3.01748514175415e-08,191.75,50.0,0.0,190,0.022442589653655885,15.968718194961548,1.7789955280721188
9.980492397794194e-05,15,0.06736202584987916,336.3,477.5000000000002,153600,-0.0003176383677782724,3.725290298461914e-09,196.5,47.50000000000001,0.0,191,0.025272331322776155,15.96871839761734,1.765345273911953
0.00018888300416080027,16,0.06809004472625871,344.25,552.5000000000002,163840,-0.0007489184193673282,-1.862645149230957e-09,221.5,50.0,0.0,189,0.024184757165494376,15.968718361854553,1.7711096808314324
0.0001413686014919868,17,0.056172255216999936,344.19,475.0,174080,-0.0005441576318844455,2.905726432800293e-08,209.5,50.0,0.0,189,0.02149455453036353,15.968718022108078,1.7745804205536841
0.00012531510674698154,18,0.0567582619636953,340.64,385.00000000000085,184320,-0.00047657364266342486,-1.9744038581848144e-08,196.75,50.0,0.0,190,0.01958410200313665,15.968718147277832,1.7803509585559367
0.0001878135485426924,19,0.05956148143723372,335.42,327.5000000000002,194560,-0.0008273020946944598,4.097819328308106e-09,170.0,25.0,0.0,190,0.0202573329792358,15.968718081712723,1.7881397530436516
0.000119859547538681,20,0.054587275909289114,329.38,325.0,204800,-0.0004892997963906965,-1.1175870895385742e-09,163.25,25.0,0.0,190,0.01910459809441818,15.9687180519104,1.7857119627296925
0.00014288528172663463,21,0.05667413972452977,335.82,327.5000000000002,215040,-0.0006319235937553458,2.1979212760925294e-08,177.5,25.0,0.0,190,0.023223316459916533,15.968718272447585,1.7826660238206387
0.00011570555385134184,22,0.056675290452127915,331.72,325.0,225280,-0.00048625919444020835,1.9371509552001954e-08,172.5,50.0,0.0,190,0.01964784978190437,15.968718039989472,1.7867932222783565
0.0001578892849664726,23,0.055147392123954586,330.16,325.0,235520,-0.0006097073197452119,-1.4528632164001465e-08,162.25,47.50000000000001,0.0,190,0.016003418792388403,15.968717986345291,1.7863980278372764
9.155462798560166e-05,24,0.0554697477090757,322.89,252.50000000000023,245760,-0.0004071976476552663,-2.384185791015625e-08,138.5,47.50000000000001,0.0,191,0.01634428405377548,15.968717873096466,1.786195281893015
0.0001243429604848245,25,0.0552812193179564,326.61,250.0,256000,-0.0005388669953390491,-1.1548399925231934e-08,138.25,25.0,0.0,191,0.017487223801435903,15.968717801570893,1.7896814875304699
9.804298582913873e-05,26,0.05389744726495702,328.32,252.50000000000023,266240,-0.00045149632314860354,-3.2782554626464846e-08,144.0,25.0,0.0,191,0.01929358367342502,15.968718189001084,1.782206016778946
9.836963741278737e-05,27,0.052981252010948686,333.89,275.0,276480,-0.00041062386371777394,-1.7508864402770997e-08,156.75,25.0,0.0,191,0.021192777814576402,15.968718230724335,1.78555304184556
