epoch_idx,advantage_norm,P01:episode_rewards,episode_length,frames,policy_loss,explained_variance,grad_norm,fps,clip_fraction,value_loss,P09:episode_rewards,approx_kl_divergence,PMM:episode_rewards,policy_entropy
1,15.968719339370727,200.0,343.5833333333333,10240,0.007749853709538001,0.4473640162497759,26.096631251534046,197,0.2846923828125,0.6417891257442534,342.5,0.007669275484637505,265.625,1.2549133583903314
2,15.96871908903122,150.0,347.4736842105263,20480,-0.0007333154309890233,0.5842149320989847,5.610362254537269,189,0.239306640625,0.14095439659431577,325.0,0.0036271878510893752,238.1578947368421,1.5116847336292267
3,15.968719226121902,150.0,350.69767441860466,30720,-0.0033484050378319806,0.5880082540214062,4.509962885475103,200,0.18857421875,0.1442021105904132,350.0,0.0028655760039332065,254.36046511627907,1.6150615625083447
4,15.968719202280045,125.0,351.18,40960,-0.0031776722680660896,0.48143705911934376,4.940011196154063,209,0.1241455078125,0.1688810706138611,350.0,0.0019466480786835684,240.75,1.704401460289955
5,15.968719226121902,125.0,354.84,51200,-0.004925700535932265,0.5536262109875679,3.567018920717026,213,0.123828125,0.12468964972067624,500.0,0.0019950241922859443,260.75,1.7335753180086613
6,15.968719244003296,100.0,358.45,61440,-0.005058578596435837,0.5691619582474232,3.1247159943198395,218,0.129443359375,0.12958534685894846,500.0,0.002108328683380277,266.5,1.749676200002432
7,15.968719279766082,100.0,364.22,71680,-0.005819865072407992,0.6241998448967934,3.764951362318629,221,0.1376953125,0.13732959143817425,505.00000000000045,0.0021614350737994316,268.0,1.7358337111771107
8,15.968719190359115,125.0,374.4,81920,-0.006008690680914697,0.7746060103178024,2.584706232172981,222,0.163427734375,0.11646163193508982,525.0,0.002589174277932539,284.75,1.7274810418486595
9,15.96871907711029,150.0,377.47,92160,-0.00572228275850648,0.852450492978096,3.221941436195999,225,0.167822265625,0.12070478880777955,527.5000000000002,0.002583212094487259,317.0,1.713192943483591
10,15.968719267845154,175.0,383.81,102400,-0.005495522642377182,0.7748304504901171,3.0165903914527887,226,0.1269775390625,0.15678166174329816,600.0,0.0020640036880880345,328.25,1.706345934420824
11,15.96871926188469,175.0,388.39,112640,-0.006820375779352616,0.8322892848402261,2.630132162395642,227,0.1501220703125,0.12742466954514384,627.5000000000002,0.0024182753422567977,356.25,1.715558908134699
12,15.968719172477723,200.0,394.37,122880,-0.0066702614447422095,0.827095091715455,3.2433347750524115,228,0.134619140625,0.1269265171373263,625.0,0.002058785369343074,365.75,1.716474896669388
13,15.968719309568405,200.0,402.92,133120,-0.00850163023424102,0.852990685403347,2.5747011119791896,229,0.1583984375,0.1188127126544714,650.0,0.0024416687613214535,389.5,1.7123366624116898
14,15.968719232082368,200.0,403.1,143360,-0.007259998789959354,0.8270233646035194,2.771198166112893,230,0.15009765625,0.1416334112174809,650.0,0.0023963148731585165,380.75,1.7093902751803398
15,15.968719273805618,200.0,402.47,153600,-0.008173942620851448,0.8352468837052583,2.17151510177126,230,0.173779296875,0.10651474709156901,650.0,0.0026748114906698798,392.75,1.6980473689734936
16,15.968719226121902,200.0,410.31,163840,-0.006752135763599653,0.8551990274339915,2.6889983033772715,230,0.1597900390625,0.1330007715150714,652.5000000000002,0.002454166950065315,408.0,1.7043301805853843
17,15.968719220161438,175.0,412.82,174080,-0.0065968139209871875,0.7749635752290487,2.752109692602115,231,0.1195068359375,0.1407370806671679,650.0,0.0020022971958499683,387.5,1.7307361364364624
18,15.968719166517257,175.0,418.89,184320,-0.008004574269216391,0.8353521320968866,1.8554038663780623,233,0.13037109375,0.10749980476684869,675.0,0.002016891498044778,406.25,1.746206933259964
19,15.968719434738158,175.0,407.2,194560,-0.007992156192995026,0.7917588591575623,2.1878377461363963,233,0.1376220703125,0.13397740223444998,650.0,0.0021558494055855574,370.75,1.7252099812030792
20,15.96871936917305,172.5,409.43,204800,-0.008267246124887606,0.7977198876440525,1.9486168909958934,233,0.140771484375,0.11568572877440601,652.5000000000002,0.0021733297500534906,378.0,1.7285217970609665
21,15.968719214200974,175.0,407.67,215040,-0.008681813860312105,0.6983638245612382,2.1391200163930404,234,0.1660400390625,0.12204943248070776,652.5000000000002,0.002503853266239575,389.75,1.7273995906114579
22,15.968719267845154,150.0,405.34,225280,-0.008516348640841897,0.8087600015103817,2.1671266114004033,234,0.1369873046875,0.14018801304046064,650.0,0.002158878398336425,383.25,1.731660071760416
23,15.96871908903122,172.5,413.17,235520,-0.008947159009403549,0.8702427595853806,2.230362669688174,234,0.1448974609375,0.10121468370780348,650.0,0.0023502428614168114,404.25,1.7230691231787205
24,15.968719255924224,172.5,413.81,245760,-0.00908686636321363,0.7672095783054829,1.8090590544843976,235,0.16416015625,0.1259064323734492,650.0,0.0024554764075904074,402.25,1.7330681450664998
25,15.968719148635865,175.0,412.26,256000,-0.009790977348166053,0.7970296587795019,1.856681255135817,235,0.135791015625,0.1210772393969819,650.0,0.002239606595003673,400.0,1.7112938955426216
26,15.968719351291657,200.0,413.46,266240,-0.009109114766761194,0.862507339939475,1.9404484342588106,235,0.158056640625,0.11839205126743764,650.0,0.002576802419526214,404.0,1.7080357536673545
27,15.968719238042832,200.0,412.9,276480,-0.009261630412947853,0.8169121868908406,2.0468844116767766,235,0.16328125,0.1333282441366464,627.5000000000002,0.002551977382382005,396.75,1.7091520830988884
28,15.96871938109398,222.5,416.23,286720,-0.010014601075090468,0.8504353750497102,2.1305908532618,235,0.1655517578125,0.13597980986814945,677.5000000000002,0.0027611904643439532,418.25,1.6960969261825085
29,15.968719321489335,222.5,422.53,296960,-0.008742119841917884,0.8427920322865248,2.542951888803161,235,0.13623046875,0.1604262564331293,675.0,0.0022312739849102425,435.5,1.6979913271963596
30,15.968719291687012,225.0,423.08,307200,-0.010093647843677899,0.8705863695591688,2.139546379550077,235,0.1603271484375,0.13416019859723746,675.0,0.0024488047426760974,436.25,1.7143833987414836
31,15.968719267845154,222.5,430.28,317440,-0.009666860351171636,0.8791713986545802,2.183013381716466,235,0.1476806640625,0.14666261344682424,700.0,0.0023606776368300195,456.5,1.7075412355363369
32,15.968719291687012,222.5,426.24,327680,-0.009754375172451545,0.8377256322652101,2.693205533072981,236,0.152587890625,0.19159096712246537,700.0,0.002505549056354895,455.75,1.7042270489037037
33,15.968719339370727,247.5,430.36,337920,-0.011193883922169334,0.897752695158124,2.2980616897936734,236,0.1826904296875,0.12453790130093693,725.0,0.0029437616877661687,491.5,1.6867936998605728
34,15.968719345331191,225.0,428.36,348160,-0.010096302970487159,0.8860715106129646,2.243771621977943,236,0.1313232421875,0.15034553725272418,725.0,0.002243959932116338,496.5,1.7018877863883972
35,15.968719244003296,247.5,433.97,358400,-0.010425047612807247,0.8926089148968458,2.0887241857316727,236,0.1438232421875,0.12727525220252572,727.5000000000002,0.002423364598644531,511.25,1.7015575513243675
36,15.968719291687012,250.0,443.98,368640,-0.01132908677245723,0.8615312531590462,2.062600139833202,236,0.168359375,0.12836598386056722,727.5000000000002,0.002833324208041092,529.5,1.700258980691433
37,15.968719232082368,225.0,439.97,378880,-0.010973913180350792,0.8688380792737007,2.2452662702829134,237,0.1654541015625,0.16673267134465278,725.0,0.002694201923043593,491.5,1.6951660513877869
38,15.96871919631958,250.0,449.76,389120,-0.011806820857600542,0.9035562120378018,1.8275033938119183,237,0.16845703125,0.10278245045337826,725.0,0.002697584028738165,516.5,1.6789937674999238
39,15.968719244003296,250.0,446.12,399360,-0.01216907175439701,0.9028826769441366,1.8372795397611683,237,0.166943359375,0.11049608895555138,725.0,0.002748260178191635,500.0,1.6651392199099064
40,15.968719106912612,275.0,451.95,409600,-0.012058527593399048,0.8630754210054874,1.7166755763647537,237,0.141015625,0.11942156672012061,775.0,0.002424537229081026,508.5,1.6774911284446716
41,15.968719124794006,297.5,453.15,419840,-0.01113941136500216,0.8777975015342235,1.9786587156862272,237,0.1445556640625,0.1178830387070775,775.0,0.002300061547635192,502.0,1.6794731855392455
42,15.968719351291657,275.0,447.74,430080,-0.011004338679776992,0.9320249870419502,1.8470675835984658,237,0.1407470703125,0.09438847729470581,800.0,0.0023498593295474927,496.75,1.6787965044379234
43,15.96871920824051,297.5,441.7,440320,-0.011886234516714467,0.8660142932087183,1.9138554233923375,237,0.137548828125,0.14063759427517653,775.0,0.002379638967045433,496.0,1.677236682921648
44,15.968719321489335,300.0,435.39,450560,-0.010809084980064654,0.8744531661272049,2.1908953418258337,237,0.150927734375,0.12411432473454624,750.0,0.002408772723220324,494.75,1.6782556876540184
45,15.968719094991684,300.0,429.1,460800,-0.011945758257206762,0.8961939096450806,1.9546778285741748,238,0.15263671875,0.124208312202245,752.5000000000002,0.002461543108836709,506.5,1.6831487394869327
