P09:episode_rewards,avg_q_selected,episode_length,epoch_idx,frames,model_prob_std,policy_entropy,grad_norm,PMM:episode_rewards,policy_gradient_loss,policy_loss,q_loss,fps,policy_gradient_bias_correction,P01:episode_rewards,advantage_norm,avg_q_retraced,explained_variance,rollout_prob_std
0.0,0.0012369526287026626,0,1,7200,0.008976777317002416,2.189963706334432,0.03289875192822787,0.0,6.0159305697501016e-05,6.0159305697501016e-05,0.00014922963097584822,323,0.0,0.0,0.041390342141191167,0.0012198790359737662,-24.21975253423055,0.008976776944473385
0.0,0.0007244712950523535,0,2,14400,0.009642755131547649,2.1792205691337587,0.08791955926940355,0.0,-4.3886238411990534e-05,-4.3886238411990534e-05,0.0002461665347558058,186,0.0,0.0,0.024878379423171282,0.0003513991879420549,-139.0147088487943,0.00964275492200007
0.0,-0.0009283492717562088,0,3,21600,0.002606630763815095,2.196834619839986,0.0032518702624178496,0.0,3.667838084406109e-05,3.667838084406109e-05,1.076976888422602e-05,220,0.0,0.0,0.012328394067784151,-0.0009513933424993107,-28.67448376019796,0.0026066307560540735
0.0,0.0008185988440042517,0,4,28800,0.003811292295965056,2.1966031312942507,0.0031609030450447544,0.0,-2.3127111853682435e-05,-2.3127111853682435e-05,2.1991514131514123e-05,249,0.0,0.0,0.025421008475435276,0.0007821265038122268,-41.65626835823059,0.003811292237757395
0.0,0.00011480083142790439,0,5,36000,0.0018564743901758145,2.1970091660817466,0.0014150245352307828,0.0,-5.250334083939379e-07,-5.250334083939379e-07,7.684625635799118e-06,273,0.0,0.0,0.011515847329671184,0.0001061529744068442,-75.06729399363199,0.0018564743804745376
0.0,-6.042617314960808e-07,3324.8333333333335,6,43200,0.002669856047335391,2.1968639691670737,0.002023591180064615,0.0,1.0059454513940598e-05,1.0059454513940598e-05,1.0499079242739148e-05,294,0.0,0.0,0.017989299648130935,5.2018460701219736e-05,-24.420774745941163,0.0026698560647976893
0.0,-0.0007116612529595537,3324.8333333333335,7,50400,0.001084760044856618,2.197120499610901,0.0014273309171248375,0.0,1.8574131271028212e-05,1.8574131271028212e-05,6.005045615135411e-06,310,0.0,0.0,0.007675716723315418,-0.0006572495322567799,-67.45681149164835,0.0010847600526176393
0.0,-0.0003852699149623125,3324.8333333333335,8,57600,0.0007780790464797367,2.1971803267796832,0.000860097258777205,0.0,9.54395636370009e-06,9.54395636370009e-06,3.7394851384912423e-06,324,0.0,0.0,0.005013563654695948,-0.00040009371611328485,-91.35969489415487,0.0007780790212564171
0.0,-0.00014827437110701187,3324.8333333333335,9,64800,0.0015833539655432105,2.1970889806747436,0.000838128278162213,0.0,5.9106763335610895e-06,5.9106763335610895e-06,4.182997315638204e-06,337,0.0,0.0,0.011795339516053598,-0.00016845162651103843,-14.320054737726847,0.0015833539752444874
0.0,-0.0001872456862353526,3324.8333333333335,10,72000,0.0011176169665607935,2.1971389849980674,0.0006827417112385084,0.0,3.0851499066860318e-06,3.0851499066860318e-06,2.9006598898225394e-06,347,0.0,0.0,0.008247669506818055,-0.00019094164150980456,-82.67658855120341,0.0011176169626802826
0.0,-0.00012541640984030286,3324.8333333333335,11,79200,0.0018711359492347885,2.197055371602376,0.0010180590439506823,0.0,2.677464971156951e-06,2.677464971156951e-06,5.0576757227342265e-06,357,0.0,0.0,0.015417839559571196,-0.00011396149945236781,-25.854532591501872,0.0018711359647568316
0.0,-0.00017114555509275913,3324.8333333333335,12,86400,0.0005682608423133691,2.1971991856892905,0.0003158270695300228,0.0,1.0652745448661941e-05,1.0652745448661941e-05,1.4010563347710558e-06,365,0.0,0.0,0.0039597873964036506,-0.00018685036193346604,-92.49937086105346,0.0005682608277614539
0.0,-0.0003074114780853658,3324.8333333333335,13,93600,0.00043399582888620594,2.197203818957011,0.0005056248570308235,0.0,5.925509312495099e-06,5.925509312495099e-06,1.9747885270741485e-06,371,0.0,0.0,0.0035923535547529657,-0.00028608026429234693,-141.02941376368204,0.0004339958293712698
0.0,-0.00021642492547471192,3324.8333333333335,14,100800,0.0004622414397696654,2.197205980618795,0.0003814176575602704,0.0,5.302702169274198e-06,5.302702169274198e-06,1.0661357748631416e-06,378,0.0,0.0,0.003141473272504906,-0.0002035458792912929,-57.8955135345459,0.0004622414397696654
0.0,-7.062402861871912e-05,3324.8333333333335,15,108000,0.0014581088558770715,2.197131625811259,0.0006881582108296451,0.0,1.2788921670410976e-06,1.2788921670410976e-06,2.8789235225682813e-06,383,0.0,0.0,0.012228850069611023,-6.316862203069226e-05,-30.512961371739706,0.0014581088626679653
0.0,-0.00012434590173597825,3324.8333333333335,16,115200,0.00042957767194214586,2.197206163406372,0.000228923122061235,0.0,1.6478626804428132e-06,1.6478626804428132e-06,8.708223541968134e-07,388,0.0,0.0,0.0037299930098621797,-0.00011856307567844245,-178.03744276364645,0.0004295776814008908
0.0,-8.063263323427756e-05,3324.472222222222,17,122400,0.0011624398701875064,2.1971612468976827,0.0005193793972801463,0.0,6.366442820638301e-06,6.4017915427168434e-06,1.942694192140136e-06,388,3.534871860477915e-08,0.0,0.009965740148022418,-4.5372825452648703e-05,-22.062455103889345,0.002049769759506157
0.0,2.925452868419864e-05,3324.472222222222,18,129600,0.0005306001404855962,2.197208096299853,0.00026846195086994556,0.0,-1.8686653038858116e-06,-1.771307549198072e-06,8.291308093023005e-07,384,9.735775771938885e-08,0.0,0.005147645181587283,3.3130303158825215e-05,-31.31328297666142,0.002784015814050358
