fps,frames,policy_entropy,P01:episode_rewards,q_loss,PMM:episode_rewards,advantage_norm,epoch_idx,explained_variance,policy_gradient_bias_correction,policy_gradient_loss,rollout_prob_std,avg_q_selected,P09:episode_rewards,grad_norm,policy_loss,episode_length,avg_q_retraced,model_prob_std
314,7200,2.192821423212687,0.0,0.00020142700359429,0.0,0.03557141044487556,1,-41.58737723032633,0.0,-4.8139860185377376e-05,0.007485880167223513,0.005963214347139001,0.0,0.02097867716106138,-4.8139860185377376e-05,0,0.005915022959622244,0.007485880174984535
173,14400,2.174959933757782,0.0,0.0006056126306854518,0.0,0.016793914356579384,2,-255.6680397351583,0.0,-0.00015914105739890753,0.010817048070020974,0.008825407386757434,0.0,0.12816082858213468,-0.00015914105739890753,0,0.008616046863608062,0.010817047965247184
207,21600,2.1966758092244465,0.0,2.4201937473359674e-05,0.0,0.0132245145427684,3,-41.724671904246016,0.0,-0.00012000213913173259,0.0029263679248591264,0.005083370449331899,0.0,0.004454185576503827,-0.00012000213913173259,0,0.005030877841636539,0.0029263679675447444
237,28800,2.196521266301473,0.0,1.8926096769670644e-05,0.0,0.02506614523784568,4,-43.898370329538984,0.0,-0.00011002694418493775,0.004012574053679903,0.004650631213250259,0.0,0.0033019537791802635,-0.00011002694418493775,0,0.004603301516423622,0.004012574003233264
261,36000,2.1970510959625242,0.0,8.60375254584748e-06,0.0,0.010814368166029454,5,-128.6714356104533,0.0,-5.859072643943364e-05,0.0016044065666695436,0.002872210038670649,0.0,0.0012308086125900363,-5.859072643943364e-05,0,0.0028802381285155812,0.0016044065414462239
279,43200,2.196963143348694,0.0,8.170694612393465e-06,0.0,0.016819472704082728,6,-28.983713658650718,0.0,-7.166971629430918e-05,0.0022148432151880117,0.003055272503600766,0.0,0.0015026466222504697,-7.166971629430918e-05,3323.9166666666665,0.0030146074985774856,0.0022148432404113312
295,50400,2.1970067024230957,0.0,8.42715972642812e-06,0.0,0.007974493177607655,7,-60.00390160878499,0.0,-4.239834996724312e-05,0.0011250432367281367,0.00219584678998217,0.0,0.0017512832568347912,-4.239834996724312e-05,3323.9166666666665,0.0022033009910956023,0.0011250432192658384
309,57600,2.1971904198328653,0.0,3.1255679800779034e-06,0.0,0.0037648572120815515,8,-77.82106895446778,0.0,-3.37112859009873e-05,0.0007936407792537163,0.0015788171634388466,0.0,0.0008070525112844075,-3.37112859009873e-05,3323.9166666666665,0.001565871942633142,0.0007936407889549931
319,64800,2.197111161549886,0.0,3.6039189088417817e-06,0.0,0.011004330031573773,9,-14.654464499155681,0.0,-3.779904523829221e-05,0.0013903470273362473,0.0019505248909505704,0.0,0.0008673761479199116,-3.779904523829221e-05,3323.9166666666665,0.0019020024958687524,0.001390347028306375
329,72000,2.197140924135844,0.0,2.8720786341788576e-06,0.0,0.007506439109177639,10,-149.53371721903483,0.0,-3.455573152374806e-05,0.001037654947140254,0.0012571633395661288,0.0,0.0006863471126807476,-3.455573152374806e-05,3323.9166666666665,0.0012449769943486898,0.0010376549539311479
338,79200,2.1970803419748943,0.0,3.858858707417312e-06,0.0,0.01414630359892423,11,-43.20359616279602,0.0,-2.986547939750987e-05,0.0017093740301788785,0.0017361663611760983,0.0,0.0009731365097634605,-2.986547939750987e-05,3323.9166666666665,0.0017735607301195462,0.00170937403163407
344,86400,2.1972049315770468,0.0,1.1638332428750194e-06,0.0,0.003927655502532919,12,-71.05416328112284,0.0,-2.9306347050805927e-05,0.0004500253281245629,0.0010469668176180372,0.0,0.0002856025711008124,-2.9306347050805927e-05,3324.5833333333335,0.0010126538710513464,0.00045002534510179735
