policy_entropy,episode_length,explained_variance,P01:episode_rewards,advantage_norm,value_loss,fps,grad_norm,frames,policy_loss,P09:episode_rewards,epoch_idx,PMM:episode_rewards
1.3651483374834061,171.0,-0.7119259226322174,0.0,1.552138769365847,0.03138688539052964,217,1.6958900122880523,8000,-0.015009442290902371,3.0,1,1.05
1.3727022838592529,188.32558139534885,-0.016867871284484862,0.0,1.3225866392999888,0.015048282703573931,204,0.23505050635033833,16000,-0.0016043498140061274,3.0,2,1.5232558139534884
1.377025421857834,191.87,-0.061905036568641665,0.0,1.4118575394153594,0.01798441739349073,222,0.32208372663941537,24000,0.004086955292150378,3.0,3,1.59
1.3799161446094512,204.32,-0.026446017026901244,0.0,1.355161146596074,0.016803701533754066,228,0.27291965284167413,32000,0.00286330730188638,5.0,4,1.9
1.3740182995796204,205.18,0.04660474717617035,0.0,1.3941647419333458,0.017081032966925706,234,0.29530235123023,40000,0.004967615497589577,5.0,5,1.89
1.357975994348526,199.36,0.14221162378787994,0.0,1.3411834271252154,0.01427861648335238,233,0.3469921650085322,48000,0.0008931020653108135,4.0,6,1.8
1.3434327447414398,208.95,0.5908820414543152,0.0,1.5977727583050727,0.020674754361971283,232,0.4950438267735568,56000,-0.008992292468174129,4.0,7,2.06
1.3409313023090363,217.82,0.7362150740623474,0.0,1.5737622711062431,0.017980019534006714,235,0.4959469860628862,64000,-0.0033227462694048883,6.0,8,2.34
1.3507141292095184,210.05,0.8177522730827331,0.0,1.195559239089489,0.011365513912169263,238,0.4063936127969334,72000,-0.005881995427771471,5.1000000000000085,9,2.09
1.3118961262702942,215.49,0.8453003370761871,0.0,1.1468913495540618,0.009636686308076604,241,0.3638841142360319,80000,-0.00037599632400088013,5.0,10,2.2
1.3454657673835755,211.26,0.8497167211771012,0.0,1.1007688507437705,0.008940109291579575,244,0.31288708062192727,88000,-0.0035387118565267882,5.0,11,2.12
1.3479803681373597,190.83,0.838073068857193,0.0,1.1324291825294495,0.010835395465837791,247,0.41656614656889607,96000,-0.0038962658515083602,5.0,12,1.63
1.3581281685829163,190.43,0.8209840482473374,0.0,1.341076949238777,0.013141297869151459,250,0.3927943028895527,104000,-0.00140126449521631,4.0,13,1.68
1.3575712823867798,203.38,0.7836438876390457,0.0,1.2375620153546334,0.01555356330878567,252,0.49553942474242824,112000,0.0007654058671323582,5.0,14,2.06
1.3503873288631438,199.74,0.9163979911804199,0.0,0.9878433600068093,0.007185080729541369,252,0.28875390254128075,120000,-0.0011820758946123533,5.1000000000000085,15,1.94
1.338030788898468,186.18,0.9401652431488037,0.0,0.6669763132929802,0.0036066370688786265,254,0.18185822096652993,128000,0.0005416965033009547,5.0,16,1.54
1.3301410472393036,196.1,0.9401558744907379,0.0,0.9215934175252914,0.00659577019221615,255,0.28805578524049413,136000,-0.001872764596482739,5.0,17,1.8
1.3402066910266877,201.58,0.9517111426591873,0.0,0.8177237214148044,0.005327779209183064,257,0.2298799049289762,144000,-0.0003575255625764839,5.1000000000000085,18,1.94
1.3293988800048828,220.61,0.9453837710618973,0.0,0.8226996001601219,0.00519287859875476,259,0.22352350556837527,152000,-0.00041000110795721414,6.1000000000000085,19,2.38
1.335950700044632,225.93,0.9397699934244156,0.0,0.9575878399610519,0.007138880374841392,261,0.2795511775922495,160000,-0.0024221105856122448,6.1000000000000085,20,2.54
1.3430510783195495,226.94,0.9387697970867157,0.0,0.8625552371144295,0.005709912695456296,262,0.2312231046348878,168000,-0.0004659125447506085,9.0,21,2.66
1.337453739643097,222.52,0.8409291100502014,0.0,1.083288443684578,0.012846497215796261,263,0.3745688411226062,176000,-0.0020119825555593705,9.0,22,2.64
1.355168067216873,206.46,0.9420995199680329,0.0,0.7926796148717403,0.005188701897859574,264,0.2172904270595399,184000,-0.001189957105088979,6.0,23,2.14
1.3428833436965943,210.13,0.949705240726471,0.0,0.8374042797088623,0.0055631147228996265,266,0.22935162804007075,192000,-0.0003270932991290465,5.0,24,2.05
1.3367974424362183,204.92,0.952727479338646,0.0,0.6708916853368282,0.0038659999595256522,267,0.18922634926325707,200000,-0.0013332278954294452,5.0,25,1.93
1.3318268072605133,198.56,0.9650277018547058,0.0,0.7261044836044311,0.00431564118800452,267,0.1899102024568236,208000,-0.0005574935741969966,5.1000000000000085,26,1.81
1.3179517042636872,201.08,0.9613330638408661,0.0,0.738007909655571,0.0043778322389698586,267,0.17541359587876781,216000,-0.0007969187494018115,5.0,27,1.85
1.3357665920257569,198.46,0.965618234872818,0.0,0.6077878473699093,0.003663945621228777,267,0.16077157269220102,224000,-0.0014076422907510278,5.0,28,1.82
1.3680229032039641,195.26,0.8619445377588272,0.0,1.0086418540775777,0.008272491341340355,268,0.27692778196922563,232000,0.00012332117068581284,5.0,29,1.86
1.3692158651351929,193.38,0.8553412061929703,0.0,1.1484639939665795,0.010011412594467401,269,0.2937870878788067,240000,-0.003793634923058562,5.0,30,1.77
1.3544691228866577,188.31,0.9635988700389863,0.0,0.6599389308691025,0.0033983353310031816,269,0.1766566103095317,248000,-0.0016518583208380733,5.0,31,1.57
1.3403222739696503,197.2,0.961747088432312,0.0,0.7141296073794365,0.004230681383342016,270,0.176360400603639,256000,-0.000171121707680868,5.0,32,1.82
1.3428315675258637,210.73,0.9475755757093429,0.0,0.7890726134181023,0.005069346512609627,270,0.20201179594670024,264000,-0.0009562373115340961,5.0,33,2.23
1.3660262548923492,211.92,0.9513657611608505,0.0,0.7827680942416191,0.00508678762067575,272,0.19994551777558522,272000,-0.0004355248773936182,5.400000000000034,34,2.29
