q_loss,model_prob_std,fps,policy_gradient_bias_correction,policy_loss,policy_entropy,avg_q_selected,avg_q_retraced,epoch_idx,rollout_prob_std,P01:episode_rewards,P09:episode_rewards,grad_norm,episode_length,explained_variance,PMM:episode_rewards,advantage_norm,policy_gradient_loss,frames
0.0005063151562353596,0.027240703565378985,467,0.0,-3.817387041635811e-05,2.085224080085754,-0.015641320849924038,-0.015402894227493864,1,0.027240702354659637,0.0,0.0,0.22714500570245094,0,-5.483123302459717,0.0,0.1148678579678138,-3.817387041635811e-05,7200
0.00010885268596515137,0.003970843615631262,265,0.0,-8.977424264836979e-05,2.194285821914673,-0.0026558915532708246,-0.0026920447338852683,2,0.003970843701002498,0.0,0.0,0.027199305675591715,0,-4.437384446461995,0.0,0.04526752329741915,-8.977424264836979e-05,14400
1.725147665941525e-05,0.0033612900646403433,307,0.0,-0.000171693353900082,2.1962225437164307,0.00018537382554010642,4.064623401897431e-05,3,0.003361289940464,0.0,0.0,0.007123379650144685,0,-4.787833110491435,0.0,0.03235727793847521,-0.000171693353900082,21600
2.970369212865383e-05,0.0046896631751830375,337,0.0,-6.411938520614057e-05,2.1962889512379964,7.371671469324307e-05,-3.295867876052701e-05,4,0.004689663120855888,0.0,0.0,0.0065646256665968135,0,-4.45315728187561,0.0,0.050201099428037806,-6.411938520614057e-05,28800
8.542432870702518e-06,0.002184854616643861,355,0.0,-8.730591584556653e-05,2.1969327688217164,0.001111843155498112,0.0010252174990455388,5,0.0021848545700777324,0.0,0.0,0.0024128391551663585,0,-4.900270469983419,0.0,0.022778396494686604,-8.730591584556653e-05,36000
1.4042476270030117e-05,0.002955159905832261,370,0.0,-8.036153379483342e-05,2.196776835123698,0.0007823399452414984,0.0006848847405308333,6,0.002955159911653027,0.0,0.0,0.0033155822136151586,3324.5833333333335,-4.677815024058024,0.0,0.034366620052605865,-8.036153379483342e-05,43200
3.0857008255225082e-06,0.0012768451609493543,381,0.0,-2.8053970587886094e-05,2.197027317682902,0.001339399314019829,0.0013359159609535709,7,0.0012768450387132665,0.0,0.0,0.002579851660158647,3324.5833333333335,-5.212959432601929,0.0,0.012171052861958742,-2.8053970587886094e-05,50400
1.5265511478901317e-06,0.0009715137304738164,390,0.0,-4.6432772993891076e-05,2.1971594015757243,0.0013939850789029152,0.0013751922097677985,8,0.0009715136451025804,0.0,0.0,0.0016479459461704255,3324.5833333333335,-5.621472787857056,0.0,0.009953852867086728,-4.6432772993891076e-05,57600
5.886271278162288e-06,0.0019709775884014864,398,0.0,-6.360735321019699e-05,2.197006607055664,0.0006292630935301228,0.0005641200074478547,9,0.001970977539895102,0.0,0.0,0.0015979143649989095,3324.5833333333335,-4.2852987289428714,0.0,0.020082563487812878,-6.360735321019699e-05,64800
3.950522599893702e-06,0.001490666001336649,405,0.0,1.569630873063943e-05,2.1970824082692464,0.0008801601297212376,0.0009137308449377693,10,0.0014906659974561383,0.0,0.0,0.0013337659561185385,3324.5833333333335,-4.750082651774089,0.0,0.015833932254463435,1.569630873063943e-05,72000
6.826893539368939e-06,0.002345552699989639,412,0.0,-0.00010514984707015174,2.19696524143219,0.0007624365452405375,0.0006595861637227547,11,0.002345552667005298,0.0,0.0,0.0018242823031667788,3324.5833333333335,-3.4342037518819173,0.0,0.024441057404813667,-0.00010514984707015174,79200
1.1171265460537447e-06,0.0007082438503857702,417,0.0,2.218194826279311e-06,2.197187352180481,0.0007222691162799796,0.0007527435779290196,12,0.0007082438503857702,0.0,0.0,0.0006501074207726577,3324.125,-5.6782386779785154,0.0,0.007587364525534213,2.218194826279311e-06,86400
1.1916909159026546e-06,0.0005656550745091712,422,0.0,-5.845310553998691e-05,2.1971805254618326,0.0009469910699408501,0.0009041572164278477,13,0.0005656551327168321,0.0,0.0,0.0008923488422115063,3324.125,-5.307423686981201,0.0,0.006642364982205133,-5.845310553998691e-05,93600
4.6010179204358793e-07,0.0005313534891077628,426,0.0,-2.7891155260325224e-05,2.1972078959147137,0.0007274175023970505,0.0007126683020032942,14,0.0005313534444818894,0.0,0.0,0.0005268176562328712,3324.125,-5.588965654373169,0.0,0.005321197289352615,-2.7891155260325224e-05,100800
4.41265727033624e-06,0.0019168630106529841,431,0.0,-0.00010437671226100065,2.197065830230713,0.00030736763668149557,0.00019021446471091015,15,0.0019168629281921313,0.0,0.0,0.0013174510073326886,3324.125,-3.27035174369812,0.0,0.020354220069323976,-0.00010437671226100065,108000
9.397095987869382e-07,0.0006587952317204327,438,0.0,-8.693397055026253e-06,2.1971868832906085,2.94371172155176e-05,2.011986401081837e-05,16,0.0006587952137730705,0.0,0.0,0.0005465719298632207,3324.125,-4.862028257052104,0.0,0.007051612153494109,-8.693397055026253e-06,115200
2.7320955954544436e-06,0.0014959149328315686,441,1.721173595385716e-07,5.508906499634187e-06,2.1971220480922673,-0.0005290523132966231,-0.0005186221538927399,17,0.0030282187914885328,0.0,0.0,0.0009354543333270727,3324.3055555555557,-3.4772096014022824,0.0,0.016421662261524785,5.336789122392947e-06,122400
6.314870663188257e-07,0.0006047526718236715,437,3.837083558740536e-08,3.034137848833289e-05,2.1972050413694335,-0.0008294718127619788,-0.000814631478088722,18,0.004452684873221183,0.0,0.0,0.0003447856263376008,3324.3055555555557,-4.2633688658885855,0.0,0.006951570763665672,3.0303007669830084e-05,129600
