episode_length,fps,PMM:episode_rewards,policy_entropy,grad_norm,epoch_idx,P09:episode_rewards,P01:episode_rewards,explained_variance,policy_loss,frames,advantage_norm,value_loss
172.425,223,1.15,1.3351444274187088,1.7371151479796019,1,3.0,0.0,-2.086108666062355,-0.014484771178322262,8000,1.7753115396946668,0.06931726728816102
183.76829268292684,235,1.4146341463414633,1.3777578997612,0.21511445591256512,2,3.0,0.0,-0.025264132022857665,-0.0007102011376991868,16000,1.4376239258795978,0.01774194924670155
198.93,255,1.8,1.3765593004226684,0.1779693634709616,3,4.0,0.0,-0.005275940895080567,0.0017139934151055058,24000,1.4021614495664836,0.016226249581304728
199.78,265,1.83,1.3816882455348969,0.16700270225111982,4,4.0,0.0,-0.0050712782144546505,-0.0005516149243339896,32000,1.2848476793989538,0.01431439335727191
187.29,257,1.53,1.3855626285076141,0.14368645947833952,5,4.0,0.0,-0.00638044536113739,-9.699837712105363e-05,40000,1.1564651363343001,0.012339339808349906
179.18,252,1.37,1.385519995689392,0.13366881108388803,6,3.0,0.0,-0.02488883852958679,0.0006044367598951794,48000,1.050221220329404,0.011284295979185116
179.01,254,1.29,1.3841218376159667,0.13629524431636791,7,3.0,0.0,-0.010101251602172852,0.0017725543188862503,56000,1.0820285685360431,0.011775134663121207
183.99,255,1.41,1.3844753205776215,0.1815921695997673,8,4.0,0.0,-0.007689520120620728,0.0053252105411957015,64000,1.4202909655869007,0.017403392701125994
183.78,256,1.43,1.3813664162158965,0.17151793302583382,9,3.1000000000000085,0.0,-0.06026066303253174,-0.0007488195524638286,72000,1.0596943176165223,0.012025832915765023
180.85,257,1.31,1.3829241275787354,0.18465259737747822,10,3.0,0.0,-0.004018054008483886,0.001566870024544187,80000,1.2018909339234234,0.01324145513287931
174.88,259,1.2,1.3841949486732483,0.15549775197617172,11,3.0,0.0,-0.009756969213485718,0.0018611418141517787,88000,1.0417607272043825,0.011306345847883677
175.93,258,1.22,1.3806327819824218,0.17670412299434082,12,3.0,0.0,0.0002662116289138794,0.00033444136963225904,96000,1.185780920125544,0.012845961299672127
180.61,259,1.27,1.379227350950241,0.1602106554041455,13,4.0,0.0,0.006706299781799316,0.0013286283905608797,104000,1.1532870972529055,0.01241796356271152
181.46,261,1.32,1.377400097846985,0.2250526371118914,14,3.0,0.0,-0.04340291619300842,0.002508620517910458,112000,1.2613283640146256,0.01511683920471114
184.15,261,1.38,1.3810790801048278,0.1833885679248381,15,3.0,0.0,0.045677203536033634,4.692505433922634e-05,120000,1.1690208072960377,0.01184080257819005
183.5,261,1.36,1.3808887612819671,0.25284942435434465,16,3.0,0.0,-0.2547815936803818,0.0017648001830093563,128000,1.1334560047462583,0.01334761618038101
184.14,263,1.42,1.359242913722992,0.24668689851746795,17,3.0,0.0,-0.010723025798797607,0.0001608421723358333,136000,1.2204379350692034,0.013128248302200518
179.57,264,1.31,1.3799536371231078,0.23160648164448217,18,3.0,0.0,-0.008517716526985169,0.0008094011776847765,144000,1.1490265008062124,0.011161636483375332
183.51,265,1.4,1.3710599493980409,0.2961662360281412,19,3.0,0.0,0.34367192327976226,-0.0025985086878063156,152000,1.3382444305717944,0.014379960456572007
182.77,265,1.39,1.3697604179382323,0.26143379198391326,20,4.0,0.0,0.16144141912460327,0.0021024589826083686,160000,1.1226609683036803,0.011623020943661687
183.5,267,1.37,1.3742476713657379,0.2899634702118361,21,3.0,0.0,0.568367384672165,-0.00035222033722675405,168000,1.3037495684623719,0.01302261726697907
181.19,266,1.36,1.3672535860538482,0.2532321036135212,22,3.0,0.0,0.21898722887039185,-0.0005216584277513902,176000,1.1010292221605777,0.009608803749142681
171.17,267,1.19,1.368223079442978,0.2838097964551122,23,3.0,0.0,0.5398952734470367,0.0028616301354486497,184000,1.1437557372450828,0.010449154715752229
171.65,267,1.14,1.3699328768253327,0.30600168103921727,24,3.0,0.0,0.4482946705818176,-0.0013302600435417843,192000,1.328696482181549,0.013656906446558424
