policy_entropy,P09:episode_rewards,fps,P01:episode_rewards,policy_loss,grad_norm,PMM:episode_rewards,explained_variance,advantage_norm,episode_length,frames,epoch_idx,value_loss
1.360892424583435,4.0,220,0.0,0.002081460071494803,0.6985319098501374,1.394736842105263,-0.7938811719417572,1.374407876469195,182.1578947368421,8000,1,0.018816421968749636
1.3598309707641603,4.0,218,0.0,0.0022251756303012372,0.26628593383440746,1.5357142857142858,-0.00832222580909729,1.3931987478584051,186.04761904761904,16000,2,0.01660194271509681
1.3777420258522033,4.0,235,0.0,-0.0005171991477254778,0.18866499707150478,1.55,-0.028332990407943726,1.0951600503921508,188.43,24000,3,0.01195048005235094
1.3764629065990448,4.0,240,0.0,0.0017828527285018935,0.19552051615579746,1.45,-0.034018380641937254,1.1512455847486853,184.9,32000,4,0.012376812866968977
1.3813640260696411,3.0,243,0.0,0.0021321389940567315,0.22395484826268341,1.24,-0.00730512261390686,1.2149886102229357,176.73,40000,5,0.014237926293753844
1.3825888931751251,3.0,250,0.0,0.0031911088986089453,0.19297425456117723,1.14,-0.04897618651390076,1.104423901513219,173.28,48000,6,0.011638383516547036
1.3683872985839844,3.1000000000000085,254,0.0,-0.0035010383446933704,0.4348737845886438,1.47,-0.020559999346733093,1.5331154383718968,186.35,56000,7,0.022611148190262612
1.3775942158699035,4.0,259,0.0,-0.0007557725560400286,0.31798712171035415,1.54,0.11465167641639709,1.3878783483058215,189.0,64000,8,0.016084848666214385
1.3807772386074066,4.0,259,0.0,-0.0014564250982948578,0.3012614000839847,1.64,0.22819613933563232,1.223122980594635,191.32,72000,9,0.012683867083396763
1.3829054999351502,4.0,261,0.0,-0.0005719349144510488,0.2652447907611834,1.56,0.26619692504405973,1.0234481711685657,187.8,80000,10,0.009314607621199684
1.3771209597587586,3.0,261,0.0,-0.0014796655013924465,0.2785633119359071,1.19,0.5612489306926727,1.0944169279932976,176.17,88000,11,0.010242457053391264
1.3810567665100097,3.1000000000000085,262,0.0,-0.002920654290501261,0.37709211755365357,1.22,0.5596239358186722,1.303660645186901,178.71,96000,12,0.013553219973982778
1.3668886744976043,4.0,263,0.0,-0.001205253087100573,0.3202354762722668,1.33,0.6158674591779709,1.2353273363411426,180.95,104000,13,0.011629318864142988
1.36013414144516,4.0,260,0.0,-0.0015850180870620534,0.3282971724835704,1.54,0.7904389828443528,1.3401348832249642,185.56,112000,14,0.012932094065472483
1.3645177805423736,5.0,263,0.0,-0.006646012979617808,0.46495606772792913,1.96,0.7780960178375245,1.4862688380479812,203.69,120000,15,0.016627916402649136
1.3407739889621735,5.0,263,0.0,-0.0022040605335496366,0.3215637366149977,2.18,0.8992888361215592,1.0595098111033439,211.83,128000,16,0.008233974397880957
1.3607101893424989,5.0,263,0.0,0.0008627791440812871,0.2739347033608774,2.12,0.8415636795759202,1.094138210117817,208.73,136000,17,0.008790540436748415
1.362772126197815,5.0,264,0.0,-0.0011896217061439529,0.3142056276639268,2.13,0.881948983669281,1.143679669201374,208.99,144000,18,0.009404008798883296
1.35422189950943,5.0,263,0.0,-0.005047148922458291,0.4980804088515021,2.23,0.7829237800836563,1.3506020656228066,212.27,152000,19,0.01776901919278316
1.355185765028,5.0,265,0.0,-0.000287829510634765,0.24206269521264956,2.08,0.9038807719945907,0.9681615370512009,207.07,160000,20,0.007230103315087035
1.3537928891181945,6.0,266,0.0,-0.0005459904081362765,0.25368628228405216,2.27,0.908582580089569,0.993569632768631,211.27,168000,21,0.007532209993805736
1.329176309108734,6.0,267,0.0,-0.0005458546830050181,0.2211983291958953,2.17,0.9470483231544494,0.8094452774524689,208.32,176000,22,0.005102659769763704
1.3374309730529785,5.1000000000000085,266,0.0,-0.00043375541048590094,0.24134842249662128,2.14,0.92951944231987,0.9820426502823829,209.94,184000,23,0.00714924035826698
1.355105299949646,6.200000000000017,266,0.0,-0.0014911976744770073,0.21803764155441363,2.35,0.9315798032283783,0.8884594525396824,214.76,192000,24,0.0063850324056693355
1.3588951313495636,6.0,267,0.0,-0.0005489338873258021,0.21066035395305868,2.31,0.920549726486206,0.8656905210018158,212.53,200000,25,0.00591487179743126
1.3799029350280763,5.0,268,0.0,-0.002172003407613374,0.253915536494919,1.78,0.7602642053365707,1.0382422122359276,195.28,208000,26,0.008609216976328753
1.36367324590683,4.0,269,0.0,-0.001567167569301091,0.2282878177581813,1.29,0.9238456928730011,0.8890779486298561,177.21,216000,27,0.006337259388819802
1.3356187736988068,5.0,269,0.0,-0.0016172098100651056,0.20144054064922873,1.41,0.9548368263244629,0.7664981213212013,181.19,224000,28,0.004732368986587972
1.3550639569759368,5.0,270,0.0,0.000437723400300456,0.1952764339428359,1.62,0.9539942651987076,0.7880141040682793,188.49,232000,29,0.00504009670461528
1.3555520343780518,5.0,271,0.0,-0.0013331719760026318,0.1646657021684147,1.91,0.9562279427051544,0.6790059581398964,198.85,240000,30,0.003796771503111813
1.3428392124176025,5.1000000000000085,272,0.0,-0.0020140392176108434,0.1747971078745955,1.94,0.9636585891246796,0.6876286701858043,200.33,248000,31,0.004070205634925514
1.3490464627742766,6.200000000000017,272,0.0,-0.0001531585382326739,0.15373607866041256,1.95,0.956844711303711,0.7007767036557198,197.91,256000,32,0.004235615058860276
1.3384273004531861,6.0,274,0.0,-0.0015168910971260629,0.17110488158245116,2.01,0.9645435720682144,0.7079141201078891,201.67,264000,33,0.0039274543468491175
1.3382597219944001,9.0,275,0.0,-0.006103730622326112,0.4077531296011395,2.51,0.9010751080513001,1.072099947333336,217.25,272000,34,0.016365137263201178
