frames,policy_entropy,episode_length,fps,advantage_norm,explained_variance,P09:episode_rewards,P01:episode_rewards,epoch_idx,policy_loss,PMM:episode_rewards,value_loss,grad_norm
328000,1.3462607634067536,206.02,215,0.6533075140416622,0.9622124963998795,5.0,0.0,41,-0.0004137921861365612,2.07,0.0036419492479762994,0.14626724832825974
336000,1.356263815164566,187.96,215,0.6852842903137207,0.9480297404527664,5.0,0.0,42,-0.00011036100553610595,1.54,0.0037497644012910313,0.16415000699325102
344000,1.346369823217392,191.93,215,0.6429473994672299,0.9678454697132111,5.0,0.0,43,-0.0021434466098435223,1.68,0.0036572316449019126,0.15190985468638496
352000,1.3678521704673767,197.81,216,0.9079926359653473,0.9084470772743225,5.0,0.0,44,-0.001688611494610086,1.79,0.006984335101442411,0.21011399284674648
360000,1.3625031113624573,189.5,216,0.7862671852111817,0.9148414969444275,5.0,0.0,45,-0.0015892227040603757,1.56,0.005467118486121763,0.1874128587384216
368000,1.360834927558899,202.19,216,0.7711928245425225,0.9078967452049256,6.0,0.0,46,0.0004483480629278347,1.95,0.004719839993049391,0.16980049635593678
376000,1.367554990053177,207.33,216,0.7277353096008301,0.950973293185234,5.1000000000000085,0.0,47,-0.0008096182101871818,2.06,0.004640039853111375,0.15831102984084627
384000,1.3455108737945556,215.11,216,0.6069244849681854,0.9577912300825119,6.0,0.0,48,-0.0009555010967892486,2.27,0.0036197647723020055,0.13059670673579776
392000,1.352817656993866,212.82,216,0.5031218434870243,0.9777160930633545,8.100000000000009,0.0,49,-0.00019722851197002456,2.27,0.002262261898140423,0.1122775645075209
400000,1.3488440656661986,207.45,216,0.652384447902441,0.9568693631887436,6.1000000000000085,0.0,50,-0.0001702410725374648,2.12,0.0038343316374812274,0.16347693710022973
408000,1.3563612246513366,209.79,216,0.7951421773433686,0.946884378194809,5.200000000000017,0.0,51,-0.0005350944603560492,2.18,0.005149361652438528,0.17910580786959765
416000,1.3628468704223633,223.3,217,0.8804628410935402,0.9397302931547165,6.0,0.0,52,-0.0008046352997189387,2.49,0.006119550038711168,0.20286462053962054
424000,1.3632224893569946,228.73,217,1.0468598058819771,0.8254537373781204,6.0,0.0,53,-9.1670619440265e-05,2.61,0.00878810867026914,0.24220808396907223
432000,1.3605028557777405,203.34,217,0.8453309640288353,0.9369013541936875,5.0,0.0,54,-0.0020013199391542003,1.93,0.005835901600949001,0.21060201313882917
440000,1.3658540058135986,198.02,217,1.0505269664525985,0.8854858195781707,5.0,0.0,55,0.0002080089386436157,1.87,0.008655290313181468,0.22188050950196478
448000,1.3672592198848725,202.25,216,1.1085258525609971,0.8553151226043701,5.0,0.0,56,0.0008361585380043835,1.96,0.009296567800920457,0.26583222972997267
456000,1.3565900659561156,213.84,216,1.307604510486126,0.7713134431838989,5.0,0.0,57,-0.001920177615393186,2.25,0.012412952481536194,0.2987567328138243
464000,1.3573671329021453,211.74,215,1.195225615799427,0.8451922833919525,4.1000000000000085,0.0,58,-0.001218730253749527,2.22,0.010505161513574422,0.27335498932592395
472000,1.3561534881591797,211.86,215,1.0770179116725922,0.8853744989633561,4.0,0.0,59,0.0011215560410710167,2.25,0.008987727507483214,0.2665648826745685
480000,1.3573151874542235,211.53,215,0.7652079725265503,0.9282503682374954,4.1000000000000085,0.0,60,-0.0025239815487293525,2.11,0.00479288081463892,0.17812518336927383
488000,1.361428759098053,202.16,215,0.9593510764837265,0.9164382004737854,5.0,0.0,61,-0.00018876946851378306,1.83,0.006942829312174581,0.2248310676929337
496000,1.3619876980781556,205.63,215,1.066757726073265,0.9177230095863342,5.0,0.0,62,7.053755543893204e-05,2.0,0.00856852378754411,0.25902332326166705
