explained_variance,episode_length,policy_loss,advantage_norm,value_loss,epoch_idx,policy_entropy,fps,P01:episode_rewards,frames,grad_norm,P09:episode_rewards,PMM:episode_rewards
-1.9886618643999099,161.22727272727272,-0.009970024476206162,1.6070240550860762,0.033504834845689405,1,1.3410030978918075,1195,0.0,8000,1.3074586341680061,3.0,0.8181818181818182
-0.03422903418540955,176.56976744186048,0.0017301128851249814,1.4245082560926676,0.017664482104664786,2,1.3721694242954254,1252,0.0,16000,0.2839380344106262,3.0,1.2325581395348837
-0.021003533601760865,183.46,0.000631594525766559,1.1949177277088165,0.013478042044189351,3,1.3804156303405761,1286,0.0,24000,0.2170490413612994,3.1000000000000085,1.42
0.0030541950464248657,183.73,0.004733497104607523,1.2566971206665039,0.014919202378259798,4,1.3808041787147523,1310,0.0,32000,0.23631042294519303,4.0,1.42
-0.06658967554569245,188.68,0.0011033458553720266,1.3358023526892067,0.01639182053053446,5,1.3736916863918305,1321,0.0,40000,0.2538482076776623,4.0,1.59
-0.012551865577697753,190.03,0.0008792339521460235,1.1295957501232623,0.012555540853804814,6,1.383837548494339,1327,0.0,48000,0.20479148223196714,4.0,1.63
0.0027225762605667114,174.59,0.0011234790366142988,1.0991894067823886,0.012210021169530592,7,1.3842324900627136,1328,0.0,56000,0.18398334279692372,3.0,1.21
-0.06969625174999237,178.65,0.001016967936884612,1.3873798272386193,0.017396303848872776,8,1.3599169623851777,1333,0.0,64000,0.32055997120395113,3.0,1.31
0.0017391479015350343,189.22,0.0016731459111906587,1.4375249577313662,0.01674442628671386,9,1.3447255933284759,1339,0.0,72000,0.2584231002261198,4.0,1.61
0.014084388613700866,185.24,0.00026517489459365606,1.1694060911238193,0.01276078675462486,10,1.3618583977222443,1337,0.0,80000,0.22555789958069675,3.1000000000000085,1.47
0.10919383227825165,187.29,0.0023090355822932905,1.33512870028615,0.0156507852874347,11,1.3791031062602996,1338,0.0,88000,0.2680313837975378,4.0,1.46
0.2652441322803497,189.58,0.0038354910659836607,1.408420854061842,0.016295023227867203,12,1.3698836767673492,1336,0.0,96000,0.35117893599781397,4.1000000000000085,1.55
0.3837385278940201,189.16,0.0013225553836673498,1.333308163434267,0.015006993994466028,13,1.3778888261318207,1341,0.0,104000,0.29803276171252013,4.1000000000000085,1.57
0.5844302177429199,190.56,-0.004199509474565275,1.4923636993765832,0.016843763832002877,14,1.3758805394172668,1344,0.0,112000,0.32698745561950965,4.0,1.63
0.40136690258979796,197.05,-0.0037519378532306293,1.3572369024157525,0.015535744772932958,15,1.371452156305313,1344,0.0,120000,0.34596848565845795,4.0,1.75
0.37684911012649536,182.16,0.0007213579001836478,1.2150925715267658,0.011660760906233919,16,1.37939519405365,1342,0.0,128000,0.2678599696211345,3.0,1.43
0.49568435072898864,176.94,-0.0009720994491362944,1.2576240101456642,0.01230207087355666,17,1.3790805768966674,1342,0.0,136000,0.27551856781849554,3.0,1.29
0.5517766541242599,184.24,0.0021747951564611867,1.285484924018383,0.012814906568091828,18,1.3620383882522582,1344,0.0,144000,0.2685446800831428,3.0,1.44
0.34093281865119934,184.59,-0.00016693159937858582,1.2758223733305931,0.012680844964925199,19,1.3744685280323028,1345,0.0,152000,0.2641875926343839,3.0,1.37
0.745432425737381,188.34,-0.002239733525493648,1.3423299252986909,0.012908517549512909,20,1.371528400182724,1347,0.0,160000,0.278194808252209,3.1000000000000085,1.55
0.8347868978977203,203.12,-0.002398118186392821,1.2830110254883766,0.011573629351332784,21,1.3077252459526063,1350,0.0,168000,0.28889334390689203,5.0,1.98
0.8639000862836838,221.93,0.00018758157719275914,0.9980888916552066,0.007861081668816041,22,1.3252491021156312,1351,0.0,176000,0.21432231504808452,5.0,2.44
0.8780259490013123,198.17,-0.0021056020560354227,1.0478574085235595,0.008248651384492404,23,1.3669244408607484,1353,0.0,184000,0.25031766051661436,5.0,1.83
0.9058017814159394,181.37,-1.916378765599802e-05,1.0141770774126053,0.007818142851465381,24,1.3538729560375213,1354,0.0,192000,0.24280120459284876,5.0,1.39
0.9070897758007049,202.01,-0.001163398080971092,0.9943265172839165,0.007342791902483441,25,1.353711782693863,1356,0.0,200000,0.22414927502552437,5.0,1.99
0.8990236014127732,208.35,0.00012778778211213648,1.1070043283700943,0.008836843572789804,26,1.3578793370723725,1358,0.0,208000,0.23875796089274803,5.1000000000000085,2.1
0.8893834668397903,226.57,-0.00014101995730015916,1.170029471218586,0.010364776552887634,27,1.3444819331169129,1359,0.0,216000,0.25606250366572814,7.1000000000000085,2.66
0.9422833395004272,213.0,-0.0003957202298261109,0.7402951382100582,0.004467797575925942,28,1.3459475862979888,1358,0.0,224000,0.17029924816485179,7.0,2.32
0.9451861435174942,197.16,-0.0013919252873165534,0.8507396200299263,0.005583587071159854,29,1.3510857009887696,1358,0.0,232000,0.2039700022549123,5.1000000000000085,1.9
0.933836504817009,192.35,-0.0006078011215140578,0.898919939994812,0.00623256676713936,30,1.3450303280353546,1359,0.0,240000,0.2042995306652922,5.0,1.65
0.931223806142807,205.16,-0.0004966330030583777,0.8777965673804283,0.006281488037202508,31,1.3380150389671326,1359,0.0,248000,0.20785789315402461,5.0,2.06
0.9385611689090729,203.78,-0.0006764869985636324,0.8662916186451912,0.006032448561163619,32,1.338769235610962,1361,0.0,256000,0.19271883142008966,5.0,2.03
0.9571515780687332,210.35,-0.00047297698532929646,0.6667452515661716,0.003684673370444216,33,1.3304866063594818,1360,0.0,264000,0.1551354389050836,6.0,2.17
