P09:episode_rewards,episode_length,P01:episode_rewards,fps,frames,policy_entropy,value_loss,grad_norm,PMM:episode_rewards,advantage_norm,explained_variance,epoch_idx,policy_loss
3.1000000000000014,170.45,0.0,207,8000,1.2981162322917954,0.07190433462648799,1.797164148482245,1.1,2.0485479891300202,-2.4515498983860016,1,-0.035531304966207246
4.0,174.26666666666668,0.0,167,16000,1.3823764395713807,0.012206765684463789,0.19351875015439352,1.1666666666666667,1.0854302959516644,-0.042748485803604123,2,0.00016813241998534068
4.0,182.45,0.0,183,24000,1.382071840763092,0.012176007478374232,0.16799076941840574,1.37,1.1748899521678686,-0.0035916286706924438,3,-9.761880966834723e-05
3.0,182.64,0.0,191,32000,1.3841773164272309,0.011794452054873545,0.17785446466608876,1.37,1.088846103027463,-0.02137682557106018,4,0.0029572588397422804
3.0,177.24,0.0,189,40000,1.3807004857063294,0.013123069193788979,0.19513663071555318,1.24,1.2228909071534872,0.009498204588890075,5,0.0010531825176440179
3.0,175.38,0.0,190,48000,1.3754052019119263,0.014572883822656877,0.22721479308233647,1.21,1.2604217264801263,-0.0024453538656234743,6,0.0003622419601015281
3.0,175.39,0.0,192,56000,1.3805735671520234,0.0106651748098011,0.19143316217379705,1.25,1.0613580505549907,-0.0130758535861969,7,0.0006607595919194864
2.0,170.09,0.0,199,64000,1.3770087945461273,0.011423690541378165,0.1930837222682959,1.11,1.079949079528451,0.02223137378692627,8,0.0021837190428050236
3.0,171.96,0.0,200,72000,1.3734984982013703,0.012840429913194385,0.2058070288967478,1.14,1.2485822652280332,0.07637692213058472,9,-0.00010002638940932229
3.0,181.38,0.0,201,80000,1.3784704005718231,0.015390913603914669,0.27217846306539234,1.41,1.32490081936121,0.1246490079164505,10,-0.0007182457212184091
4.0,180.64,0.0,203,88000,1.3776377880573272,0.011773673736170167,0.2616957555460275,1.4,1.204185835123062,0.15536365509033204,11,-0.0006780191705183825
3.0,172.25,0.0,207,96000,1.3800866961479188,0.012932267553696874,0.301676982089025,1.16,1.2588787366449834,0.11731368124485016,12,-0.0022907019517151637
3.0,171.13,0.0,211,104000,1.376722960472107,0.012078767203493044,0.3376049381839218,1.14,1.2387523511052132,0.41517836809158326,13,-0.003013894056493882
