grad_norm,clip_fraction,policy_loss,fps,P09:episode_rewards,epoch_idx,PMM:episode_rewards,explained_variance,policy_entropy,approx_kl_divergence,episode_length,frames,advantage_norm,value_loss,P01:episode_rewards
109.94097341088643,0.3227783203125,0.01371682480967138,249,100.0,1,42.1875,-0.07531659081578254,1.6830528186634184,0.10244582968853193,293.71875,10240,15.968719232082368,11.873418958391994,0.0
1.2737668920599194,0.2505615234375,-0.0005577366306170006,234,167.50000000000006,2,82.03125,2.2351741790771484e-09,1.7516822904348373,0.003714145343712971,305.625,20480,15.968719226121902,0.10320319582242518,0.0
0.6465893359564282,0.148583984375,-0.0017175489374494646,253,225.0,3,98.9795918367347,-2.6077032089233397e-09,1.7610771223902701,0.0020425528004409444,312.16326530612247,30720,15.968718600273132,0.0360156028997153,0.0
0.2637376350360928,0.121728515625,-0.0017218252574821235,267,277.5000000000002,4,143.5,-5.215406417846679e-09,1.7520624659955502,0.0016892778889840087,325.46,40960,15.968718361854553,0.025856430392013862,25.0
0.15079360527583793,0.0503173828125,-0.0013400562831520802,273,300.0,5,165.5,-1.1548399925231934e-08,1.7651192113757133,0.0010638812959086863,332.92,51200,15.968718284368515,0.02221328566665761,50.0
0.1154124763059853,0.0197998046875,-0.0010280457834596745,279,300.0,6,161.5,-5.587935447692871e-09,1.7714556574821472,0.0005964956224865148,335.83,61440,15.968717938661575,0.018182283220812678,47.50000000000001
0.0920792242535426,0.0056884765625,-0.0011253464632318354,283,300.0,7,163.75,-1.1175870895385742e-08,1.7745994359254837,0.0003928558245092972,336.54,71680,15.9687180519104,0.02319821065175347,47.50000000000001
0.0833190038441362,0.000634765625,-0.0006259674541070126,284,325.0,8,164.25,-5.215406417846679e-09,1.7838155627250671,0.00026449997576065697,334.42,81920,15.968718194961548,0.02015316043107305,25.0
0.07995021136114244,0.0,-0.0008485394326271489,288,355.00000000000045,9,180.75,-4.097819328308106e-09,1.7833951182663441,0.00032984743016299943,337.08,92160,15.968718165159226,0.02007308615720831,47.50000000000001
0.07483694199067312,0.0028076171875,-0.000612346499110572,289,325.0,10,153.0,-1.6763806343078613e-08,1.7860977992415428,0.0001661189592592649,328.65,102400,15.968718045949936,0.015545841172570362,25.0
0.07169749342508279,0.0011962890625,-0.0007991053877049126,290,325.0,11,174.5,-6.7055225372314455e-09,1.7850359208881854,0.00022828245681907333,335.38,112640,15.968718206882476,0.02220831117592752,22.500000000000007
0.0701933628600089,0.0,-0.0007627727354702074,290,410.00000000000085,12,184.0,1.1175870895385742e-09,1.779489991813898,0.00021668718100684715,343.45,122880,15.968718361854553,0.022501074842875824,25.0
0.07219781377075378,0.0023193359375,-0.0009328500920673833,291,552.5000000000002,13,209.25,-2.5331974029541015e-08,1.7700381226837636,0.00027431288805388474,352.17,133120,15.968718153238296,0.022051620765705594,25.0
0.07592848300145007,0.0010986328125,-0.0006695968904750771,290,600.0,14,240.0,-2.9802322387695314e-09,1.7726747669279574,0.00017317215719501178,358.34,143360,15.968718296289444,0.023775948252296075,47.50000000000001
