episode_length,PMM:episode_rewards,policy_loss,fps,frames,epoch_idx,grad_norm,policy_entropy,advantage_norm,value_loss,P01:episode_rewards,P09:episode_rewards,explained_variance
180.22,1.35,0.000358018477272708,942,184000,23,0.15182979789351722,1.3780073165893554,0.806748958081007,0.006372273775996291,0.0,3.0,-0.7574868083000184
181.29,1.35,0.00048568608006462457,942,192000,24,0.1605942149968298,1.3840009665489197,0.8250255053490401,0.00648720856050204,0.0,3.0,-0.24833905577659607
183.72,1.35,-0.000766157368207132,942,200000,25,0.15876346536206087,1.375928293466568,0.801932859569788,0.005610915563884191,0.0,3.1000000000000085,0.08088387668132782
184.34,1.39,0.0009754830144811422,942,208000,26,0.15040246064574092,1.3777702093124389,0.7591320260614157,0.005644309216295369,0.0,3.1000000000000085,0.09232769072055817
171.36,1.15,-0.0003572916398115922,941,216000,27,0.16003592434139804,1.3766915583610535,0.8052109394967556,0.005912269775944878,0.0,3.0,-0.13333225309848784
169.71,1.17,-0.000537732387019787,941,224000,28,0.15006217184203163,1.3783724403381348,0.7907124931365251,0.005981717024478712,0.0,3.0,-0.2095448112487793
175.39,1.29,-0.00019876024220138788,941,232000,29,0.17217407882083272,1.3791346788406371,0.8207705593109131,0.006107361859976663,0.0,3.0,-0.32423093914985657
171.13,1.14,-0.0003614868069780641,940,240000,30,0.14046454821758053,1.3772576940059662,0.7206882464885712,0.004802716375270393,0.0,3.0,-0.3020982164144516
165.05,0.95,-0.0003748405939040822,941,248000,31,0.14431810723412483,1.38158043384552,0.6943886753171682,0.004584441665065242,0.0,2.0,-1.2663899511098862
173.57,1.2,0.000836838091199752,941,256000,32,0.15433526859322233,1.3839732754230498,0.8490351366996766,0.0063750827260082585,0.0,3.0,0.1961395263671875
178.27,1.3,-0.0005632816557772458,941,264000,33,0.14547064083776912,1.3807738137245178,0.7082307278364897,0.004788526426782482,0.0,3.0,0.11534813702106476
175.4,1.19,-0.0003182259958703071,941,272000,34,0.17102416348082167,1.3748134028911592,0.877933641076088,0.006865688746402156,0.0,4.0,0.13132238268852234
187.46,1.57,4.990935554815223e-05,942,280000,35,0.15204033270243453,1.3727999770641326,0.8116074541211128,0.005723193406010978,0.0,4.0,0.34399394810199735
189.07,1.65,0.0013309730065520853,942,288000,36,0.13505376344569187,1.3783601665496825,0.7040211880207061,0.004789441559914849,0.0,5.0,0.2601490694284439
180.34,1.32,-0.0014123808618751355,942,296000,37,0.1543596028214695,1.3813843202590943,0.7722266123443842,0.00572742047101201,0.0,4.0,0.045204057693481445
185.67,1.37,0.0005533323076087982,942,304000,38,0.14251744795657767,1.3803835129737854,0.7287099998444319,0.004870118295075372,0.0,4.0,-0.2121240419149399
182.32,1.33,-0.0007783462718361989,942,312000,39,0.1600349510954257,1.3806506741046904,0.720513162240386,0.004961306567420252,0.0,3.1000000000000085,0.06392818808555603
173.23,1.16,-0.0002788255964696873,941,320000,40,0.15169969279741433,1.3790033173561096,0.7242190824449062,0.004911382003047038,0.0,3.0,-0.12511422574520112
180.39,1.29,2.5328657619070326e-05,942,328000,41,0.16524196655887444,1.3765417230129242,0.8266836240142584,0.005873550951801008,0.0,3.0,-0.6918136048316955
189.41,1.5,-2.4096255947370083e-05,942,336000,42,0.1644308495147448,1.3813150596618653,0.8363868559896946,0.0057062570411653725,0.0,3.0,-0.13071881413459777
185.92,1.48,0.00041938070906326173,942,344000,43,0.13273485485326045,1.3814511179924012,0.6997707980126142,0.004468416374511435,0.0,3.1000000000000085,-0.3091208618879318
176.39,1.26,-0.00019585859787184744,942,352000,44,0.15421030284032528,1.3774086546897888,0.7360023584961891,0.004792438369840966,0.0,3.0,-1.0370704662799834
171.95,1.15,-0.00030195690393156836,942,360000,45,0.13193875648021067,1.3787615144252776,0.670859627649188,0.004397282175850705,0.0,3.0,-0.06912461340427399
177.89,1.33,-0.0009902087165392004,942,368000,46,0.1816908159557004,1.3814912819862366,0.8598809131979942,0.0060402046238596085,0.0,3.0,0.29992658615112305
184.79,1.49,-0.0002657756459666416,942,376000,47,0.13398494337602526,1.3784454262256622,0.7180386281013489,0.004438488017694908,0.0,4.0,0.2931147634983063
183.93,1.43,-8.911497105145827e-05,942,384000,48,0.13206496390330855,1.3743628811836244,0.6833930996060371,0.004278584319108631,0.0,3.1000000000000085,0.06801077604293823
184.71,1.47,-0.0002553628204623237,942,392000,49,0.1175838123665319,1.3731795537471772,0.619089451432228,0.0033348636237496977,0.0,4.0,0.6141502648591995
187.53,1.55,0.00019806505661108532,942,400000,50,0.15070880760724403,1.3755371654033661,0.6693084067106247,0.003951532866849448,0.0,5.0,0.40083664894104004
186.79,1.55,-0.0012245422467822209,942,408000,51,0.17812698322194107,1.3826350378990173,0.8123843224346637,0.005708623310638359,0.0,4.1000000000000085,0.17941239297389985
193.0,1.73,0.00040571731864474714,942,416000,52,0.17358172029750127,1.3809746277332307,0.8813691852986812,0.006364710662601283,0.0,4.0,0.015728355050086976
194.11,1.73,-0.0006921251804305939,942,424000,53,0.14807607779741186,1.376861835718155,0.7563714753091335,0.004883546798082534,0.0,4.0,0.37265745759010316
187.11,1.5,0.0005834407592919888,942,432000,54,0.13100159080453655,1.3816803443431853,0.6633455874025822,0.003982899386755889,0.0,3.0,-0.2381779980659485
170.36,1.08,-9.119166679738555e-05,942,440000,55,0.10815337660668449,1.3836792647838592,0.5653124382346868,0.002798325028561521,0.0,3.0,-0.3610330355167389
168.93,1.07,-0.0007656339076311269,942,448000,56,0.15319408264573225,1.3816396653652192,0.7417543256282806,0.004689784668589709,0.0,3.0,0.3980113923549652
173.91,1.2,-0.0003214944349019788,942,456000,57,0.13605289597679035,1.382890088558197,0.703606648221612,0.005086681316170143,0.0,3.0,0.006605216860771179
179.92,1.33,-0.0005661012018390465,942,464000,58,0.1417518226842931,1.3822375762462615,0.6937898509204388,0.004287334668915719,0.0,4.0,0.014455798864364624
180.27,1.34,-0.0004407345745130442,942,472000,59,0.1609038305304129,1.3794330382347106,0.7774337771534919,0.005100999677524669,0.0,4.0,-0.5139768695831299
174.84,1.25,0.00010741853970102966,942,480000,60,0.12254852175949413,1.3841443943977356,0.620453175008297,0.0035877067402907414,0.0,3.0,0.2097652906179428
174.29,1.27,0.00047875860065687447,942,488000,61,0.15493059896495104,1.3776224064826965,0.7552629022300243,0.004938532794330968,0.0,3.0,-0.306797159910202
179.68,1.38,-0.000376703438378172,942,496000,62,0.14601584308971285,1.3836079263687133,0.7255679693073034,0.004409258605883224,0.0,3.1000000000000085,0.4552591931819916
183.09,1.43,-4.942796811519656e-05,942,504000,63,0.11403691961225147,1.3813564527034758,0.580368809774518,0.002941282648316701,0.0,3.1000000000000085,0.449352086186409
179.85,1.3,-0.0007365728932199999,942,512000,64,0.1262889267632503,1.3787656104564667,0.6043509750813246,0.0033988027928717203,0.0,3.1000000000000085,0.47498687148094176
178.44,1.27,0.0006382585265964735,942,520000,65,0.11738986633106312,1.3739121329784394,0.5768872262537479,0.0028653549084992846,0.0,4.0,0.5346204340457916
189.83,1.59,-0.00030622450751252475,942,528000,66,0.13769344354487098,1.3811579585075378,0.7075091263651848,0.004149216321238782,0.0,4.0,0.5173550587892533
189.9,1.63,-0.0005388072274217847,943,536000,67,0.14693853394828593,1.3738788104057311,0.7416939328610898,0.004917055683981744,0.0,4.1000000000000085,0.26912518799304963
184.73,1.44,-8.69932840578258e-05,943,544000,68,0.11441519075607597,1.376960654258728,0.6235035745799542,0.003371739869689918,0.0,4.0,0.45514073729515075
201.31,1.86,-0.0003641428431728855,943,552000,69,0.12359296040410765,1.3812462925910949,0.5980200137943029,0.003202249391542864,0.0,5.0,0.5548709499835968
195.12,1.74,0.0005952565776533447,943,560000,70,0.13765778636602297,1.3848209416866302,0.7151219880580902,0.004352868061832851,0.0,5.0,0.36378453552722934
185.7,1.48,-6.274838495301082e-05,943,568000,71,0.1076122029381766,1.3835598397254945,0.6014485609531403,0.0030551895673852415,0.0,4.0,0.11231446862220765
179.97,1.34,-0.0002820917205463047,943,576000,72,0.11638147268195023,1.3842852354049682,0.5871018204092979,0.003087897401492228,0.0,3.0,0.47681807160377504
176.9,1.26,0.00016683569399901898,943,584000,73,0.11407059258815867,1.3849347579479216,0.6278295917809009,0.003468667143533821,0.0,3.0,0.5325374788045883
186.38,1.53,0.0004822135457652621,943,592000,74,0.12883741029451057,1.382817610502243,0.6881395642459393,0.0037149087132274873,0.0,4.0,0.5347497689723969
194.38,1.67,-0.0008172181005647872,943,600000,75,0.14803825467753062,1.3801652216911315,0.7206792092323303,0.0043057635910372484,0.0,4.0,0.4902676898241043
192.64,1.6,-0.0003266499078017659,943,608000,76,0.12668141338241465,1.3826640164852142,0.6516120076179505,0.0036712415818328735,0.0,4.0,0.2775209653377533
183.55,1.41,-0.0006311568457749672,943,616000,77,0.1011150742797131,1.3833692097663879,0.5111920649558306,0.0023553371035086455,0.0,3.1000000000000085,0.013891672492027283
184.84,1.43,0.0003346198452709359,943,624000,78,0.11072873904842258,1.3818321132659912,0.5962441442906856,0.003162224603074719,0.0,4.0,0.5115177357196807
184.74,1.52,4.988463668269105e-05,943,632000,79,0.12284562166290852,1.3818632221221925,0.6215188588202,0.0032753758833860046,0.0,4.0,0.7215874761343002
189.2,1.58,-0.0003804077491986391,943,640000,80,0.10736550408874057,1.3826230013370513,0.5356037686765194,0.002602234045334626,0.0,4.0,0.50964625954628
191.93,1.63,0.0003460780173918465,943,648000,81,0.16242063141718568,1.382579642534256,0.7739062009751797,0.005287957205000566,0.0,4.0,0.17655919671058654
187.54,1.56,-0.0006407868125825189,943,656000,82,0.11349092651146755,1.3839299583435059,0.6278880509734154,0.0035044287270284257,0.0,4.0,-0.06718165397644044
182.15,1.35,-1.1492400535644264e-05,943,664000,83,0.10211105312910149,1.3833568227291106,0.5887797889858484,0.0030453544019110267,0.0,3.1000000000000085,0.2352918267250061
171.65,1.12,0.0002502047215239145,943,672000,84,0.10835779782083536,1.3841971671581268,0.5834968907386064,0.002911752140353201,0.0,3.0,-0.1945211857557297
166.48,0.98,-0.0006012181749974843,942,680000,85,0.12116689252272198,1.384266266822815,0.6357778759300708,0.003518957314954605,0.0,2.0,-0.05645469725131989
175.15,1.16,0.00022875916305565625,943,688000,86,0.10157190484963527,1.3835033547878266,0.5200164783746004,0.0026043205943642534,0.0,3.0,0.33537242949008944
179.12,1.27,-5.2863559758407064e-05,943,696000,87,0.09711320578349908,1.3798158419132234,0.514347310513258,0.002407800487271743,0.0,4.0,0.4525330263376236
189.76,1.6,0.0003679568629013374,943,704000,88,0.1294106729834605,1.3770699632167815,0.6655926100164652,0.0037434661962470273,0.0,5.0,0.6330059969425201
199.83,1.85,-0.00011252902389969676,943,712000,89,0.10661909464629707,1.383665736913681,0.6072938106954098,0.003399861445504939,0.0,5.0,-0.07210142135620118
184.55,1.44,-0.00019182788077159785,943,720000,90,0.11935152245633059,1.3839300405979156,0.6023733700066805,0.003264793351700064,0.0,4.1000000000000085,-0.07267631709575653
187.52,1.58,0.00035758438607444985,943,728000,91,0.12046653183289108,1.3833790993690491,0.6220612624287605,0.003505881070595933,0.0,4.0,0.5436138898134232
176.28,1.29,-0.0002341342333238572,943,736000,92,0.09361165647389116,1.3848353743553161,0.4930862186849117,0.002258335861515661,0.0,3.0,-1.6017291313409805
166.49,1.0,-0.00015829860465601086,943,744000,93,0.11007342875933214,1.3830577981472016,0.5695688760280609,0.003239930256168009,0.0,3.0,-0.022466235160827637
187.08,1.48,0.0006414132053032518,943,752000,94,0.13264010603316692,1.3827814781665801,0.7182575368136167,0.004397357074849424,0.0,3.1000000000000085,0.0050984716415405276
183.73,1.45,-0.0007577610216685571,943,760000,95,0.1401180390007579,1.382177369594574,0.6788619470596313,0.0041018041844654365,0.0,3.0,0.21107050776481628
176.84,1.3,-0.00033934167819097636,943,768000,96,0.11963840234678766,1.3840187656879426,0.6474014359712601,0.0037127737724949837,0.0,3.0,0.3780608940124512
187.15,1.46,-0.00018625288881594316,943,776000,97,0.10654698679799221,1.383519629240036,0.6013537564128637,0.0030455092233023606,0.0,4.0,-1.8957652640342713
185.92,1.4,4.926526607619053e-05,943,784000,98,0.11698853949997545,1.3835531866550446,0.6045262391865254,0.003325313191162422,0.0,4.0,-0.07998263835906982
174.79,1.17,5.042408884037286e-05,943,792000,99,0.09358929703038525,1.3829099643230438,0.5148395630717277,0.0022200861532110138,0.0,3.0,0.4454975652694702
182.19,1.34,1.71691038121935e-05,943,800000,100,0.1244862659373235,1.378230894804001,0.6389812920987606,0.0036620676812162854,0.0,3.0,0.09748905479907989
178.74,1.28,-0.0003135047806426883,943,808000,101,0.10280052439790092,1.3787142288684846,0.5521826481074095,0.0028970026330716794,0.0,3.0,-0.049903591871261595
176.7,1.3,-0.00038754757420974786,943,816000,102,0.10934822003205145,1.384124631881714,0.6012411149591208,0.003140536127539235,0.0,3.0,0.5818761402368545
189.29,1.65,-8.566066768253222e-05,943,824000,103,0.10104450660807972,1.3818408334255219,0.5801336123049259,0.002833790973236319,0.0,4.0,0.4194335228204727
184.03,1.44,0.00023785763478372245,943,832000,104,0.09967482989224276,1.3816470289230347,0.5250403410196305,0.0024128352201660164,0.0,4.0,0.6059690433740615
187.13,1.54,0.0005060876763309352,943,840000,105,0.11972445843999749,1.3841783714294433,0.6237780246883631,0.003220030357624637,0.0,4.0,0.5478625762462616
193.48,1.66,-8.434882125584409e-05,944,848000,106,0.11415091755339526,1.3830816745758057,0.6513633340597152,0.003488305992723326,0.0,4.0,0.3851685363054276
193.03,1.69,-8.689227749528072e-05,944,856000,107,0.10720749628169639,1.384928103685379,0.5833753748238086,0.0031996796690509656,0.0,4.0,0.12507539510726928
178.88,1.31,-0.0001516942038142588,944,864000,108,0.10499475415050784,1.3850530743598939,0.571099334359169,0.0029956980683346047,0.0,3.0,0.39431380927562715
184.28,1.41,9.714601983432659e-05,944,872000,109,0.10081909424036571,1.382623461484909,0.586782997995615,0.002974112780430005,0.0,3.0,-0.15075349390506745
184.49,1.41,-4.6510127431247385e-05,944,880000,110,0.11022508818219051,1.3809197914600373,0.5976730395853519,0.003019972567562945,0.0,4.0,0.2470925658941269
179.49,1.3,0.0002867755012266571,944,888000,111,0.1090516038845927,1.3824623143672943,0.5819962137192488,0.0030555126151739385,0.0,3.0,-0.2656884354352951
181.8,1.33,-0.00017064220912288875,944,896000,112,0.12475995027026182,1.37638507604599,0.6665141586959362,0.0036889641508605566,0.0,3.0,-0.04872919857501984
182.61,1.35,0.0001703798188827932,944,904000,113,0.10255775494846206,1.3748739874362945,0.587081818729639,0.0032500217053529922,0.0,3.0,0.23418985545635224
177.51,1.25,0.0001609391937381588,944,912000,114,0.11683102055676578,1.381156220436096,0.6243456599861383,0.003185070324325352,0.0,3.0,0.16509451508522033
179.75,1.3,-0.0007100064773112536,944,920000,115,0.09526955008858216,1.3852505934238435,0.5455524955689907,0.002507910535787232,0.0,3.0,0.4924516993761063
180.86,1.26,0.0004118384821049403,944,928000,116,0.09795230342846997,1.385264583826065,0.5537664440274238,0.0029334201865276553,0.0,3.0,0.34009353816509247
181.72,1.32,-0.0002573152564582415,944,936000,117,0.10866168585555547,1.3832206690311433,0.585427805557847,0.0031132097020599757,0.0,4.0,0.529340746998787
186.62,1.49,-0.00022102843620814384,944,944000,118,0.11087730874093005,1.3814681828022004,0.5555979657173157,0.003104406103739166,0.0,4.0,-0.21420928299427033
177.02,1.23,-0.0002797270288283471,944,952000,119,0.07930588774861,1.381750236749649,0.43795737721025946,0.0017245704103333991,0.0,4.0,0.3038802009820938
181.4,1.35,-0.00041257224380387926,944,960000,120,0.11368015309144201,1.380825012922287,0.5700352293252945,0.002733443222095957,0.0,4.0,0.781349641084671
193.75,1.67,-0.0005574048341622983,944,968000,121,0.10424801375839929,1.3802681243419648,0.535905835032463,0.0026813418848178117,0.0,4.0,0.4387807393074036
191.58,1.61,0.00011446365097071976,944,976000,122,0.11861817398277928,1.3793867015838623,0.5910491089522839,0.0033170300743768167,0.0,4.0,0.45000523507595064
195.04,1.75,-0.0004704130080062896,944,984000,123,0.10902981394366551,1.3811327624320984,0.6118902180343866,0.0033484279864205747,0.0,4.0,0.28184136986732483
182.94,1.44,0.00019417382771280244,944,992000,124,0.0885549760426594,1.3845448791980743,0.45708350107073786,0.001971102793359023,0.0,4.0,0.1872245639562607
174.34,1.16,5.506165034603328e-06,944,1000000,125,0.10833632593867498,1.3830021011829376,0.5961513734608889,0.0032330806605750696,0.0,3.0,-0.29284483671188355
182.28,1.36,-0.000383075184909103,944,1008000,126,0.0984457371999009,1.379931914806366,0.5194417567551136,0.0024610439884781956,0.0,3.0,0.3628790730237961
193.71,1.68,-0.0001943259284234955,944,1016000,127,0.114334436425294,1.379754512310028,0.5719713269174099,0.0029321037971385524,0.0,4.1000000000000085,0.7374232113361359
196.08,1.77,0.0004989746064529754,944,1024000,128,0.14195298556187638,1.3772154831886292,0.7708090889453888,0.005066221668821527,0.0,4.0,0.2755956721305847
179.98,1.44,0.00010614146129228174,944,1032000,129,0.11332884567495644,1.3784023070335387,0.6108075093477965,0.0031203323628142244,0.0,4.0,0.37199617981910704
178.37,1.34,-0.0006430906627792866,944,1040000,130,0.10803887573453887,1.3842870128154754,0.6165169001370668,0.0032924959623778704,0.0,3.0,0.13139471530914307
179.1,1.3,0.00021093571675010026,944,1048000,131,0.0786630273261176,1.3846376371383666,0.44891918301582334,0.0017934995486575645,0.0,3.0,0.623266761302948
178.63,1.3,-0.00044206646583916154,944,1056000,132,0.10756623243831884,1.3842986619472504,0.550174013376236,0.002712169434307725,0.0,3.0,0.34419616222381594
