policy_entropy,policy_loss,policy_gradient_bias_correction,frames,PMM:episode_rewards,explained_variance,P09:episode_rewards,model_prob_std,epoch_idx,episode_length,advantage_norm,avg_q_selected,q_loss,avg_q_retraced,rollout_prob_std,policy_gradient_loss,grad_norm,P01:episode_rewards,fps
2.191400686899821,-0.00017160713499227617,0.0,7200,0.0,-63.27717946370443,0.0,0.007767432369291782,1,0,0.03509771966685851,0.005797671635324756,0.0003050677167872588,0.005674232138941685,0.007767432338247697,-0.00017160713499227617,0.029051241438833104,0.0,322
2.1880614360173545,7.002617782442636e-05,0.0,14400,0.0,-230.83187834421793,0.0,0.008733426302205772,2,0,0.018058765167370438,-0.0011103030410595238,0.0008342687778470766,-0.00149231036969771,0.008733426337130368,7.002617782442636e-05,0.07139159851239525,0.0,175
2.196890123685201,3.279985070321345e-05,0.0,21600,0.0,-99.56151903470358,0.0,0.002522934922793259,3,0,0.013966086832806469,-0.0011258886596806406,2.798428310294791e-05,-0.0011908390617463738,0.0025229349460763237,3.279985070321345e-05,0.002885205103504333,0.0,207
2.196693841616313,2.5267115067132787e-05,0.0,28800,0.0,-49.02441819508871,0.0,0.003465963164732481,4,0,0.022857246625547608,-0.0010982534906361253,1.783355886194234e-05,-0.0012365273558922732,0.003465963143389672,2.5267115067132787e-05,0.0027660406304414764,0.0,238
2.19708244005839,7.817684554349096e-06,0.0,36000,0.0,-130.53541692097983,0.0,0.0014629562443587928,5,0,0.009818279968264202,-0.0005253013316178113,9.825213222332726e-06,-0.00048521734449119927,0.0014629562268964947,7.817684554349096e-06,0.001006969682402063,0.0,261
2.1970104138056437,1.0929841672198866e-05,0.0,43200,0.0,-60.46723438898722,0.0,0.002029203433388223,6,3324.5,0.015106209103638928,-0.0007633936344063841,7.98688830248769e-06,-0.0007985431274088721,0.0020292034721933307,1.0929841672198866e-05,0.0013057202489540599,0.0,280
2.1971511205037433,9.036411879984977e-06,0.0,50400,0.0,-56.78248246510824,0.0,0.0009856136593346795,7,3324.5,0.006095480895601213,-0.00038236244217841885,4.9666825627051976e-06,-0.0003793279181991238,0.000985613667095701,9.036411879984977e-06,0.0009693961301130404,0.0,298
2.197184141476949,2.828260836433098e-06,0.0,57600,0.0,-40.69922046661377,0.0,0.0009287329216022044,8,3324.5,0.005012527985187868,-0.00015650588196270595,3.0878524777714725e-06,-0.00018270670096474836,0.0009287329390645027,2.828260836433098e-06,0.0007738285419547811,0.0,313
2.197143324216207,1.2799490032951629e-05,0.0,64800,0.0,-58.29591108957926,0.0,0.0011907234438695014,9,3324.5,0.00870202190708369,-0.0005244476366594123,2.841415323473484e-06,-0.0005161951577368503,0.0011907234593915442,1.2799490032951629e-05,0.0006269869252122834,0.0,324
2.197170352935791,6.136272054391156e-06,0.0,72000,0.0,-136.6221614519755,0.0,0.000890195839262257,10,3324.5,0.006422424898482859,-0.0002729814345608853,1.7881936135684858e-06,-0.0002659575727496607,0.0008901958581797469,6.136272054391156e-06,0.0005388797114406939,0.0,336
