frames,P01:episode_rewards,epoch_idx,grad_norm,policy_loss,episode_length,explained_variance,fps,policy_entropy,value_loss,advantage_norm,PMM:episode_rewards,P09:episode_rewards
8000,0.0,1,5.179855333746714,0.013069559683208354,167.73333333333332,-1.7098747527599334,254,1.303445968925953,0.2222672819473155,2.9558832623809574,1.1111111111111112,3.0
16000,0.0,2,0.2251158938852844,-0.0003366460209872457,173.60638297872342,-0.003252989649772644,256,1.3737649476528169,0.015725895281675548,1.3592932210117579,1.2234042553191489,3.0
24000,0.0,3,0.19810804616064512,0.0014218951540533452,180.6,0.006695261001586914,256,1.3773213624954224,0.014207885343530506,1.3148686614260077,1.34,4.0
32000,0.0,4,0.20367312985386574,0.003403264490189031,184.09,-0.002473260760307312,261,1.3838664495944977,0.013697618986479938,1.1802626748383045,1.38,4.0
40000,0.0,5,0.2791385011606662,-0.001230541609111242,185.78,-0.03501543819904327,266,1.3713789999485015,0.013830669101516833,1.2356148193031549,1.42,4.0
48000,0.0,6,0.3330255924186738,-0.0013314520308631472,188.29,-0.0014418572187423705,267,1.3680318522453307,0.01652118891113787,1.3589145199954509,1.55,4.0
56000,0.0,7,0.558294672315441,-0.0030744477820917383,180.95,-0.4672867041826248,266,1.356859701871872,0.02370168411769555,1.2760529323667287,1.42,3.1000000000000085
64000,0.0,8,0.2678921503703436,-0.0008113119329209439,173.97,0.06080475389957428,267,1.3651477003097534,0.011941988743055845,1.1879459635913372,1.21,3.0
72000,0.0,9,0.4719266890267899,0.001659074432682246,178.24,0.0590821498632431,264,1.3591744494438172,0.02665768407896394,1.3425481235980987,1.31,3.0
80000,0.0,10,0.33574214135474045,-0.0031686927671762534,175.81,0.11920830607414246,264,1.3791268408298492,0.011769666114996653,1.1770415277779103,1.23,3.0
88000,0.0,11,0.5662418702797049,-0.0034775798823102376,167.37,0.2074919241666794,264,1.3597544932365417,0.017675313881336478,1.416105973124504,1.01,2.1000000000000085
96000,0.0,12,0.5316501953498425,-0.004526821313775144,167.27,0.3134214174747467,263,1.3531752705574036,0.017779474663257133,1.3782357880473137,1.06,3.0
104000,0.0,13,0.3562542447203216,-0.0019258707901462912,164.94,0.22578995645046235,263,1.3735215985774993,0.01040589959229692,1.153142169713974,0.99,2.0
