fps,P09:episode_rewards,frames,grad_norm,policy_loss,episode_length,advantage_norm,PMM:episode_rewards,explained_variance,epoch_idx,policy_entropy,P01:episode_rewards,approx_kl_divergence,value_loss,clip_fraction
189,125.0,10240,657412615.2837416,0.029409751401362882,303.7741935483871,15.968715143203735,89.51612903225806,-0.36064891144633293,1,1.6275734304595972,0.0,511903.3571832379,684098370.567526,0.4361083984375
183,167.50000000000006,20480,0.05041495282136259,-0.000744011841743486,308.59375,15.968717300891877,96.484375,-2.0861625671386717e-08,2,1.6956002734601499,0.0,0.003317014382494676,0.005356151457999658,0.218115234375
195,175.0,30720,0.05056843079327492,-0.0010969174581987318,308.09,15.968717229366302,89.25,2.2351741790771484e-09,3,1.654752430319786,0.0,0.0037489227687729,0.005406219074609453,0.2576416015625
202,175.0,40960,0.04723150200667059,-0.0015133578976019636,308.03,15.96861863732338,87.25,4.8428773880004884e-09,4,1.6098357617855072,0.0,0.0040835671649460895,0.004543941868564471,0.2939453125
208,175.0,51200,0.04884565558644592,-0.0013529797191949911,303.79,15.968716686964035,74.25,1.1175870895385742e-08,5,1.6128294683992863,0.0,0.003473467806497865,0.004948434965069737,0.2551513671875
211,175.0,61440,0.05019659817247381,-0.0014779750254092505,302.5,15.968716669082642,77.5,-1.1548399925231934e-08,6,1.6608775742352009,0.0,0.003825004128157161,0.00531649496928992,0.269677734375
213,225.0,71680,0.057131443280190444,-0.0011528274604643229,313.69,15.968717807531357,107.0,-5.587935447692871e-09,7,1.6332979820668698,0.0,0.003636716043922661,0.010508719179415493,0.2280517578125
216,382.5000000000007,81920,0.05262503843227736,-0.0008181023458746495,327.3,15.96871766448021,151.75,4.097819328308106e-09,8,1.6298849053680897,0.0,0.0030124188975150902,0.009573116728097375,0.1972900390625
216,352.5000000000002,92160,0.051819138520170074,-0.0011923572354135103,333.64,15.968717747926712,157.25,5.215406417846679e-09,9,1.7030803687870502,25.0,0.002991742738231551,0.007451930400111451,0.22724609375
216,302.5000000000002,102400,0.052222547403548224,-0.001519466342870146,334.59,15.968713158369065,150.0,1.1920928955078126e-08,10,1.7203812435269357,25.0,0.0056239419708617785,0.007914036390923229,0.3460693359375
217,250.0,112640,0.05316965377903108,-0.0016108339797938243,333.19,15.96871742606163,135.75,7.450580596923829e-10,11,1.7102110162377357,25.0,0.004210266956238229,0.00864323231498929,0.2704345703125
217,252.50000000000023,122880,0.051896418234602004,-0.000943350893430761,333.24,15.968717694282532,151.0,-3.3155083656311036e-08,12,1.6065335601568222,25.0,0.002923815125063811,0.009730184219733928,0.192333984375
218,300.0,133120,0.05215977114405414,-0.0012688463786616922,335.16,15.968717795610427,159.75,-5.960464477539063e-09,13,1.5351889975368977,25.0,0.003113051732839267,0.009523857822932769,0.2046630859375
219,302.5000000000002,143360,0.04704275694062113,-0.0012229196734551806,338.08,15.968717652559281,171.25,1.1548399925231934e-08,14,1.4815853476524352,47.50000000000001,0.0026413758980311287,0.009958080712385709,0.16982421875
219,380.00000000000045,153600,0.046115391908532935,-0.0005364161930629052,343.33,15.968717736005782,179.75,-1.5273690223693846e-08,15,1.38339885994792,50.0,0.0025456334679688553,0.010544741102785337,0.154736328125
220,505.00000000000045,163840,0.04899401067401665,-0.0014482304533885327,354.94,15.968717813491821,212.0,-1.2293457984924316e-08,16,1.4873055770993233,47.50000000000001,0.003233585170119113,0.010076202639902476,0.173583984375
221,550.0,174080,0.0498062183022166,-0.0012218026240589097,359.5,15.968717908859253,242.75,-5.215406417846679e-09,17,1.4458837762475014,50.0,0.0028290975087259087,0.013663416719646193,0.147021484375
221,552.5000000000002,184320,0.04563212356492431,-0.0013330123947525863,368.95,15.968717861175538,278.25,-1.6391277313232423e-08,18,1.3924842163920403,75.0,0.0024054013939803554,0.014034856925718486,0.145751953125
221,527.5000000000002,194560,0.05115394919172898,-0.0019746684291021667,361.83,15.968717521429062,251.0,8.940696716308593e-09,19,1.5113388009369373,97.5,0.003350682296786545,0.00964182667495379,0.2551025390625
