P01:episode_rewards,episode_length,frames,PMM:episode_rewards,policy_entropy,advantage_norm,clip_fraction,epoch_idx,explained_variance,value_loss,grad_norm,P09:episode_rewards,fps,approx_kl_divergence,policy_loss
125.0,359.5833333333333,10240,171.875,0.21821291510870341,15.96871600151062,0.2771240234375,1,-0.5350488569587469,651409885.9503373,627667258.172993,242.5,496,4355080.412100743,0.04456494586411282
125.0,364.7037037037037,20480,174.53703703703704,0.7641838427633048,15.968717765808105,0.1361083984375,2,6.332993507385254e-09,0.011408911769649421,0.10497463550612848,267.5000000000001,420,0.013023381361017527,0.0025126375636318698
125.0,371.87654320987656,30720,184.87654320987653,1.256643457710743,15.968717813491821,0.2158935546875,3,-2.2724270820617674e-08,0.0109370055414729,0.05021458234289231,275.0,458,0.003790286112098329,-0.0004826765027246438
125.0,371.45,40960,191.25,1.511304098367691,15.96871771812439,0.2287841796875,4,1.899898052215576e-08,0.010416698485641973,0.05089205165821951,275.0,475,0.003576327092878273,-0.0006108091067289934
125.0,373.96,51200,204.75,1.4457409769296645,15.968717700242996,0.2079345703125,5,-2.570450305938721e-08,0.010598396072600736,0.048451706151122674,300.0,485,0.0029653890735403367,-0.0011891873666172615
100.0,374.29,61440,193.0,1.5301817581057549,15.968717575073242,0.223095703125,6,-5.587935447692871e-09,0.0080011995570203,0.04976561150777846,275.0,493,0.0034607441557909626,-0.0009647554950788617
75.0,375.68,71680,182.5,1.5429028898477555,15.968717646598815,0.192822265625,7,9.313225746154785e-09,0.008816813639896282,0.0535080036643259,275.0,500,0.0030220489873045153,-0.0010341057028199429
50.0,367.93,81920,166.25,1.5454827889800071,15.968717652559281,0.2098876953125,8,-6.332993507385254e-09,0.00850987673875352,0.05092343692256011,250.0,507,0.002916175546471322,-0.0014581426123186248
22.500000000000007,357.49,92160,144.25,1.5381571151316167,15.968717032670975,0.2131591796875,9,7.450580596923829e-10,0.006643741191555819,0.049171619750974754,225.0,512,0.003451401004360832,-0.0009748005915753311
22.500000000000007,349.45,102400,154.25,1.56259570941329,15.96871771812439,0.24296875,10,-3.725290298461914e-09,0.009227242990164086,0.050834077752996976,280.00000000000045,514,0.003318332649689637,-0.001485493614745792
