PMM:episode_rewards,value_loss,policy_entropy,approx_kl_divergence,clip_fraction,epoch_idx,frames,grad_norm,policy_loss,advantage_norm,episode_length,explained_variance,P09:episode_rewards,fps,P01:episode_rewards
167.30769230769232,15.253819463611581,1.6975138178808264,0.12378714941025948,0.2746337890625,1,10240,136.2690139879964,0.020253203334505088,15.968719053268433,344.88461538461536,0.036589985340833665,225.0,173,62.5
184.05172413793105,0.0239384648099076,1.761510919034481,0.0025402371903624045,0.1736572265625,2,20480,0.36834877003651345,-0.0019498405959893716,15.968718320131302,340.87931034482756,-1.3411045074462891e-08,282.5000000000001,179,50.0
176.66666666666666,0.021277722992817872,1.746797852218151,0.001579656796297968,0.1052001953125,3,30720,0.16598969456190146,-0.002138270778232254,15.968718111515045,338.5777777777778,3.725290298461914e-09,277.5000000000002,185,50.0
206.5,0.0290059081511572,1.7138911865651607,0.0011261865791084348,0.0557861328125,4,40960,0.14915492036685046,-0.0014578272104699864,15.968718630075454,348.29,-1.1920928955078126e-08,382.5000000000007,189,50.0
222.25,0.027186933381017298,1.7439790330827236,0.0008123064493268828,0.03798828125,5,51200,0.12783387957102849,-0.0015260604934155709,15.96871858239174,348.14,-1.899898052215576e-08,500.0,192,72.50000000000001
241.75,0.025443700776668264,1.7697905763983726,0.0005122428470890839,0.0114013671875,6,61440,0.10471629330713275,-0.0009840814225754002,15.968718284368515,349.29,-1.4901161193847657e-09,525.0,196,75.0
234.5,0.02188586253032554,1.7869526505470277,0.00014102393924844136,0.0,7,71680,0.08597795530147044,-0.0003930219185349415,15.968718081712723,342.67,3.7252902984619143e-10,525.0,197,72.50000000000001
204.75,0.021905622043414043,1.7788192726671697,0.00019346858003750357,0.0,8,81920,0.07688778637066007,-0.0006672987638012273,15.968718123435973,337.11,3.7252902984619143e-10,427.5000000000002,197,50.0
206.0,0.024187292024726047,1.7734912998974324,0.00011896403392821497,0.0,9,92160,0.08606196614877479,-0.0003022138429514598,15.968718242645263,341.8,7.450580596923828e-09,412.5000000000011,197,50.0
204.75,0.0211531531313085,1.7809741385281086,0.00017047191955796848,0.0,10,102400,0.07984813900809194,-0.0004917324735288275,15.968718433380127,347.71,6.7055225372314455e-09,407.5000000000006,197,50.0
209.25,0.022550977632636204,1.7522615268826485,0.000419452240173257,0.0029541015625,11,112640,0.08099958923220232,-0.0013492226084053983,15.968718206882476,349.35,2.16066837310791e-08,400.0,198,50.0
186.5,0.02105331594357267,1.7689810559153556,0.00033281485865899185,0.0021484375,12,122880,0.08872431949317974,-0.0010107408297699294,15.968718069791795,343.79,2.6077032089233397e-09,352.5000000000002,198,50.0
183.75,0.022646250401157884,1.7826296709477902,0.0001369427945100199,0.0,13,133120,0.06559977626520525,-0.000468413626003894,15.968718105554581,341.7,2.9802322387695312e-08,350.0,198,50.0
183.25,0.022111356287496164,1.7849062778055669,0.00016798865086578018,0.0,14,143360,0.07473372935038511,-0.0006762108685506973,15.968718260526657,341.15,0.0,352.5000000000002,198,50.0
202.25,0.02252695245842915,1.781868077069521,0.00017361472459640482,0.0,15,153600,0.07006521337886706,-0.0006582327801879728,15.968718039989472,343.74,-2.2351741790771484e-08,427.5000000000002,199,50.0
189.75,0.021528417061199435,1.7774851985275746,0.00017026562667084023,0.0,16,163840,0.06499300375706821,-0.0006209927185409469,15.968718069791795,339.93,7.078051567077636e-09,402.5000000000002,199,50.0
180.25,0.02022426788753364,1.7799523882567883,0.00017428025576986527,0.0,17,174080,0.0620656831039767,-0.000730965107868542,15.96871817111969,335.2,-1.4901161193847657e-09,402.5000000000002,199,25.0
158.5,0.01687387073179707,1.7843090415000915,0.00018955821428718879,0.0,18,184320,0.055568894796138094,-0.0008555969645385631,15.968717974424361,325.99,-2.1979212760925294e-08,400.0,200,25.0
176.25,0.02269455062923953,1.7783492036163806,0.00014950133809037424,0.0,19,194560,0.05576002370852382,-0.0005836397849634523,15.968718105554581,329.34,-2.6822090148925782e-08,402.5000000000002,200,25.0
198.75,0.02346628697705455,1.7791144862771033,0.0001581367724352134,0.0,20,204800,0.05502480701979897,-0.0006068301963750855,15.968718248605729,335.22,-3.054738044738769e-08,502.5000000000002,200,25.0
197.0,0.02115228573093191,1.7845716789364814,8.229909639068111e-05,0.0,21,215040,0.055701471515397304,-0.00035813970353046896,15.968718016147614,339.25,-4.097819328308106e-09,525.0,200,25.0
184.25,0.01868358742794953,1.78439317420125,0.00012014204420931484,0.00322265625,22,225280,0.056392436628697154,-0.0006166080573166254,15.968718111515045,337.95,-1.7136335372924803e-08,407.5000000000006,200,25.0
166.25,0.02301184972457122,1.77693300396204,0.0001098936810553397,0.0,23,235520,0.054391829111273805,-0.0005381996925279964,15.968718200922012,333.55,1.0058283805847169e-08,277.5000000000002,200,25.0
170.25,0.019826453569112345,1.7724116139113903,0.00012971807781525513,0.0,24,245760,0.05392939242324353,-0.0005396652468334651,15.96871801018715,328.14,-3.725290298461914e-09,300.0,201,25.0
174.75,0.021548544298275372,1.7747960172593593,0.00014054730129942072,0.0,25,256000,0.05817145009308501,-0.0005896344668144593,15.968718153238296,330.77,6.332993507385254e-09,300.0,201,25.0
173.25,0.021661459765164183,1.771127887070179,0.00013132786298371003,0.0,26,266240,0.05670928515800211,-0.0005146240648173262,15.968718105554581,333.41,7.450580596923828e-09,302.5000000000002,201,50.0
177.75,0.023137330351164564,1.783852206915617,0.000174956288032746,0.000732421875,27,276480,0.05832289892003957,-0.0007233344502310501,15.968718242645263,337.41,2.3469328880310058e-08,325.0,201,47.50000000000001
