epoch_idx,frames,P09:episode_rewards,policy_entropy,advantage_norm,P01:episode_rewards,value_loss,episode_length,approx_kl_divergence,fps,grad_norm,explained_variance,policy_loss,PMM:episode_rewards,clip_fraction
1,10240,252.50000000000006,1.606449373063515,15.968718355894088,47.50000000000001,46.80513397560571,330.56666666666666,0.5152930256283302,181,337.17141652448663,-0.07403182461857796,0.015550499743403634,171.66666666666666,0.263818359375
2,20480,250.0,1.6839263319969178,15.968718034029006,25.0,0.02062014935654588,326.35483870967744,0.002968212084078914,177,0.6001610545123593,-1.7881393432617187e-08,-0.0004058799837366678,160.88709677419354,0.2010009765625
3,30720,325.0,1.7299569420516492,15.9687185049057,25.0,0.026201710355235264,334.56043956043953,0.002515812551104091,184,0.3654936885953849,-1.30385160446167e-08,-0.0013525408992791199,181.04395604395606,0.1666748046875
4,40960,325.0,1.7685512818396092,15.9687180519104,47.50000000000001,0.020804065314587207,332.54,0.0017517982471531468,191,0.2432838283400888,2.458691596984863e-08,-0.0017468343721702695,176.5,0.117529296875
5,51200,377.5000000000002,1.7718203991651535,15.968718153238296,50.0,0.020198680079192854,334.34,0.0010440480733592493,188,0.15319638170329947,-4.097819328308106e-09,-0.0011721706785465357,185.25,0.0509033203125
6,61440,405.00000000000045,1.7835560873150826,15.968718105554581,25.0,0.0221084650605917,334.6,0.0006669765011444895,190,0.11770287376572623,1.30385160446167e-08,-0.0013819463762047234,177.75,0.0210205078125
7,71680,450.0,1.7552148938179015,15.968718057870865,25.0,0.02240936773014255,339.41,0.0005154759428108946,192,0.09583440507313559,7.450580596923828e-09,-0.0009895408900774782,188.25,0.011376953125
8,81920,477.5000000000002,1.7711708039045333,15.968718266487121,47.50000000000001,0.022112704493338242,347.1,0.0002462252652293273,195,0.08988768729704684,2.0116567611694337e-08,-0.0007192418423073832,206.75,0.0008544921875
9,92160,402.5000000000002,1.7823171444237231,15.968717962503433,50.0,0.01959443301020656,343.53,0.00033860625615744766,196,0.086389058517087,-1.3411045074462891e-08,-0.0010419152538815978,197.25,0.0
10,102400,452.50000000000017,1.7742527917027473,15.968718230724335,72.50000000000001,0.02271960996440612,345.7,0.00025480563053221773,196,0.07902583852459306,8.195638656616212e-09,-0.0008421540023846319,204.0,0.0009521484375
11,112640,450.0,1.7713990911841393,15.968718308210374,50.0,0.025713976466795428,340.69,0.00016357947099407966,196,0.06775342143016447,7.450580596923828e-09,-0.00048125242901733147,194.75,0.0
12,122880,527.5000000000002,1.7714626871049404,15.968718272447585,72.50000000000001,0.023393749754177406,346.23,0.00015918603980225043,197,0.06796821293270072,-7.82310962677002e-09,-0.0005859463766682893,207.25,0.0
13,133120,327.5000000000002,1.7765964590013028,15.96871817111969,72.50000000000001,0.022101436962839217,346.1,0.00019840363271228512,198,0.06666000408430331,-1.3411045074462891e-08,-0.000659354961317149,199.75,0.0
