episode_length,PMM:episode_rewards,P09:episode_rewards,epoch_idx,frames,advantage_norm,fps,policy_entropy,P01:episode_rewards,policy_loss,explained_variance,value_loss,grad_norm
174.25641025641025,1.2307692307692308,3.0,1,8000,1.6904993966221808,206,1.3122696828842164,0.0,0.004038082026527263,-1.0985729241371154,0.026236594823021733,1.304927531113247
195.37179487179486,1.8076923076923077,5.0,2,16000,1.6039081773534418,173,1.3387725377082824,0.0,-0.000249362623799243,-0.03586739480495453,0.020191659282209003,0.31780672690091116
206.08,2.05,5.1000000000000085,3,24000,1.3426825980842114,183,1.3564441072940827,0.0,0.0022503345634322615,0.008009585738182067,0.0157680268088734,0.27762554462175637
195.87,1.79,5.1000000000000085,4,32000,1.2557745836675167,191,1.3712008893489838,0.0,0.003675906456774101,0.0179252952337265,0.014626006725302431,0.27063534581480797
182.77,1.41,4.0,5,40000,1.144955017864704,193,1.3694132375717163,0.0,0.0006687147554475814,0.057150081396102906,0.012352435142274772,0.24344076265030853
184.3,1.43,4.0,6,48000,1.2301337403804065,197,1.3680803203582763,0.0,0.0003173447297012899,0.07793218731880187,0.013513238230698334,0.2793620749518314
186.24,1.49,4.0,7,56000,1.1857234843820335,193,1.3820009243488312,0.0,0.004557654184172861,0.1335097861289978,0.013175438732941984,0.25411281899361277
178.92,1.25,3.0,8,64000,1.0650929580628872,193,1.3698851990699767,0.0,0.001881886115152156,-0.01906449854373932,0.011490845289808932,0.23537704698488426
173.56,1.16,2.1000000000000085,9,72000,0.9607788018882275,195,1.3806439185142516,0.0,0.00035219165869420976,0.18954806864261628,0.008225640032615047,0.1966354545593393
174.93,1.22,3.0,10,80000,1.3026946946978568,199,1.3724039828777312,0.0,0.000661975052789785,0.26967012584209443,0.014714809030265315,0.38233284069516243
183.43,1.46,3.0,11,88000,1.3351661351323127,197,1.3372374284267425,0.0,-0.005061647149559576,0.5310853642225265,0.01384808101283852,0.3543495720312059
188.62,1.55,4.0,12,96000,1.2455007654428483,200,1.3609601044654847,0.0,-0.0005201747256796807,0.6354659193754196,0.011999368156539276,0.33447872848347765
195.58,1.71,5.0,13,104000,1.3587582999467849,203,1.369419573545456,0.0,-0.0035277747438522055,0.7023844963312149,0.013652014731487725,0.3612750861046456
