advantage_norm,policy_entropy,PMM:episode_rewards,epoch_idx,grad_norm,policy_loss,frames,P09:episode_rewards,explained_variance,P01:episode_rewards,fps,value_loss,episode_length
1.575470407679677,1.3521648812294007,1.1666666666666667,1,0.8120228816671738,0.00643450767165632,8000,3.0,-0.6971703618764877,0.0,262,0.029714412361863653,174.88888888888889
1.496126206032932,1.3835531663894653,1.7012987012987013,2,0.27396492306901904,0.0040550388186238705,16000,4.0,-0.008486045598983765,0.0,160,0.02044997318645983,195.24675324675326
1.263651814442128,1.38146413564682,1.84,3,0.19668530529491965,-0.0004945219145156444,24000,4.1000000000000085,-0.014148256182670594,0.0,176,0.014805413180297364,198.08
1.0908580332249402,1.3819131791591643,1.4,4,0.16774403936479618,0.0029408603222691454,32000,3.0,-0.02837615251541138,0.0,182,0.012247339655259567,180.07
0.950310464836657,1.3832820868492126,1.04,5,0.1489427013995849,-0.00020568735199049114,40000,3.0,-0.033450021743774414,0.0,183,0.00985618964378773,167.85
1.328851143270731,1.3698978519439697,1.22,6,0.34997375684454907,0.0072720330576407834,48000,3.0,-0.06900648951530457,0.0,181,0.018977185771727818,176.06
1.4482997240126132,1.3772832894325255,1.58,7,0.24540806387336223,0.0009846458889660426,56000,4.0,-0.00232444167137146,0.0,185,0.017443726628334842,188.36
1.369654602855444,1.3705048298835754,1.87,8,0.2546328581770525,0.0033192211875575596,64000,5.0,0.06530435621738434,0.0,186,0.015886446447948403,200.95
1.3320258757472039,1.3670217347145082,1.82,9,0.2801357750262162,-0.0006139805272687227,72000,5.0,0.038120261430740356,0.0,187,0.014740749157717802,199.86
1.267860710322857,1.3625989210605622,1.56,10,0.2889767685816725,0.00041919678355043286,80000,4.1000000000000085,0.1877822107076645,0.0,189,0.013293968245852739,189.43
1.54654025554657,1.368578850030899,1.75,11,0.4319836319555469,-0.009433592827990651,88000,5.0,0.4623066353797913,0.0,190,0.019025791417225265,195.63
1.2956623753905296,1.3769668650627136,1.74,12,0.32942010069906635,-0.0008543041719531175,96000,5.0,0.6262897336483002,0.0,190,0.012540048982773442,195.89
1.499924331307411,1.3759334099292755,2.0,13,0.39235703125308746,-0.008043128712743056,104000,5.0,0.6508989065885544,0.0,193,0.017348729518125765,205.83
1.256650470495224,1.3660341393947601,1.73,14,0.3302340531211118,-0.0017920657129434402,112000,4.0,0.692445976138115,0.0,196,0.011735798113804777,195.46
1.3018805101513862,1.3726769804954528,1.48,15,0.35627002748540126,-0.0007059615371690597,120000,3.0,0.7132046145200729,0.0,197,0.012121098444331437,186.59
1.2372467511892318,1.360564171075821,1.58,16,0.3883834234270502,-0.006178217799460981,128000,4.0,0.8632599306106568,0.0,198,0.010924430675804614,191.95
1.2451139545440675,1.3561937057971953,2.02,17,0.3625436043826849,-0.00345656003424665,136000,5.0,0.8751088577508926,0.0,199,0.011060506912181155,205.52
1.1093838915228844,1.3354666543006897,2.18,18,0.30588943198252583,-0.0036936246952973305,144000,8.0,0.8753775429725646,0.0,200,0.009142073088441975,208.02
1.0968025723099708,1.3469886922836303,2.51,19,0.28957742109903306,-0.001717454066965729,152000,9.0,0.9054995799064636,0.0,202,0.008591216176282614,216.59
0.9383520314097404,1.3498729360103607,2.25,20,0.2990467937415405,-0.003312711926766383,160000,8.100000000000009,0.8934387916326523,0.0,203,0.006915608057170175,207.97
1.1071790671348571,1.360124888420105,2.02,21,0.2789147089907647,-0.001307520791888237,168000,5.0,0.9043338173627853,0.0,203,0.009110361624043434,202.97
0.9818043324351311,1.3494156563282014,2.33,22,0.25811238510635753,-0.0009554104605922476,176000,5.1000000000000085,0.9343391966819763,0.0,204,0.007089918625424616,215.11
0.8479345305263997,1.3569553673267365,2.23,23,0.22759975317253275,-0.0002398987364722416,184000,5.0,0.936110343337059,0.0,204,0.005558065381774213,214.4
0.9852574947476387,1.3605744326114655,2.0,24,0.2521065025037623,-0.001113543228711933,192000,5.0,0.9281010323762894,0.0,205,0.007135005323216319,206.23
0.7777013441920281,1.3618278467655183,1.88,25,0.20179006978823252,-9.54015419119969e-05,200000,5.0,0.9523457598686218,0.0,206,0.004701526396675035,202.19
0.8447069138288498,1.3621293962001801,2.23,26,0.2125665109816163,-0.0006317733514879365,208000,6.0,0.938050144314766,0.0,206,0.005669217871618457,211.94
0.8681981933116912,1.349807300567627,1.96,27,0.21645722649440377,-0.0012940475533832795,216000,5.0,0.9439893198013306,0.0,207,0.006027919819171074,201.6
0.7295556773245334,1.3408122837543488,2.16,28,0.17234039142542287,-0.0015945113636553288,224000,5.1000000000000085,0.9606730055809021,0.0,207,0.004150400318321772,207.68
0.6462997789680958,1.356463692188263,1.89,29,0.16315363388366041,-0.0007528875768184662,232000,5.0,0.9702130097150803,0.0,207,0.003436114244104829,196.82
0.7645580413937568,1.3608539593219757,1.56,30,0.18683531896684225,-7.235882629174739e-05,240000,5.0,0.94705739736557,0.0,208,0.004398318235762417,186.6
0.7420545728504657,1.343065688610077,1.78,31,0.1829307202953637,-0.00268924756674096,248000,5.0,0.9547825253009796,0.0,208,0.0045057095837546515,197.47
0.6771996441483498,1.3417011821269988,2.31,32,0.16989020948538655,-2.8338177944533527e-05,256000,6.0,0.9667896234989166,0.0,209,0.003650637420359999,215.27
0.7854303522408008,1.3605759942531586,2.32,33,0.1825006973961753,-0.000591833404978388,264000,6.0,0.9408165663480759,0.0,210,0.005268511045142077,214.88
0.6079248717427254,1.3397932946681976,2.24,34,0.14344991128067724,-0.0018861108125929605,272000,6.200000000000017,0.9745847517251969,0.0,210,0.0029799910282599738,208.61
