explained_variance,advantage_norm,epoch_idx,P01:episode_rewards,grad_norm,episode_length,policy_entropy,policy_gradient_loss,rollout_prob_std,policy_gradient_bias_correction,q_loss,P09:episode_rewards,fps,PMM:episode_rewards,frames,model_prob_std,avg_q_selected,policy_loss,avg_q_retraced
-144.93727734883626,0.03442587188134591,1,0.0,0.17022897765076125,0,2.134871546427409,-0.00022987146598249335,0.01917860811421027,0.0,0.0010907991128381886,0.0,322,0.0,7200,0.01917860801331699,0.009735934308264405,-0.00022987146598249335,0.008722113414357106
-126.62041784922282,0.012862714162717262,2,0.0,0.02962669305234051,0,2.194380537668864,-9.742138090587104e-05,0.004254542430862785,0.0,6.623642326909854e-05,0.0,178,0.0,14400,0.004254542458026359,0.004160708336470028,-9.742138090587104e-05,0.0042890295463924605
-54.30332647959391,0.012173638120293618,3,0.0,0.005283591564273454,0,2.196724454561869,-7.255731652549003e-05,0.002706719740914802,0.0,1.3096336836800522e-05,0.0,213,0.0,21600,0.0027067197059902053,0.003809635651608308,-7.255731652549003e-05,0.003812361842331787
-53.81947320302327,0.026747594075277447,4,0.0,0.005480580370086496,0,2.196328115463257,-0.00012509815372444184,0.004566482931841165,0.0,2.162796572520165e-05,0.0,244,0.0,28800,0.004566482986168315,0.005225785088259727,-0.00012509815372444184,0.005326049099676311
-106.5400906085968,0.01156156441817681,5,0.0,0.0019747004866367914,0,2.1969913323720296,-4.776429262468203e-05,0.0018297485386331877,0.0,8.921346852730494e-06,0.0,270,0.0,36000,0.0018297485211708894,0.0026677395721587042,-4.776429262468203e-05,0.0026115338240439694
-54.26650616327922,0.01921295770443976,6,0.0,0.0022682705253385892,3325.0833333333335,2.196829342842102,-8.101212796039666e-05,0.002741986699402332,0.0,1.2006327491083842e-05,0.0,291,0.0,43200,0.0027419867052230983,0.00321721116391321,-8.101212796039666e-05,0.003284950628100584
-98.55091667175293,0.0055315569043159485,7,0.0,0.0013497126495087325,3325.0833333333335,2.197160307566325,-2.5587193573528565e-05,0.0009642182092647999,0.0,4.271530156074732e-06,0.0,309,0.0,50400,0.0009642182247868429,0.0014882348264412333,-2.5587193573528565e-05,0.0015060331012743215
-93.14841690063477,0.00424965990241617,8,0.0,0.0010212067687369584,3325.0833333333335,2.197175709406535,-5.79149630387595e-05,0.0009060242543152223,0.0,3.855503602305059e-06,0.0,324,0.0,57600,0.0009060242038685829,0.0022612212128782024,-5.79149630387595e-05,0.002243095516071965
-29.453446912765504,0.014373598682383696,9,0.0,0.001409972156678632,3325.0833333333335,2.196975747744242,-3.8604138111490253e-05,0.002077402830279122,0.0,6.91971721759425e-06,0.0,337,0.0,64800,0.0020774028710244846,0.002325635818609347,-3.8604138111490253e-05,0.002323354020093878
-90.59302040735881,0.009806774215151866,10,0.0,0.001002156695353078,3325.0833333333335,2.1970694303512572,-4.8662162998880373e-05,0.0014839941820052143,0.0,4.445836625185014e-06,0.0,347,0.0,72000,0.0014839941199170426,0.001704155319991211,-4.8662162998880373e-05,0.0016918711461282024
-18.58863689104716,0.017904454655945302,11,0.0,0.001416634725144215,3325.0833333333335,2.196949609120687,-4.505046037669066e-05,0.002402559877373278,0.0,6.694542209591721e-06,0.0,356,0.0,79200,0.002402559944312088,0.002558956830762327,-4.505046037669066e-05,0.0025462038601593425
-74.16819039980571,0.005005128169432283,12,0.0,0.0005039462675413683,3324.2083333333335,2.1971899271011353,-2.8147395005362343e-05,0.0006564741828090822,0.0,1.5816854405178069e-06,0.0,365,0.0,86400,0.0006564741779584438,0.0007719372893916443,-2.8147395005362343e-05,0.0007658024037179227
-120.07247724533082,0.002813321677967906,13,0.0,0.00045520411229887925,3324.2083333333335,2.19721204439799,-2.9319507264820763e-05,0.0004955045733368024,0.0,1.6532586206115715e-06,0.0,373,0.0,93600,0.000495504589828973,0.00157651146776819,-2.9319507264820763e-05,0.0015752438533430297
-63.67486918767293,0.0032765365671366454,14,0.0,0.0003845640839451506,3324.2083333333335,2.197206171353658,-2.4881332542747714e-05,0.0005567278518962363,0.0,1.144678969922097e-06,0.0,379,0.0,100800,0.0005567278790598114,0.0008645986497867852,-2.4881332542747714e-05,0.0008683946313491712
-17.541795635223387,0.01506662064542373,15,0.0,0.0009729294704872562,3324.2083333333335,2.1970585346221925,-4.43325558687017e-05,0.001945995928448004,0.0,4.6354152819579515e-06,0.0,385,0.0,108000,0.0019459959012844289,0.002044385758927092,-4.43325558687017e-05,0.00207186012994498
-53.27417475382487,0.00509782787412405,16,0.0,0.0003709083871794946,3324.2083333333335,2.1971827427546184,-1.7302165163831282e-05,0.0006963002844713629,0.0,1.467285137361311e-06,0.0,391,0.0,115200,0.0006963002907771928,0.0009921814509046575,-1.7302165163831282e-05,0.0009622226139375319
-11.564190500665594,0.013626964363416103,17,0.0,0.0007354435363048277,3324.3611111111113,2.1971129850988036,-4.481429026728595e-05,0.002747204510707417,2.333817435471617e-07,3.1895858476386988e-06,0.0,393,0.0,122400,0.0015643485005636681,0.0018491783457661598,-4.458090852373879e-05,0.0017996056812504926
-26.424266399779015,0.005824610470569625,18,0.0,0.0003428491312539842,3324.3611111111113,2.197198741691453,-2.1631586404580398e-05,0.003233465790845147,8.475273959325094e-08,1.0187162851334307e-06,0.0,390,0.0,129600,0.0007288964345599876,0.0009992173163678557,-2.154683364698673e-05,0.0009906024681353416
