grad_norm,frames,policy_entropy,advantage_norm,value_loss,P01:episode_rewards,PMM:episode_rewards,epoch_idx,episode_length,P09:episode_rewards,fps,policy_loss,explained_variance
2.8285597410438914,8000,1.3102970926463604,2.199270488284528,0.07722712252139445,0.0,1.2926829268292683,1,177.7560975609756,3.0,1094,0.0005900353236620503,-0.9082462555170059
0.17830469917141406,16000,1.3811374032497405,1.220424766987562,0.013958990272162736,0.0,1.3373493975903614,2,180.90361445783134,3.0,1096,0.00331227394141024,-0.03483060479164123
0.15676778902242977,24000,1.382151288986206,1.0616307905688882,0.01151675679402615,0.0,1.28,3,179.24,3.0,985,-0.0009002860489999876,-0.0013334095478057862
0.18762823132547027,32000,1.3806061625480652,1.2402898760139942,0.013858981443063386,0.0,1.23,4,178.01,3.0,947,0.002290530917234719,-0.018478057980537414
0.7572621193203583,40000,1.369894814491272,1.7729070658236743,0.03801885304605093,0.0,1.49,5,185.58,4.0,937,0.005951377059391234,-0.07643909037113189
0.2305013489679175,48000,1.3664748454093933,1.4058028187602758,0.01748866797024675,0.0,1.97,6,204.78,5.0,927,0.000661465956363827,-0.002081561088562012
0.2008372860375993,56000,1.3720578396320342,1.15071067340672,0.013087988184652203,0.0,1.83,7,197.7,5.0,923,0.00259897303651087,-0.028078520298004152
0.2010943682302945,64000,1.3813645088672637,1.0871949249505997,0.011856104315702396,0.0,1.34,8,179.74,3.1000000000000085,918,0.0010047347249928862,-0.008522727489471436
0.22534411954456593,72000,1.3771454572677613,1.3597702147066593,0.01621183321112767,0.0,1.28,9,180.94,3.1000000000000085,914,0.004303102547419257,0.0056896406412124635
0.18244353341788255,80000,1.369507715702057,1.0020164730399848,0.00983386872401752,0.0,1.46,10,189.0,4.0,908,-0.0015664244021172636,-0.019912801384925842
0.18209351287378195,88000,1.3793101000785828,0.9753121971338987,0.009913397951968363,0.0,1.26,11,178.46,3.0,903,0.0009326041291205911,-0.023229808807373048
0.27327699262240335,96000,1.3736061346530914,1.2540897856652737,0.014880936651388765,0.0,1.06,12,167.01,3.0,899,0.0026025526935700327,-0.04525928318500519
0.24090814824923562,104000,1.359372285604477,1.091896951943636,0.011623110828804784,0.0,1.21,13,172.99,3.0,897,0.002829075190529693,0.05510359823703766
0.28361919745237985,112000,1.3693669176101684,1.2269007792323827,0.014226696622281453,0.0,1.2,14,172.27,3.0,894,0.003833354360649537,-0.02371434211730957
0.6303800273303001,120000,1.3532356965541839,1.3892381566762924,0.025885098767030285,0.0,1.19,15,171.57,3.0,890,-0.0009285364036622923,0.20908719480037688
0.28310303336880027,128000,1.3743678522109986,1.1064568877220153,0.010341058271733346,0.0,1.2,16,174.39,3.0,887,0.0017184608722891426,0.11288500010967255
0.4298898375143857,136000,1.3722408020496368,1.1468671597540379,0.01622716453712201,0.0,0.99,17,165.4,3.0,885,-0.006332577639259398,0.2474128782749176
0.3733688214507573,144000,1.3819117748737335,1.378116794526577,0.01451223428157391,0.0,1.15,18,171.9,3.0,882,-0.0005875804008974228,0.349430992603302
0.5562627943019653,152000,1.3781343579292298,1.511601969152689,0.020837082047655713,0.0,1.32,19,181.19,3.0,881,-0.004332199041964486,0.533268210887909
0.4250645935026335,160000,1.374772697687149,1.5211528939008714,0.017549458587891423,0.0,1.69,20,195.12,4.0,881,-0.006020418402040377,0.6567117071151733
