explained_variance,P09:episode_rewards,epoch_idx,policy_entropy,clip_fraction,value_loss,approx_kl_divergence,P01:episode_rewards,advantage_norm,frames,policy_loss,grad_norm,episode_length,PMM:episode_rewards,fps
-0.37472934313118456,200.0,1,0.3613092286987764,0.3691650390625,429722419.3786248,1171575.4520520975,0.0,15.968715620040893,10240,0.0344222782820907,460330702.941031,418.04761904761904,80.95238095238095,492
-5.587935447692871e-09,200.0,2,1.1172495733946561,0.215771484375,0.007223223651999433,0.006857776182732778,0.0,15.968717640638351,20480,0.0020909637285512874,0.07161580087251822,403.5416666666667,105.20833333333333,499
3.7252902984619143e-10,300.0,3,1.488876287639141,0.2236572265625,0.011025341847926029,0.0036705912466800327,0.0,15.9687175989151,30720,-0.0007601653178426204,0.04929100556778255,395.75,149.01315789473685,477
8.940696716308593e-09,375.0,4,1.39969826862216,0.2098876953125,0.012400806701043621,0.0030437309227494326,22.500000000000007,15.968717789649963,40960,-0.0017313937922153854,0.05212871002417335,393.48,183.75,477
-2.123415470123291e-08,527.5000000000002,5,1.4030654966831206,0.185302734375,0.012041641840187366,0.00316612776484817,75.0,15.968717741966248,51200,-0.00048678159619157667,0.05145439308187207,386.88,235.5,475
-1.3783574104309083e-08,552.5000000000002,6,1.3612577714025975,0.1822265625,0.008802836641552857,0.002743525640687494,75.0,15.96871771812439,61440,-0.0008821627950965194,0.045718797763928044,391.36,263.25,473
-1.1175870895385742e-09,525.0,7,1.4335090033710003,0.229638671875,0.0062140265096559235,0.004152977245416878,50.0,15.968716937303544,71680,-0.0010847268451470882,0.04355613529774992,379.58,228.5,472
1.9099563360214235e-06,525.0,8,1.4704710252583026,0.244091796875,1299871.3092396343,1179774.403916872,25.0,15.968717813491821,81920,-0.000666689071294968,10515121.055279192,371.12,199.5,474
-3.725290298461914e-09,305.00000000000045,9,1.5487876407802106,0.215234375,0.009735080226164428,0.0031684691753639527,25.0,15.968717646598815,92160,-0.0009514896973996656,0.050794592561813345,357.03,159.75,470
1.4901161193847657e-09,402.5000000000002,10,1.5679186798632145,0.23525390625,0.01144668355846079,0.003428473833719181,50.0,15.968717736005782,102400,-0.0016137066333612893,0.05495170090857578,363.72,186.5,470
7.82310962677002e-09,480.00000000000045,11,1.5887100897729396,0.237744140625,0.011549808594281785,0.0032729450461602026,75.0,15.968717807531357,112640,-0.0016014175751479342,0.05528132686173699,366.49,212.5,471
6.332993507385254e-09,527.5000000000002,12,1.5135227590799332,0.179443359375,0.012888570873474236,0.0030220894748140383,100.0,15.968718028068542,122880,-0.0012335931900452125,0.05185219073571108,379.55,244.5,471
-1.1920928955078126e-08,527.5000000000002,13,1.5618421643972398,0.21103515625,0.013603032199898734,0.0027833624369236532,125.0,15.968717795610427,133120,-0.0015693440316681517,0.058032029957417255,382.73,262.5,472
-0.03451111055910587,525.0,14,1.520219761133194,0.218896484375,0.011336539414423896,0.003313867264091641,125.0,15.968717801570893,143360,-0.0014301202878414187,0.06744020975171994,390.69,269.25,473
-2.9802322387695314e-09,525.0,15,1.4596286021173,0.24365234375,0.01067125768167898,0.0034632837612434742,125.0,15.96871787905693,153600,-0.0020481912135437595,0.054237194473047846,401.54,269.0,472
7.078051567077636e-09,480.00000000000045,16,1.5023015156388282,0.2320556640625,0.006084431023600701,0.003185294851436993,50.0,15.96871640086174,163840,-0.0010407606510852928,0.04971639511098115,395.55,231.5,473
-1.1175870895385742e-08,400.0,17,1.5363477788865567,0.2031005859375,0.007069226825944952,0.0029781115756691177,50.0,15.968716377019883,174080,-0.0011364029409378419,0.052402759270060925,387.6,186.5,474
1.0430812835693359e-08,400.0,18,1.5314716465771199,0.2369384765625,0.0090282770524027,0.003311593827766046,50.0,15.968717497587203,184320,-0.0015782193237100727,0.05269650323095376,376.44,168.75,471
2.9802322387695314e-09,405.00000000000045,19,1.5830846831202507,0.213525390625,0.008539600945960046,0.0031220149761793437,50.0,15.9687165081501,194560,-0.0013109298422932624,0.050656480472798714,369.86,162.25,472
5.587935447692871e-09,500.0,20,1.5764350652694703,0.2365478515625,0.010010152011818717,0.0035814362316841653,50.0,15.968717527389526,204800,-0.0014468227873294381,0.05218601881539867,378.25,193.25,471
-5.587935447692871e-09,500.0,21,1.5317089416086673,0.25341796875,0.00829686175184179,0.003603186625343824,50.0,15.96871749162674,215040,-0.0017644671046582517,0.04986603237039793,378.62,200.5,470
-4.8428773880004884e-09,325.0,22,1.533592040836811,0.20712890625,0.008030508397314406,0.0031351625500747105,50.0,15.968717700242996,225280,-0.0010444273080793209,0.05450047353661767,369.26,174.0,471
4.097819328308106e-09,252.50000000000023,23,1.5228150226175785,0.241162109375,0.007500307461236843,0.0035412237633863698,50.0,15.968717283010482,235520,-0.0012351812489214352,0.05116600169741394,366.06,159.25,469
-8.568167686462402e-09,225.0,24,1.4362994775176048,0.2540283203125,0.008950689284210967,0.0033883004545828045,50.0,15.968717753887177,245760,-0.0016457160243589896,0.05336748415051149,373.53,145.75,470
1.1920928955078126e-08,275.0,25,1.5238846108317374,0.1884521484375,0.010588717520295176,0.0035263661669972636,72.50000000000001,15.968717926740647,256000,-0.0007395379923764267,0.04949610580717316,382.59,175.5,470
4.097819328308106e-09,357.5000000000007,26,1.5870019786059857,0.2370849609375,0.00981936316093197,0.003478759555355282,72.50000000000001,15.96871783733368,266240,-0.0010701403713028411,0.05459599639511596,377.93,189.75,468
-1.862645149230957e-09,500.0,27,1.5092629842460155,0.225634765625,0.0055499174271510295,0.0036630758047294875,25.0,15.968716776371002,276480,-0.0017250327844521962,0.04380378679521954,350.83,184.25,467
-7.078051567077636e-09,275.0,28,1.4492471173405648,0.2283203125,0.00450308978471412,0.0031131045414895197,0.0,15.968711423873902,286720,-0.0011214999831281602,0.04262863270653667,321.27,122.5,467
