fps,epoch_idx,advantage_norm,PMM:episode_rewards,P01:episode_rewards,P09:episode_rewards,value_loss,policy_loss,frames,explained_variance,grad_norm,episode_length,policy_entropy
254,1,6.21280187562108,1.0,0.0,3.0,1.1901008307504162,0.04995648834563326,8000,-0.5732276630401612,37.796465274600216,160.34883720930233,1.2649262163043022
234,2,1.0502573920041323,1.3975903614457832,0.0,3.0,0.010640917091623124,0.0013130959458067081,16000,-0.19137015640735627,0.1224568315256846,181.3012048192771,1.3767853796482086
242,3,0.7707009334117174,1.57,0.0,4.0,0.0071673105506124555,0.0010010565413540462,24000,-0.47292972266674044,0.12074902081506726,191.42,1.3828363692760468
245,4,0.9220494410395622,1.34,0.0,3.0,0.008484197398865944,6.269819616136374e-05,32000,-0.16193918585777284,0.09986645606080298,181.53,1.3820259308815002
250,5,0.9263701912388206,1.28,0.0,3.0,0.009205806735681108,-0.0002718460466712713,40000,-0.17640525996685028,0.09622827922496015,178.4,1.3848632979393005
249,6,0.8640727865695953,1.28,0.0,4.0,0.008308003212978293,-0.00032640173099935055,48000,-0.14350204348564147,0.08860782375623816,178.96,1.3843388724327088
254,7,0.9354501416534186,1.44,0.0,3.1000000000000085,0.009473166599836986,0.0008811906620394439,56000,-0.13230630695819856,0.09714681326196255,185.77,1.3833285450935364
256,8,0.9298252531141042,1.34,0.0,3.0,0.008920524265959103,0.00017776406602934002,64000,-0.1281902587413788,0.09104361762265484,180.72,1.3801231694221496
258,9,0.990677105113864,1.49,0.0,3.1000000000000085,0.0098485207252088,0.0009453981008846312,72000,-0.18743621826171875,0.11369038513963214,187.66,1.3833936667442321
258,10,0.8223565107584,1.36,0.0,3.0,0.00756388288384187,0.0012719247047789394,80000,-0.4094549381732941,0.09029252830967777,182.6,1.382819776535034
260,11,0.9524284350126981,1.34,0.0,3.0,0.009200764128672744,0.0003648389229783788,88000,-0.27697593212127686,0.11245055430584053,180.46,1.3841320264339447
262,12,0.9291364821791649,1.29,0.0,3.0,0.008755444003545563,0.0003340321767609566,96000,-0.17186538696289064,0.11304105961229688,177.2,1.3839939653873443
