PMM:episode_rewards,frames,clip_fraction,value_loss,P01:episode_rewards,epoch_idx,advantage_norm,explained_variance,policy_entropy,policy_loss,episode_length,approx_kl_divergence,P09:episode_rewards,fps,grad_norm
3.125,10240,0.10791015625,1256091300.9399123,0.0,1,15.968703091144562,-1.5107448492199183,0.05564677300777719,0.0437205063066358,275.28125,1621785.5945334954,0.0,179,1130121166.720797
3.8194444444444446,20480,0.15302734375,0.05881264738718528,0.0,2,15.96867545247078,-6.7055225372314455e-09,0.36305976427502173,0.002901514173754549,276.0138888888889,0.02852703971543207,0.0,181,0.6194421528826213
35.25,30720,0.3868896484375,0.00624877830794901,0.0,3,15.968664592504501,-2.9802322387695314e-09,1.3572742465883494,0.0012035973690217362,284.83,0.011330952006028383,100.0,194,0.10678369289615053
86.5,40960,0.25341796875,0.010327419968962203,0.0,4,15.968717914819717,-3.3527612686157227e-09,1.6182807087898254,-0.0007746092946035787,302.69,0.004239182975516087,225.0,201,0.06494746403327582
143.25,51200,0.2071044921875,0.009350002849532756,0.0,5,15.96871775984764,9.685754776000977e-09,1.6465164192020894,-0.000890328634341131,321.57,0.0035809185862262895,277.5000000000002,207,0.05197137874101748
171.25,61440,0.2510009765625,0.010208223081554025,25.0,6,15.968717509508133,-1.0430812835693359e-08,1.6832352183759212,-0.0009109789516514866,332.59,0.0039347216700207355,302.5000000000002,211,0.053281795288978716
184.75,71680,0.3176025390625,0.008849550531886052,25.0,7,15.968717652559281,-1.6763806343078613e-08,1.6697489067912101,-0.001902799041272374,331.57,0.004546070408355263,450.0,214,0.05465369735436382
203.25,81920,0.2098876953125,0.011876577097427798,50.0,8,15.968717801570893,1.4156103134155273e-08,1.5896172150969505,-0.0009570499700203072,340.7,0.002843677802434286,502.5000000000002,216,0.055592515296930156
213.25,92160,0.164453125,0.010842855991904798,50.0,9,15.968717736005782,1.1920928955078126e-08,1.5927232794463635,-0.0010014914267230778,345.51,0.002889119879887403,502.5000000000002,218,0.052814084815104544
218.5,102400,0.181689453125,0.011882680619237362,50.0,10,15.968717753887177,-7.078051567077636e-09,1.6081773921847344,-0.0013038196586421691,349.78,0.002461128959976122,482.5000000000007,220,0.0569321871195669
259.5,112640,0.1622802734375,0.015387067836127245,50.0,11,15.968717843294144,-1.3411045074462891e-08,1.594313070178032,-0.0007931540378194768,360.51,0.0024139264849850407,577.5000000000002,222,0.054149390837513155
270.25,122880,0.1976806640625,0.012800343973503913,75.0,12,15.968718004226684,-1.9371509552001954e-08,1.6374214842915535,-0.0011426917739299825,356.03,0.003494470887676471,577.5000000000002,223,0.053502253386426814
264.75,133120,0.2708251953125,0.010896008800773415,75.0,13,15.96871812939644,-7.078051567077636e-09,1.73582549020648,-0.001992354114918271,355.52,0.0035896778754135996,575.0,224,0.054454892599491544
234.75,143360,0.260986328125,0.009654675174897421,72.50000000000001,14,15.968717688322068,-2.123415470123291e-08,1.7400077767670155,-0.0014619920009863562,346.7,0.003554394476111611,575.0,224,0.05653951687997636
147.75,153600,0.1447998046875,46009259.263125926,0.0,15,15.968713581562042,-0.18121546022593976,0.4172328441409395,0.026993427393608726,324.38,24838789.31999687,302.5000000000002,225,26847631.586431883
75.5,163840,0.393798828125,0.0010005433527837226,0.0,16,15.968505883216858,-7.450580596923828e-09,0.8007941908930661,0.006916827618692878,301.73,0.05489664673955623,225.0,226,0.08844889129912323
27.0,174080,0.4031494140625,0.004315015754366413,0.0,17,15.968670493364334,1.862645149230957e-09,1.4933705158531665,0.0018207340053777443,284.01,0.010941596584143554,75.0,227,0.08916330534242337
52.25,184320,0.316845703125,0.005317141738069608,0.0,18,15.968707799911499,1.4901161193847656e-08,1.6100142441689969,-0.0012673456647462444,295.72,0.00496835145336263,125.0,228,0.04816908688536744
93.75,194560,0.32080078125,0.006132185601290985,0.0,19,15.968716990947723,9.685754776000977e-09,1.5934864051640034,-0.0019161275806254708,308.6,0.004306108137143383,200.0,229,0.04711665867936258
117.75,204800,0.2445068359375,0.006193440741515133,25.0,20,15.968716305494308,-8.940696716308593e-09,1.527795685082674,-0.0008947318649006775,319.69,0.004240896601470467,377.5000000000002,228,0.049678737025396526
127.0,215040,0.2845458984375,0.007535572755296016,25.0,21,15.96871657371521,-1.0058283805847169e-08,1.5845569387078284,-0.0015316573410018464,323.95,0.003693927427343624,285.00000000000085,230,0.04895317148483559
130.25,225280,0.2922607421875,0.008548371113238317,25.0,22,15.968716394901275,1.3783574104309083e-08,1.5912713825702667,-0.0015007600821263622,329.04,0.004768245845025376,230.0000000000004,230,0.05109637943260527
160.0,235520,0.2130126953125,0.01181733337471087,25.0,23,15.968717700242996,-1.1175870895385742e-09,1.617695291340351,-0.0016010492585337489,334.93,0.003040277194222085,352.5000000000002,230,0.05519814622716829
220.75,245760,0.2045654296875,0.013029413236654363,25.0,24,15.96871777176857,-1.080334186553955e-08,1.663358497619629,-0.0012260114035598235,347.75,0.003053202106343633,550.0,230,0.054583356278321414
242.5,256000,0.242138671875,0.011005939790175034,72.50000000000001,25,15.968717783689499,-2.16066837310791e-08,1.6916624195873737,-0.0015238495379890082,352.18,0.0031828799178811097,600.0,231,0.05502279928308633
246.75,266240,0.2270263671875,0.01158535251433932,75.0,26,15.968717670440673,-1.3411045074462891e-08,1.6954843267798423,-0.001461410179035738,352.26,0.0029769104834144857,600.0,231,0.05612158429038513
242.5,276480,0.2111328125,0.014584179568919354,75.0,27,15.968718045949936,6.7055225372314455e-09,1.7088334746658802,-0.0016464797048683978,347.33,0.002710198379736539,502.5000000000002,232,0.05755772213783602
