advantage_norm,explained_variance,frames,grad_norm,epoch_idx,model_prob_std,q_loss,P09:episode_rewards,P01:episode_rewards,rollout_prob_std,PMM:episode_rewards,fps,policy_gradient_bias_correction,avg_q_retraced,policy_loss,avg_q_selected,policy_entropy,policy_gradient_loss,episode_length
0.07572784473498663,-21.893755181630453,7200,0.057147867492061216,1,0.032346995919942854,0.00123367465409198,0.0,0.0,0.032346996416648226,0.0,442,0.0,-0.003766090578089158,0.00023014533592989513,-0.00391537567290167,2.1364465316136676,0.00023014533592989513,0
0.13916201047444096,-12144.17076583306,14400,0.974633039054623,2,0.07027475604166587,0.032608882465501664,0.0,0.0,0.07027475732999543,0.0,210,2.3418864110018874e-09,-0.26845271391794084,0.00071926376670793,-0.2718550398848796,1.8073779314756393,0.0007192614228188176,0
0.00585678059530134,-826.9856297810873,21600,0.004822963094287347,3,0.006229456622774402,3.188493428751826e-05,0.0,0.0,0.006229456591730316,0.0,257,0.0,-0.0016040719735125701,3.5965914756275195e-05,-0.0016347502193336065,2.1956112384796143,3.5965914756275195e-05,0
0.032985274035794036,-173.78118286132812,28800,0.007696574191314833,4,0.009701405900220077,9.774327578876788e-05,0.0,0.0,0.00970140597783029,0.0,288,0.0,-0.003958433672475318,8.068695462194834e-05,-0.003922355889032284,2.1931646903355917,8.068695462194834e-05,0
0.013156416290439666,-237.06014382044475,36000,0.002274891017813488,5,0.006545354068900148,1.5899306439829768e-05,0.0,0.0,0.006545354224120577,0.0,304,0.0,-0.0034323865237335365,7.104323528134652e-05,-0.003556130772146086,2.195249017079671,7.104323528134652e-05,0
0.023342718804876008,-218.77546234130858,43200,0.0030595420953472333,6,0.008107820774118106,2.6466878716746577e-05,0.0,0.0,0.008107820649941762,0.0,314,0.0,-0.003177808062173426,8.11390220709048e-05,-0.003336390922777355,2.19430144627889,8.11390220709048e-05,3324.5833333333335
0.0031681418574104705,-187.23879709243775,50400,0.0009693172302892439,7,0.0053583798309167225,3.0016910651890307e-06,0.0,0.0,0.005358379939571023,0.0,324,0.0,-0.0030422121519222854,5.962871412824218e-05,-0.0030388310241202515,2.196053687731425,5.962871412824218e-05,3324.5833333333335
0.0025018117856234314,-123.39663521448772,57600,0.0007823789581786725,8,0.005243624731277426,2.162157873423591e-06,0.0,0.0,0.005243624839931726,0.0,335,0.0,-0.0037806993583217262,9.101192287441033e-05,-0.003803970874287188,2.196101999282837,9.101192287441033e-05,3324.5833333333335
0.018232124849843483,-15.06420431137085,64800,0.001821549994274516,9,0.007840029057115316,1.593236983552515e-05,0.0,0.0,0.00784002902607123,0.0,345,0.0,-0.0027874844692026574,5.6479566349783754e-05,-0.002791406128865977,2.1945213874181113,5.6479566349783754e-05,3324.5833333333335
0.013421545138893027,-379.10301678975424,72000,0.0017098690566680593,10,0.0075454422583182655,1.1136218627901447e-05,0.0,0.0,0.007545442320406437,0.0,352,0.0,-0.0031128286694486937,6.400794886758376e-05,-0.0032210521244754394,2.19475204149882,6.400794886758376e-05,3324.5833333333335
0.02552582616917789,-37.15389633178711,79200,0.0021294890661173855,11,0.00948599404655397,1.7894068323206134e-05,0.0,0.0,0.009485994015509884,0.0,359,0.0,-0.002974793951337536,6.268326436232504e-05,-0.0030767872851962847,2.1934263547261557,6.268326436232504e-05,3324.5833333333335
0.005176229417944948,-200.72645468711852,86400,0.001086304553738784,12,0.0070039843985189995,3.83326066923928e-06,0.0,0.0,0.007003984445085128,0.0,364,0.0,-0.002642351280276974,6.995025863337408e-05,-0.002696599291327099,2.1952118317286176,6.995025863337408e-05,3324.5
0.002535843608590464,-110.56571776072184,93600,0.0005838341603840713,13,0.006473804467047254,1.4571921838069102e-06,0.0,0.0,0.0064738042963047825,0.0,370,0.0,-0.0032668711074317494,6.670034672424663e-05,-0.0032863954780623316,2.1955302556355796,6.670034672424663e-05,3324.5
0.002635498872647683,-33.210205221176146,100800,0.00039167737475752823,14,0.006842542455221216,5.63913437190422e-07,0.0,0.0,0.006842542439699173,0.0,375,0.0,-0.0023362449603155254,5.6523521925555543e-05,-0.002371272793971002,2.1953267018000284,5.6523521925555543e-05,3324.5
0.02509947963214169,-54.64168572425842,108000,0.0018604285470588482,15,0.010040194696436326,1.3820697044764075e-05,0.0,0.0,0.010040194727480412,0.0,379,0.0,-0.0021461988566443325,3.9866321352140706e-05,-0.002099808433558792,2.1930455287297566,3.9866321352140706e-05,3324.5
0.00799828342666539,-127.2156643708547,115200,0.000839858769605533,16,0.008103196338439981,4.14635858187277e-06,0.0,0.0,0.008103196369484067,0.0,383,0.0,-0.0022979086575408776,4.9785668746456695e-05,-0.002323586167767644,2.194466781616211,4.9785668746456695e-05,3324.5
0.02374438850048353,-14.9690171127723,122400,0.0015737129959774519,17,0.010031862593214052,1.1393025656305091e-05,0.0,0.0,0.012395489103550083,0.0,383,-2.6137287767399143e-09,-0.002023631407190656,5.401694776856429e-05,-0.0020564662160662316,2.1930707987591074,5.401956147710597e-05,3324.9166666666665
0.012124676890019882,-17.70906346207573,129600,0.0008344943566797428,18,0.009574122722346886,3.3500614500397547e-06,0.0,0.0,0.020263238435983166,0.0,377,1.882693403872274e-06,-0.001525981139430774,3.2091739571994305e-05,-0.0015360310627655718,2.1934800509012566,3.0209046202458914e-05,3324.9166666666665
0.010030038626934617,-30.048253116204,136800,0.0006838454758385431,19,0.010350071092791579,2.306273360033783e-06,0.0,0.0,0.019211776748006403,0.0,372,2.0301272878908e-06,-0.0011641336075871353,3.116422547382219e-05,-0.0011655972826209288,2.192871724755045,2.9134098228566214e-05,3324.9166666666665
