value_loss,policy_loss,grad_norm,P09:episode_rewards,approx_kl_divergence,epoch_idx,fps,episode_length,explained_variance,frames,policy_entropy,P01:episode_rewards,PMM:episode_rewards,clip_fraction,advantage_norm
416091723.1261257,0.05535920470270526,429765876.9774192,22.500000000000053,418265.34501129657,1,454,290.4375,-4.186824085190892,10240,0.11745241748438824,0.0,16.40625,0.2052978515625,15.968707537651062
0.0023924911739499066,0.0023012236102431414,0.09043319944745852,50.0,0.024058857987392913,2,362,290.98591549295776,-1.862645149230957e-09,20480,1.0000810710247605,0.0,19.718309859154928,0.3251953125,15.968680781126022
0.005177184125022905,-0.0007736982028291095,0.05740455830572124,75.0,0.007188452040281845,3,381,294.14,2.570450305938721e-08,30720,1.3984147243201732,0.0,40.0,0.297802734375,15.968712288141251
0.003709097359674507,-0.0009021969366585836,0.040544375580178094,125.0,0.00793743300287133,4,393,296.69,-2.6077032089233397e-09,40960,1.5067142821848392,0.0,54.75,0.3417724609375,15.968668287992477
0.006136091590633441,-0.0008638160517875804,0.04983844178012366,150.0,0.004057386847330235,5,400,300.65,-1.6391277313232423e-08,51200,1.5926346763968469,0.0,77.0,0.2677490234375,15.968717390298844
0.006927654282844742,-0.0009536046629364137,0.050773370762459545,180.00000000000045,0.004162294182521009,6,405,308.47,1.3411045074462891e-08,61440,1.6624197363853455,0.0,93.25,0.25087890625,15.968716484308242
0.006983304398636392,-0.0007111313949280884,0.052710423959936525,252.50000000000023,0.0037610214881624417,7,414,315.33,2.0116567611694337e-08,71680,1.6829301171004771,0.0,111.25,0.2692626953125,15.96871726512909
0.0059429981366285745,-0.0012756203810567967,0.048436600920745344,227.5000000000002,0.004550902918094834,8,421,320.14,-4.097819328308106e-09,81920,1.6040344752371312,0.0,112.0,0.2870361328125,15.96870573759079
0.0033825984569716637,-0.0015236623115924886,0.036831473213430305,200.0,0.004107056176326296,9,429,308.59,-1.7508864402770997e-08,92160,1.4410415045917033,0.0,78.5,0.2302978515625,15.968715101480484
0.0027126064922919245,-0.00044393275393304064,0.03663113307821081,150.0,0.0047396533192682,10,430,299.15,9.685754776000977e-09,102400,1.3184857942163943,0.0,53.0,0.24765625,15.968366622924805
0.006104406136924112,-0.0007642801654583308,0.04811610950224473,100.0,0.004489418990209515,11,430,294.07,-1.899898052215576e-08,112640,1.5359909422695637,0.0,48.0,0.25478515625,15.968651777505874
0.007409127452774555,-0.0014267748829297489,0.049992168429302555,200.0,0.0035547247139504634,12,431,308.46,-4.8428773880004884e-09,122880,1.6023026794195174,0.0,95.5,0.248388671875,15.968717443943024
0.005973833045618449,-0.0012757520280501922,0.04909285735894607,250.0,0.004713480830355365,13,435,316.39,-1.4528632164001465e-08,133120,1.647783339768648,0.0,117.75,0.268505859375,15.968717449903489
0.005737813521847102,-0.0011130985185445752,0.04859630318178903,250.0,0.003986380466085393,14,436,320.06,1.2293457984924316e-08,143360,1.6926291048526765,0.0,124.25,0.266845703125,15.96871713399887
0.005908040810481907,-0.001133221943382523,0.04928752862568595,177.50000000000023,0.004126327953235887,15,438,313.97,-1.2293457984924316e-08,153600,1.7417299576103686,0.0,95.5,0.2992919921875,15.968714165687562
0.006992070385604165,-0.0016373335834941826,0.05157671412304725,200.0,0.004443607818075179,16,437,316.28,7.450580596923828e-09,163840,1.7729927249252797,25.0,100.0,0.2952392578125,15.968717515468597
0.008527195524311536,-0.0015009944865596481,0.054651032478623816,227.5000000000002,0.004040291276623975,17,437,317.83,1.6763806343078613e-08,174080,1.7485145039856433,22.500000000000007,121.5,0.309228515625,15.968717569112778
0.010189068688487169,-0.001508978033234598,0.05490258182329601,252.50000000000023,0.003957430334594392,18,436,326.76,6.332993507385254e-09,184320,1.7503318548202516,25.0,139.5,0.2651123046875,15.96871766448021
0.010357307031517849,-0.0015425330228026723,0.05528147970719446,325.0,0.003419726285244451,19,437,332.18,2.6077032089233397e-09,194560,1.7463553048670293,25.0,162.5,0.2287353515625,15.968717700242996
0.008052938941636967,-0.0019227881766710198,0.051955553647379936,327.5000000000002,0.004681294446731954,20,438,336.1,-8.195638656616212e-09,204800,1.7555157996714115,50.0,172.75,0.3017578125,15.96871766448021
0.0077837183193878445,-0.0015394731344713364,0.05233411625219346,277.5000000000002,0.003709180553482838,21,437,326.51,2.9802322387695314e-09,215040,1.7646349251270295,50.0,148.25,0.2707275390625,15.968717849254608
0.00741979349486428,-0.001492589079134632,0.05309976299072629,300.0,0.0039000422625804277,22,437,319.6,1.1920928955078126e-08,225280,1.7496762469410896,25.0,134.0,0.2685302734375,15.96871749162674
0.005478147813888512,-0.0020217705081449822,0.05185650040954522,227.5000000000002,0.004055302002643657,23,437,313.47,1.5273690223693846e-08,235520,1.7337274059653283,0.0,117.75,0.345556640625,15.968710678815842
0.005525347764063326,-0.0018937225180707174,0.050816792218440786,200.0,0.0051492808485818385,24,438,310.35,-9.685754776000977e-09,245760,1.750885234028101,0.0,106.0,0.3538818359375,15.968716824054718
0.007272800130340329,-0.0012836156856792513,0.05138172303529075,225.0,0.0036695559785130173,25,439,313.97,2.2351741790771484e-08,256000,1.69433201700449,0.0,115.25,0.273828125,15.968717497587203
0.004210182062446321,-0.0011753245242289267,0.048867474744268016,225.0,0.003518214857854218,26,439,313.47,1.862645149230957e-09,266240,1.6683596909046172,0.0,106.5,0.2636962890625,15.968522661924363
0.004802998719223695,-0.001485549438802991,0.050396113678741014,202.50000000000023,0.004842587998678027,27,439,311.74,-2.0861625671386717e-08,276480,1.671905840933323,0.0,100.75,0.3083251953125,15.968709844350816
