explained_variance,fps,value_loss,P01:episode_rewards,PMM:episode_rewards,episode_length,policy_entropy,epoch_idx,approx_kl_divergence,clip_fraction,frames,grad_norm,advantage_norm,P09:episode_rewards,policy_loss
-0.3285839594900608,193,2182219511.24611,175.0,258.3333333333333,361.5416666666667,1.2552657109467504,1,19375097.55481934,0.3251708984375,10240,1759933051.1593213,15.968717831373215,359.99999999999994,0.03427661611531221
-1.1548399925231934e-08,179,0.015833435259992257,175.0,259.54545454545456,364.23636363636365,1.374823048710823,2,0.003308974304036383,0.170166015625,20480,0.07014388115674877,15.96871801018715,365.0,-0.0005418195265519899
-5.587935447692871e-09,195,0.015955613132973667,175.0,266.0919540229885,355.01149425287355,1.4697454005479813,3,0.002649210265195734,0.1646484375,30720,0.05858463663218224,15.9687180519104,375.0,-0.001373579014034476
5.960464477539063e-09,206,0.017049650484113953,175.0,274.5,354.93,1.553533611446619,4,0.0026680104543402193,0.174853515625,40960,0.05728711139671335,15.96871793270111,377.5000000000002,-0.001218191190127982
-1.6391277313232423e-08,212,0.01692330546793528,175.0,282.75,352.28,1.5765263207256794,5,0.0027372459645675917,0.1928466796875,51200,0.057150141495433425,15.968718016147614,400.0,-0.0013181926482502605
-3.3527612686157227e-09,215,0.01770748042035848,197.5,293.5,351.08,1.5165574006736278,6,0.002331265763768897,0.1344970703125,61440,0.05265956971168134,15.968717968463897,400.0,-0.0007457899817381985
-1.3783574104309083e-08,218,0.018889959366060794,200.0,300.5,347.79,1.5044577069580556,7,0.0020864597643253545,0.1338134765625,71680,0.055958797700539464,15.968717986345291,377.5000000000002,-0.0008621477431006497
-8.568167686462402e-09,219,0.015883071957796348,197.5,298.0,345.3,1.4863956227898598,8,0.0025105401065218303,0.1713134765625,81920,0.05461657578781405,15.968717902898788,375.0,-0.001783442826126702
-1.825392246246338e-08,221,0.01705813219305128,200.0,304.25,344.91,1.482360291481018,9,0.0022373085128265303,0.1342529296875,92160,0.05363344511064463,15.968718004226684,375.0,-0.0008949215611210093
-2.2351741790771484e-09,223,0.015343178765033372,200.0,298.0,354.12,1.4375968761742115,10,0.0023591175024762377,0.1599853515625,102400,0.0537455602385438,15.9687180519104,375.0,-0.001533396088416339
4.097819328308106e-09,224,0.014824072463670745,197.5,300.0,364.31,1.434873217344284,11,0.0024983458474935106,0.1513671875,112640,0.051713823092145686,15.968718004226684,375.0,-0.0013455895310471532
-1.7136335372924803e-08,226,0.015802883228752763,200.0,311.25,376.35,1.4235285006463527,12,0.0022630908329858814,0.1372314453125,122880,0.05380283491394398,15.968717753887177,400.0,-0.0013274792650918243
1.1175870895385742e-08,227,0.015241178224096074,175.0,279.75,371.25,1.4473771169781684,13,0.0023309431970460538,0.144970703125,133120,0.05503020989930858,15.96871783733368,350.0,-0.0011289331436273643
2.123415470123291e-08,229,0.015854362316895278,175.0,277.75,368.92,1.4762312181293964,14,0.002548265947444861,0.1699951171875,143360,0.05592972533462061,15.96871793270111,350.0,-0.0011225100904994178
-1.3783574104309083e-08,230,0.016438701859442517,175.0,281.0,366.66,1.5293730087578297,15,0.0027882767154778776,0.174560546875,153600,0.05663665367089352,15.96871801018715,352.5000000000002,-0.0008071998297964455
-2.2351741790771484e-08,231,0.012692095896636602,150.0,283.0,363.94,1.6452825091779233,16,0.003562949075148936,0.2287353515625,163840,0.056540736281485794,15.968717908859253,375.0,-0.0017314376716967672
2.6077032089233397e-09,232,0.013165828616183716,147.5,289.5,368.37,1.6398733526468277,17,0.0028801208004779256,0.1923095703125,174080,0.051415989019707356,15.968717801570893,525.0,-0.0012053135716996622
