advantage_norm,value_loss,grad_norm,PMM:episode_rewards,P09:episode_rewards,policy_entropy,fps,clip_fraction,epoch_idx,P01:episode_rewards,approx_kl_divergence,frames,explained_variance,episode_length,policy_loss
15.968717962503433,163286295.3199232,271594573.2841368,168.9655172413793,155.0,0.07297195357898222,289,0.1116943359375,1,150.0,105410.17075831087,10240,-0.6431815788149834,329.7241379310345,0.02541531909655532
15.968717414140702,0.023238261623191647,0.2542524060046265,159.4262295081967,150.0,0.12542847734048337,271,0.0155029296875,2,150.0,0.0048891877532961205,20480,-7.450580596923829e-10,329.21311475409834,0.0005654161290294723
15.968717950582505,0.012394690705696121,0.11289957981644216,161.41304347826087,175.0,0.36855412847362456,270,0.061181640625,3,150.0,0.006120438250331972,30720,-2.6077032089233397e-09,332.0108695652174,0.0025589159544324503
15.968717676401138,0.011438142763836368,0.06560554879721256,165.0,202.50000000000023,0.7529071174561978,270,0.0801025390625,4,150.0,0.0030415844765684596,40960,2.5331974029541015e-08,338.72,0.0004888364484941122
15.968717747926712,0.0108561698536505,0.03723790240095635,180.5,250.0,0.7537585984915495,270,0.0817626953125,5,150.0,0.0022764528110428726,51200,2.6077032089233397e-09,345.71,0.00015870574716245756
15.968717753887177,0.010555164080506075,0.029609852535816994,180.5,250.0,0.7181556172668934,271,0.0774658203125,6,125.0,0.0015708109695992789,61440,-9.313225746154785e-09,352.4,-0.0003002761772222584
15.96871783733368,0.010194920605135849,0.028628522418467257,173.0,225.0,0.6593509398400783,273,0.0523193359375,7,125.0,0.0009741090353152515,71680,2.9802322387695314e-09,351.46,-0.00015211662939691452
15.968717724084854,0.01005675635751686,0.027970689719127972,169.0,200.0,0.7030993901193142,274,0.0663818359375,8,125.0,0.001633419455697549,81920,-1.1548399925231934e-08,355.32,-0.0002493911171768559
15.96871777176857,0.011636585305313928,0.033846552944888295,162.5,200.0,0.8804970692843199,275,0.0944091796875,9,125.0,0.001989018465224035,92160,-8.195638656616212e-09,353.81,-0.0003581694312742911
15.968717616796493,0.013020162083557807,0.03044399338245731,172.5,227.5000000000002,0.8417702071368695,274,0.0974853515625,10,125.0,0.0026859196248494753,102400,-1.080334186553955e-08,354.67,-0.00039027212515065914
15.968717747926712,0.011791382084629732,0.026445465290396673,177.5,250.0,0.6911995008587837,275,0.0733642578125,11,150.0,0.0013893049377600164,112640,-7.82310962677002e-09,351.15,-0.0006411370046407683
15.96871737241745,0.01408225907543965,0.03502086914625831,191.75,275.0,0.794823519513011,275,0.0923095703125,12,150.0,0.0024992308752075586,122880,1.6391277313232423e-08,350.22,7.187848750618286e-05
15.968717747926712,0.011966564314207062,0.02441392065651009,194.5,275.0,0.574837452545762,276,0.0522216796875,13,150.0,0.0009123844854457275,133120,-9.313225746154785e-09,350.23,-0.00045973199303261936
15.968717914819717,0.013080500998330535,0.029327669433468574,200.5,275.0,0.6186264097690582,276,0.0531005859375,14,150.0,0.001074755598611432,143360,5.960464477539063e-09,348.48,-0.00018943353570648468
15.968717849254608,0.014159616507822648,0.028199697567118986,204.0,275.0,0.6669639509171248,278,0.0672119140625,15,150.0,0.0013957593628134645,153600,8.568167686462402e-09,346.65,-0.0008430978530668653
15.968717873096466,0.012303322077787015,0.026583526843139353,194.0,275.0,0.6440717127174139,278,0.0608154296875,16,150.0,0.001221904411143271,163840,-4.097819328308106e-09,341.86,-0.00044065029032935854
15.968717896938324,0.011956599894438114,0.025151093348993393,197.75,275.0,0.6267683539539576,277,0.054052734375,17,150.0,0.0012011892426087912,174080,3.3527612686157227e-09,347.23,-0.0007572987040475709
15.96871770620346,0.013099026637064526,0.026508833339456354,196.5,250.0,0.6128653269261122,277,0.0517578125,18,150.0,0.001121279157584354,184320,-1.0430812835693359e-08,353.18,-0.0006287097585300216
15.96871793270111,0.012563044400303624,0.023586162214050986,195.75,250.0,0.5731637388467788,278,0.052294921875,19,150.0,0.0010604824403998236,194560,-3.054738044738769e-08,353.99,-0.0007057426326355198
15.968717873096466,0.013146148424129932,0.028924587282249104,202.0,275.0,0.6207253601402044,278,0.0606201171875,20,150.0,0.0014257752465113072,204800,6.332993507385254e-09,354.52,-8.121873142954427e-05
15.968717819452285,0.013765982509357854,0.025043051176784504,210.25,275.0,0.5675446409732103,278,0.051025390625,21,150.0,0.0007511039989594792,215040,-4.470348358154297e-09,352.57,-0.0004351756262622075
15.968717873096466,0.013891364440496545,0.028860956775431525,217.25,275.0,0.6355051286518574,278,0.0656982421875,22,150.0,0.0015808194123962949,225280,4.470348358154297e-09,345.16,-0.00025094352531596087
15.968717974424361,0.017438711319118737,0.03944099881598852,229.25,300.0,0.77124381698668,278,0.081591796875,23,150.0,0.0015775543631320944,235520,-8.568167686462402e-09,339.89,-0.0001377044685796136
15.968717944622039,0.014715877656999509,0.04384536102636767,231.75,302.5000000000002,1.028078632056713,278,0.1134521484375,24,150.0,0.0025425191208938713,245760,-2.905726432800293e-08,338.4,-0.0007687225894187577
15.96871783733368,0.01385992555588018,0.04172111566102462,248.75,350.0,1.0374634101986886,278,0.1102294921875,25,150.0,0.0024140344250724866,256000,-1.899898052215576e-08,346.66,-0.0005079268539702753
15.968717610836029,0.013178398217132781,0.040113402943899104,244.75,352.5000000000002,0.9964820757508278,279,0.105712890625,26,125.0,0.0020349109392668653,266240,-6.7055225372314455e-09,356.05,-0.0003546395841112826
15.968717855215072,0.013053950958419592,0.044167921886979565,240.25,327.5000000000002,1.010742886736989,279,0.123974609375,27,125.0,0.0020730080975766897,276480,1.1548399925231934e-08,361.63,-0.0002905249850300606
