P01:episode_rewards,PMM:episode_rewards,avg_q_retraced,policy_gradient_bias_correction,grad_norm,policy_loss,q_loss,rollout_prob_std,P09:episode_rewards,policy_entropy,policy_gradient_loss,model_prob_std,epoch_idx,frames,advantage_norm,explained_variance,fps,avg_q_selected,episode_length
0.0,0.0,-0.0018704309926154867,0.0,0.039930873960995525,-5.2623805080050566e-05,0.0003363813188722512,0.010118055840333302,0.0,2.1834139982859293,-5.2623805080050566e-05,0.01011805593346556,1,7200,0.04007832705974579,-49.107104237874346,325,-0.0016133785955995941,0
0.0,0.0,-0.0026490263112161,0.0,0.2649713735496118,3.188804505308932e-05,0.0019822642031310047,0.020817380642984062,0.0,2.137294324239095,3.188804505308932e-05,0.020817381395803143,2,14400,0.022643158429612717,-541.5663834412893,199,-0.0015320108055978685,0
0.0,0.0,-0.0005130064489397531,0.0,0.005106745773655688,1.7798122235982798e-05,4.6245840106469886e-05,0.0025550476663435497,0.0,2.19631142616272,1.7798122235982798e-05,0.002555047613956655,3,21600,0.011441575037315488,-483.02069606781004,234,-0.0005293562772749283,0
0.0,0.0,-0.0009855323422016226,0.0,0.0037223724624204017,3.157571480869592e-05,2.896486012105015e-05,0.0034313867101445792,0.0,2.1967153708140055,3.157571480869592e-05,0.0034313866635784507,4,28800,0.02165551871682207,-93.87112216949463,261,-0.0011362834289078212,0
0.0,0.0,-0.0003281172096952408,0.0,0.001718603420161669,5.082463491135058e-06,1.2188445498395595e-05,0.0014965246421828244,0.0,2.197053583463033,5.082463491135058e-06,0.0014965246674061442,5,36000,0.009420744694458942,-284.758665561676,287,-0.0003098236355072004,0
0.0,0.0,-0.0004606812580429202,0.0,0.0015243758313291786,1.2014237457454631e-05,9.175721129395242e-06,0.0019671366879871737,0.0,2.197010135650635,1.2014237457454631e-05,0.001967136707389727,6,43200,0.01503273444250226,-99.29710683822631,308,-0.0004374889629919683,3324.3333333333335
0.0,0.0,-2.902270832692011e-05,0.0,0.0008933558773221099,2.993075914522099e-07,3.1402828312820928e-06,0.0006830542949804415,0.0,2.197177783648173,2.993075914522099e-07,0.0006830542949804415,7,50400,0.003420156395683686,-136.19518076578777,325,-7.712237475061556e-05,3324.3333333333335
0.0,0.0,-0.0002173876779428004,0.0,0.0012752522803902288,4.250986523857136e-06,2.868262606625649e-06,0.0008324031941204642,0.0,2.1971572240193686,4.250986523857136e-06,0.000832403182478932,8,57600,0.004283450753428042,-59.12139339447022,339,-0.00026137197860407466,3324.3333333333335
0.0,0.0,-0.00045719234961628296,0.0,0.0007728012508581002,9.26523804688865e-06,2.7290438917286035e-06,0.0012245085934409871,0.0,2.1971341451009114,9.26523804688865e-06,0.0012245085953812426,9,64800,0.009512797323986888,-35.59957458178202,351,-0.00043399531471853455,3324.3333333333335
0.0,0.0,-0.00012639312527274645,0.0,0.0005702128811494142,3.7289079112194184e-06,1.7901574115815796e-06,0.0008874318324766742,0.0,2.19716747601827,3.7289079112194184e-06,0.0008874318407227596,10,72000,0.006480275007197634,-157.63523645401,362,-0.00012855284752125347,3324.3333333333335
0.0,0.0,-0.0003015230541980903,0.0,0.0009095587062502562,4.201519873466471e-06,3.5124781826804488e-06,0.0015940776870896419,0.0,2.1970995664596558,4.201519873466471e-06,0.0015940777307453875,11,79200,0.013589255919214338,-41.03676196734111,371,-0.0003083756869879532,3324.3333333333335
0.0,0.0,-8.768033421802102e-05,0.0,0.0002828577603622835,5.640577176298696e-06,7.47587761414555e-07,0.0003996924089733511,0.0,2.1972097714742023,5.640577176298696e-06,0.0003996923983019466,12,86400,0.002984762234458079,-83.23334072430929,378,-7.843875674022154e-05,3324.25
0.0,0.0,-0.00019070328611026828,0.0,0.00040278866871289415,3.620222491917957e-06,5.728177508027935e-07,0.0004000336756386484,0.0,2.1972079992294313,3.620222491917957e-06,0.00040003366496724386,13,93600,0.0020511397005369266,-34.45208381017049,384,-0.00017205973769402288,3324.25
0.0,0.0,-0.0001849722192370488,0.0,0.0003833785847781841,3.74411155329805e-06,4.664953905830771e-07,0.0003524846057795609,0.0,2.197214436531067,3.74411155329805e-06,0.0003524845989886671,14,100800,0.0029188852427372088,-51.72602639993032,390,-0.00018693396523303818,3324.25
0.0,0.0,-0.00027437308065903686,0.0,0.000685728797390857,6.211812925963993e-06,1.9153886138193837e-06,0.0013119418421410956,0.0,2.197149952252706,6.211812925963993e-06,0.0013119418266190526,15,108000,0.011029192396866469,-82.1313973903656,396,-0.00027090853958119016,3324.25
0.0,0.0,-6.347078949602292e-05,0.0,0.0002950979755505478,1.1197712126431725e-07,6.39979002888443e-07,0.00044695775383540116,0.0,2.1972046454747516,1.1197712126431725e-07,0.00044695772497410267,16,115200,0.0036439713672734796,-380.74056005477905,401,-6.0337629039016366e-05,3324.25
0.0,0.0,-0.00018189950733582037,-1.976847619920995e-08,0.0005110461554651451,6.295623006338694e-06,1.5194168918670792e-06,0.0019527565777262062,0.0,2.197168604665332,6.31539148001153e-06,0.0010973789129223276,17,122400,0.009256830862787967,-39.42386336561233,401,-0.00018347713036713945,3324.277777777778
0.0,0.0,-7.002262286419941e-06,3.818781690613701e-08,0.00021107284407333025,-6.993944450221785e-07,4.2933386276155533e-07,0.005573055637447954,0.0,2.1972119570156887,-7.375822544597222e-07,0.000493814623980874,18,129600,0.004281806829631841,-32.27865119077541,395,-3.838960606736888e-06,3324.277777777778
