policy_entropy,episode_length,PMM:episode_rewards,value_loss,epoch_idx,frames,P09:episode_rewards,policy_loss,explained_variance,grad_norm,advantage_norm,P01:episode_rewards,fps
1.2053008974343538,178.6153846153846,1.358974358974359,0.5186139177506993,1,8000,3.0,0.056374422937296914,-2.7944411754608156,12.436632508178079,4.160045006275177,0.0,700
1.3732422304153442,175.0222222222222,1.2333333333333334,0.013476112462908531,2,16000,3.0,0.00295550266164355,-0.03344015836715698,0.21563675046060254,1.1727152647078036,0.0,675
1.3780203354358673,184.55,1.41,0.01601549083919963,3,24000,3.1000000000000085,1.0463077633175999e-05,-0.02075160264968872,0.1967016136350285,1.353551864027977,0.0,672
1.3820518124103547,184.91,1.45,0.013674531849428604,4,32000,3.0,0.0030155287618981673,-0.05407591462135315,0.20145066798106648,1.1807172349095345,0.0,666
1.3814672899246216,168.52,1.06,0.01194320123291618,5,40000,2.0,0.004101569168851711,-0.17723502695560456,0.23645857690915775,1.019030639603734,0.0,664
1.378711656332016,174.78,1.2,0.015135816182337294,6,48000,3.0,0.0019082037516636773,-0.004914665818214417,0.21993201644885338,1.3322659638524055,0.0,665
1.380440217256546,185.38,1.48,0.012471914251509588,7,56000,3.0,0.0001439267079695128,-0.0120845365524292,0.22059764807434093,1.129859364181757,0.0,664
1.3815413427352905,177.68,1.29,0.011662129795404326,8,64000,3.0,0.00039697237691143527,-0.005998512506484985,0.19867351169281516,1.1191882361471652,0.0,664
1.3722779321670533,169.04,1.08,0.01061038587409712,9,72000,3.0,0.0009703402681043371,-0.007320072650909424,0.21282796940172005,1.066144868656993,0.0,661
1.3572302287817002,180.04,1.41,0.05404327973126783,10,80000,3.0,-0.004291146714240313,0.07184570968151092,0.8007170164706864,1.4888863900303841,0.0,661
1.367936749458313,183.51,1.52,0.012367737655877136,11,88000,3.0,0.0025170925835845993,0.29905687034130096,0.4290981238968065,1.2208766515552998,0.0,661
1.3373111075162887,181.99,1.42,0.12115641288924962,12,96000,4.0,0.0031224470255529014,0.4405171728134155,2.1034598552927606,1.8232352149486541,0.0,661
1.3607321989536285,189.97,1.6,0.022611305734608324,13,104000,4.0,-0.0037127626065648657,0.5381896179914475,0.6880817250274983,1.632156332731247,0.0,663
1.3801850223541259,194.83,1.75,0.014558566199266352,14,112000,4.0,-0.005948903057142161,0.4889636242389679,0.6275479247900492,1.3609908050298691,0.0,663
1.3738620114326476,181.68,1.37,0.01037135114573175,15,120000,4.0,-0.0027013582980725914,0.6276782327890396,0.3659005072746792,1.1770220538973808,0.0,662
1.3719543302059174,177.99,1.23,0.011958478323649616,16,128000,3.0,-0.00182486205274472,0.6948497956991195,0.4403037468842653,1.2472046799957752,0.0,661
1.364075062274933,185.98,1.47,0.014377530036726966,17,136000,4.0,-0.002011445234384155,0.7244894057512283,0.5120683010718518,1.427573034465313,0.0,662
1.3727734184265137,189.32,1.57,0.01218492403277196,18,144000,4.0,-0.003236436853185296,0.7620079803466797,0.47168582644893087,1.2364102938771249,0.0,662
1.3735535061359405,189.42,1.59,0.01004519905662164,19,152000,4.1000000000000085,-0.0009152038907632231,0.766750100851059,0.3701630513337346,1.1570581179857253,0.0,662
1.3519950735569,186.23,1.54,0.009887488737003878,20,160000,4.0,-0.0040090098585642405,0.8768507272005082,0.42802570142821067,1.1929479202628135,0.0,663
1.3548809337615966,181.74,1.41,0.010448210109607316,21,168000,4.0,-0.004422334428236354,0.8248504149913788,0.36585645485218893,1.2104370453953743,0.0,662
1.3345446252822877,195.16,1.82,0.0074227802513632925,22,176000,6.0,-0.00313420710794162,0.9117812567949295,0.35029800924138216,1.0397734534740448,0.0,663
1.3261336743831635,192.22,1.72,0.008946651237783954,23,184000,5.0,-0.001593634252785705,0.9039653092622757,0.3841335515469189,1.0958651840686797,0.0,664
1.3250613486766816,192.53,1.72,0.006901710873935371,24,192000,5.0,-0.0016591827446245588,0.9029680091142654,0.30831269630839797,0.9734267956018448,0.0,664
1.324394165277481,200.08,1.96,0.006943220691755414,25,200000,5.1000000000000085,-0.0015090418895124457,0.9326506674289703,0.3424389070398924,0.9974127197265625,0.0,665
1.3354515480995177,200.85,2.02,0.003949756167130545,26,208000,6.1000000000000085,-0.0015693157952046022,0.9568853592872619,0.23552262782048494,0.7266697058081627,0.0,666
1.3547663950920106,206.55,2.2,0.005542927117203362,27,216000,9.0,0.00042673286397985064,0.9398448497056962,0.25436608600162763,0.8516257277131081,0.0,666
1.3379796993732453,200.06,1.99,0.00538518788816873,28,224000,5.0,-0.0036132863454986365,0.9442599266767502,0.29983062841367586,0.8589679509401321,0.0,667
1.3552686560153961,201.41,2.0,0.005554120349115692,29,232000,5.0,0.0004827878227661131,0.9365176773071289,0.2556637063667808,0.863136245906353,0.0,667
1.3590349400043487,211.93,2.22,0.008538603362976573,30,240000,6.0,-0.0022598715525236914,0.9111016666889191,0.29646008610877533,1.05691606849432,0.0,668
1.3522699189186096,217.02,2.34,0.003927816642972175,31,248000,6.0,0.0008921386353176786,0.956422529220581,0.2001535651119908,0.7067741394042969,0.0,668
1.3526816880702972,206.19,2.03,0.0038280724646756427,32,256000,5.0,-0.002475099448056426,0.9644132989645005,0.23094989869645768,0.7022575637698174,0.0,668
1.3402669739723205,208.7,2.07,0.003421873820188921,33,264000,5.0,-0.0017055909777991473,0.9691899967193603,0.19397315224436706,0.6562339496612549,0.0,669
1.3530886578559875,201.36,1.89,0.004090383719303645,34,272000,5.0,-0.0019330145907588304,0.9571775728464127,0.21461004260910813,0.7076406732201577,0.0,669
