clip_fraction,P09:episode_rewards,epoch_idx,advantage_norm,frames,policy_entropy,approx_kl_divergence,fps,policy_loss,grad_norm,value_loss,explained_variance,episode_length,PMM:episode_rewards,P01:episode_rewards
0.2994384765625,242.5,1,15.968716883659363,10240,0.28019847714691287,8855554.38975187,591,0.07200374369417659,955175423.0034313,1075941082.008339,-0.2005197513848543,349.875,177.08333333333334,125.0
0.24140625,255.00000000000006,2,15.96871537566185,20480,1.2317535646259785,0.0056546783759131355,555,0.0011374777735909448,0.08683347532262466,0.008547056040765711,-3.7252902984619143e-10,386.83673469387753,179.08163265306123,125.0
0.2025390625,250.0,3,15.968717622756959,30720,1.3474798373878003,0.003375102743007119,573,-0.0009979146536352346,0.08586313869021987,0.009033347944568958,1.9744038581848144e-08,380.2435897435897,168.5897435897436,125.0
0.1649169921875,250.0,4,15.968717801570893,40960,1.2646730110049247,0.003389574806396922,555,-0.001576029994248529,0.05974328693184977,0.010805795257329009,1.1175870895385742e-08,382.47,172.25,122.5
0.1343994140625,275.0,5,15.968717712163926,51200,1.1633515410125255,0.0028756566609104083,554,-0.0008865476833307184,0.05935186948593044,0.011838123254710809,3.7252902984619143e-10,384.18,182.25,122.5
0.2142578125,300.0,6,15.968717861175538,61440,1.2723683044314384,0.0040825586683581605,553,-0.001353383109017159,0.050190763246585245,0.01309160608361708,5.215406417846679e-09,376.45,200.0,125.0
0.224169921875,300.0,7,15.968717873096466,71680,1.4574066877365113,0.0034135300343677956,551,-0.0013403073986410162,0.05528018482777279,0.013084127135880409,3.3527612686157227e-09,376.04,218.5,125.0
0.1838134765625,375.0,8,15.968717753887177,81920,1.5214804485440254,0.0030100187084599384,550,-0.0015009615508461138,0.05193888592396092,0.013955419376725332,-2.0489096641540527e-08,367.45,242.25,125.0
0.243798828125,375.0,9,15.968717920780183,92160,1.5574277110397816,0.003682528484819159,550,-0.0014821468048467068,0.05953878676083067,0.014081585228268523,-2.570450305938721e-08,360.94,245.0,150.0
0.20380859375,352.5000000000002,10,15.968717676401138,102400,1.6322471849620341,0.00264622163324475,551,-0.0012129856429965002,0.05570174137536601,0.013330255248001776,-1.862645149230957e-08,348.41,239.75,147.5
0.1639892578125,350.0,11,15.968717777729035,112640,1.6085431836545467,0.002553646595936243,550,-0.0009673291533545125,0.05503283927661769,0.014207696209632558,2.2351741790771484e-09,347.84,242.75,125.0
0.254833984375,377.5000000000002,12,15.968717914819717,122880,1.548377638310194,0.0032500847263975175,547,-0.00217411345038272,0.059197381299909736,0.013491063224500976,-2.384185791015625e-08,347.05,249.25,125.0
0.1811767578125,377.5000000000002,13,15.96871782541275,133120,1.532838549464941,0.002506074327004626,546,-0.001412536529096542,0.05521263087778759,0.013897050849664083,-1.862645149230957e-08,341.58,244.25,125.0
0.1987548828125,352.5000000000002,14,15.96871789097786,143360,1.5649192579090596,0.0030770808613397095,545,-0.0011370724838343448,0.05880966309359609,0.01417993020513677,-2.0116567611694337e-08,344.92,246.25,125.0
0.2583740234375,325.0,15,15.968717777729035,153600,1.6763532496988773,0.0038263630163726248,544,-0.001677394767466467,0.05845566437950439,0.012858857738319785,-7.82310962677002e-09,342.24,236.5,122.5
0.2576171875,385.00000000000085,16,15.968717789649963,163840,1.7249050855636596,0.0038923351438825194,544,-0.0012160726335423532,0.05795605381155816,0.012256982526741922,-2.9802322387695314e-09,350.69,252.5,125.0
0.182958984375,332.5000000000006,17,15.968717610836029,174080,1.7510070316493511,0.0026774226495717814,544,-0.0010116485253092832,0.05118475116214026,0.00868533773409581,1.080334186553955e-08,340.79,216.0,50.0
0.2609375,407.5000000000006,18,15.968717485666275,184320,1.6987098336219788,0.003680042896166924,545,-0.0018874709741794505,0.05491101257555745,0.008379831527918213,-8.568167686462402e-09,337.67,194.0,47.50000000000001
0.221240234375,452.50000000000017,19,15.968717694282532,194560,1.6722554020583629,0.003512404194884766,545,-0.0014896184307872317,0.05338407804224006,0.011446010337385815,-2.6822090148925782e-08,339.59,185.5,25.0
0.2421630859375,530.0000000000005,20,15.968717569112778,204800,1.705069487541914,0.003192157538228457,546,-0.0013882306724553929,0.054463758102367955,0.009893233109937682,1.3411045074462891e-08,341.84,208.5,50.0
0.2314697265625,552.5000000000002,21,15.968717712163926,215040,1.6483426108956336,0.0033934436324273066,544,-0.0017199621357576688,0.053373837408310885,0.010143333458108828,1.862645149230957e-08,344.47,221.75,25.0
0.22861328125,500.0,22,15.968716740608215,225280,1.546860533952713,0.0033973392527741455,544,-0.0009836168654146604,0.048950125987369454,0.005931150630675575,-2.5331974029541015e-08,333.02,184.0,25.0
0.211181640625,252.50000000000023,23,15.968716740608215,235520,1.4745334908366203,0.002735871717345617,545,-0.0008349050220203935,0.04813533419730652,0.0056216709625914515,-7.078051567077636e-09,326.41,137.0,25.0
0.292333984375,175.0,24,15.968702709674835,245760,1.5332016617059707,0.00397706612124864,544,-0.0011773730515415083,0.04786592365860303,0.0036683252630268725,-1.1175870895385742e-09,312.56,84.75,0.0
0.2087646484375,152.50000000000023,25,15.96871621608734,256000,1.4704548060894012,0.00362348064784328,545,-0.0011258454869675916,0.04236391001045952,0.005400338952108541,4.470348358154297e-09,315.41,80.0,0.0
0.30478515625,150.0,26,15.968716651201248,266240,1.5824646361172199,0.004352552356408523,545,-0.001954753017071198,0.04762941067236186,0.005406565545308694,-2.2351741790771484e-09,312.28,73.75,22.500000000000007
