clip_fraction,episode_length,P09:episode_rewards,fps,value_loss,P01:episode_rewards,PMM:episode_rewards,frames,approx_kl_divergence,policy_loss,advantage_norm,grad_norm,epoch_idx,policy_entropy,explained_variance
0.307275390625,341.3703703703704,385.00000000000057,166,22.411483294330537,40.0,185.1851851851852,10240,0.13412875651893091,0.012981689471416757,15.968719244003296,178.8999244587841,1,1.677296940749511,-0.04131163582205773
0.1578857421875,349.2,505.00000000000006,163,0.059771228372119366,50.0,223.63636363636363,20480,0.002236565269288349,-0.0011589413887122646,15.968718981742859,1.1065063291710577,2,1.6721988297998904,-1.1175870895385742e-08
0.1266357421875,346.86516853932585,455.0000000000001,172,0.033128830650821325,50.0,226.68539325842696,30720,0.0021063993821655914,-0.0013872507719497663,15.968718355894088,0.6413594934449118,3,1.71380735039711,-3.725290298461914e-09
0.13681640625,349.79,477.5000000000002,176,0.02203104768123012,72.50000000000001,235.0,40960,0.0019507798971858392,-0.0019380521327548195,15.968718194961548,0.24055123417823374,4,1.7387809507548808,-1.6391277313232423e-08
0.0752685546875,344.69,427.5000000000002,178,0.020997884997632353,50.0,217.75,51200,0.0012379296846518173,-0.001346166758958134,15.968718349933624,0.15488651258886116,5,1.7578968413174152,-2.6077032089233397e-09
0.025390625,338.56,355.00000000000045,180,0.01871544811874628,25.0,184.25,61440,0.0005571486939054182,-0.0010011007399953087,15.968717938661575,0.12037826209747551,6,1.7817609004676342,-1.862645149230957e-09
0.00087890625,331.79,450.0,181,0.02132401113049127,25.0,180.25,71680,0.0003000476130324614,-0.0008639432719064644,15.968718075752259,0.0737164756237666,7,1.7810055926442145,-3.054738044738769e-08
0.0016357421875,331.96,427.5000000000002,183,0.022124618309317157,25.0,182.0,81920,0.00026386723758449194,-0.0007691610164329177,15.96871829032898,0.07677154871553289,8,1.7800213359296322,-1.1175870895385742e-08
0.00107421875,338.56,500.0,183,0.021649770910153167,25.0,199.25,92160,0.00032762254563465374,-0.0009674335931777022,15.968718075752259,0.0766548000864742,9,1.782945102453232,8.568167686462402e-09
0.0,345.8,525.0,185,0.022447280818596482,25.0,213.75,102400,0.0001873017990781989,-0.0006821411225246266,15.968718254566193,0.06980420626343088,10,1.7653534546494485,1.862645149230957e-09
0.002099609375,342.09,525.0,185,0.02360318845603615,25.0,204.0,112640,0.000246808524970632,-0.0010510773896385216,15.968718236684799,0.06578553047793062,11,1.7567393772304059,-1.30385160446167e-08
0.002685546875,342.33,455.0000000000004,185,0.023967636947054415,47.50000000000001,208.75,122880,0.00019163455343402803,-0.0006319374228041852,15.96871838569641,0.06957568518386703,12,1.767960511147976,1.4901161193847657e-09
0.0,339.67,452.50000000000017,186,0.02327807317196857,47.50000000000001,203.0,133120,0.0001816231585724637,-0.0007203742970887106,15.96871834397316,0.06486686709534677,13,1.7765473514795302,-5.587935447692871e-09
0.0,346.06,477.5000000000002,186,0.025436905649257824,47.50000000000001,218.25,143360,9.595228790360011e-05,-0.0003346213885379257,15.968718421459197,0.060748864699688876,14,1.7698527991771698,-2.0861625671386717e-08
0.0,347.82,480.00000000000045,187,0.023670217586914077,47.50000000000001,217.25,153600,0.00013884104287029687,-0.0005555429965170333,15.968718177080154,0.06399367144919647,15,1.7538111612200737,-4.8428773880004884e-09
0.0,350.37,407.5000000000006,187,0.022394109127344564,50.0,221.75,163840,0.0001961001937281992,-0.0008023575988772791,15.968718242645263,0.06560095077541396,16,1.7526383496820928,-3.3527612686157227e-09
0.0,347.05,400.0,188,0.02265719870920293,50.0,209.75,174080,0.00024201797687837257,-0.0008055220125243068,15.968718165159226,0.06593675692864505,17,1.7792449787259101,-1.862645149230957e-09
0.0,338.23,377.5000000000002,188,0.017803668428678067,50.0,190.5,184320,9.70424688116367e-05,-0.0004236714525177376,15.968717908859253,0.056122589432772554,18,1.7806501753628254,1.4901161193847657e-09
0.0,328.48,402.5000000000002,188,0.01583826674032025,25.0,164.25,194560,0.00013805031302212002,-0.000620081385022786,15.968717902898788,0.05663425345406561,19,1.7773061886429786,-4.246830940246582e-08
0.0,321.4,287.5000000000011,187,0.01732043558586156,25.0,144.5,204800,0.00011589963562030903,-0.00048448941961396483,15.968717974424361,0.053926699842998915,20,1.7765403859317304,-1.9371509552001954e-08
0.0,325.16,430.0000000000004,187,0.020541038853116332,22.500000000000007,162.0,215040,0.00011774252787368766,-0.0004467372320505092,15.968718093633651,0.056726976099339785,21,1.7807440385222435,5.215406417846679e-09
0.0,334.35,345.0000000000017,187,0.022007796482648702,25.0,174.75,225280,8.676703066967661e-05,-0.0003901284164385288,15.968718349933624,0.05673573448357466,22,1.7804758109152317,-3.4645199775695803e-08
0.0,337.99,357.5000000000007,187,0.02366552434687037,50.0,189.75,235520,9.261795313939559e-05,-0.00048480883669981266,15.968718218803406,0.05425556528277962,23,1.7755839638411999,-9.685754776000977e-09
0.0,341.44,327.5000000000002,188,0.021697518043220045,50.0,190.0,245760,0.0001155954613210497,-0.00045406766257656274,15.968718206882476,0.05734386467302338,24,1.7611558102071285,-7.078051567077636e-09
0.0,341.22,402.5000000000002,188,0.021616226143669336,50.0,192.0,256000,0.00013338484883291813,-0.0005547022052269313,15.968718194961548,0.0545550957207005,25,1.763825600594282,-3.5390257835388184e-08
0.0,336.82,400.0,188,0.018250855902442707,25.0,181.25,266240,0.00017105124962277785,-0.0006877220577734989,15.968718028068542,0.05746560641826402,26,1.7801471583545208,4.8428773880004884e-09
0.0,336.94,430.0000000000004,189,0.02279966874339152,25.0,186.25,276480,0.00013516418540930885,-0.000567487080115825,15.968718034029006,0.056752963926436716,27,1.78113536760211,-3.688037395477295e-08
0.0,336.63,400.0,189,0.023486674122978002,25.0,188.5,286720,0.00010235541561200989,-0.00037701625406043603,15.968718147277832,0.05463283161501921,28,1.7839782491326333,-2.2351741790771484e-08
0.0,339.78,375.0,189,0.023452467401511967,47.50000000000001,191.5,296960,0.00012036193688089725,-0.0005231761726463447,15.968718200922012,0.053855216288651586,29,1.7803557507693768,-2.570450305938721e-08
0.0,342.74,375.0,189,0.02487022212590091,50.0,199.5,307200,0.00012676953545778246,-0.0006490682586445473,15.968718308210374,0.053941912063366494,30,1.7797007828950882,-1.899898052215576e-08
0.0,343.5,327.5000000000002,189,0.021824780001770704,25.0,195.25,317440,0.00015046323922902617,-0.0005793711912701838,15.968718177080154,0.05762071653800858,31,1.7835956253111362,-3.7252902984619143e-10
0.0,341.64,405.00000000000045,189,0.022387868286750746,25.0,202.75,327680,0.00014549626174726883,-0.000644010259929928,15.968718314170838,0.056179726399297136,32,1.7853023998439312,-1.2293457984924316e-08
0.0,334.64,355.00000000000045,189,0.01695498130429769,25.0,179.0,337920,0.00016710049008068496,-0.00073688750344445,15.968717914819717,0.057113019230392026,33,1.7864850230515004,-2.0861625671386717e-08
