avg_q_retraced,PMM:episode_rewards,advantage_norm,avg_q_selected,explained_variance,frames,rollout_prob_std,model_prob_std,policy_entropy,policy_gradient_bias_correction,policy_gradient_loss,policy_loss,grad_norm,P09:episode_rewards,epoch_idx,episode_length,q_loss,P01:episode_rewards,fps
0.0010624080032963926,0.0,0.03276343668500582,0.0007828605938508796,-30.76964953740438,7200,0.012144702975638211,0.012144702680719396,2.17066513299942,0.0,0.00018804733227722654,0.00018804733227722654,0.07525726080295807,0.0,1,0,0.00019955426250817254,0.0,325
0.0027911509057351696,0.0,0.01697098136258622,0.0027956782175654854,-138.6985663731893,14400,0.007467606694748005,0.007467606946981202,2.189850846926371,0.0,-1.9209074146904943e-05,-1.9209074146904943e-05,0.057453816887014016,0.0,2,0,0.00011670973729754527,0.0,178
0.0023397658757554987,0.0,0.010015019696826737,0.0023054544619905454,-41.84487641652425,21600,0.0025134678347967566,0.002513467885243396,2.196886499722799,0.0,-5.3568883455549594e-05,-5.3568883455549594e-05,0.0032883477066196366,0.0,3,0,1.0285737804830811e-05,0.0,211
0.003039990330580622,0.0,0.024213377789904674,0.003064186576132973,-24.890705076853433,28800,0.0038070457405410705,0.0038070457347203048,2.196579360961914,0.0,-7.680261751374928e-05,-7.680261751374928e-05,0.0026814114743197817,0.0,4,0,1.714400177661446e-05,0.0,241
0.00191180461163943,0.0,0.010793595636884371,0.0018607284252842267,-37.4991839726766,36000,0.0017808301956392825,0.001780830182057495,2.1970207929611205,0.0,-3.606111815770419e-05,-3.606111815770419e-05,0.0010370886390800686,0.0,5,0,6.148472641598346e-06,0.0,268
0.0020829234990136078,0.0,0.017529580695554613,0.0020658738697723797,-19.75627794265747,43200,0.0026011025242041797,0.0026011025707703083,2.1968714634577435,0.0,-5.570224320005461e-05,-5.570224320005461e-05,0.0017288897136575959,0.0,6,3324.1666666666665,8.38885134347341e-06,0.0,290
0.001477467588847503,0.0,0.006717706006020308,0.0014548361223811904,-48.515939458211264,50400,0.001117491394203777,0.0011174913903232663,2.1971343755722046,0.0,-2.2688178717563308e-05,-2.2688178717563308e-05,0.0013283964214753413,0.0,7,3324.1666666666665,4.860672999029703e-06,0.0,308
0.0024827947355030725,0.0,0.005312107705200712,0.002530060293308149,-79.93820075988769,57600,0.0010470782620056222,0.001047078256184856,2.197175701459249,0.0,-6.513311727758264e-05,-6.513311727758264e-05,0.0011217456748918104,0.0,8,3324.1666666666665,6.039409004188201e-06,0.0,323
0.0014976312057115137,0.0,0.012132047830770413,0.001494147467504566,-22.7030650138855,64800,0.0017389143661906321,0.0017389143390270571,2.1970582246780395,0.0,-2.955004081665417e-05,-2.955004081665417e-05,0.000887857285299998,0.0,9,3324.1666666666665,4.5739793677057605e-06,0.0,334
0.001257366151548922,0.0,0.008786213320369522,0.0013142471259925514,-29.676379362742107,72000,0.001274551079647305,0.0012745510573343684,2.1971145629882813,0.0,-3.2451674034443086e-05,-3.2451674034443086e-05,0.0007221726987745713,0.0,10,3324.1666666666665,3.1363709259342918e-06,0.0,345
