frames,policy_entropy,approx_kl_divergence,P09:episode_rewards,P01:episode_rewards,advantage_norm,epoch_idx,policy_loss,PMM:episode_rewards,explained_variance,clip_fraction,fps,episode_length,value_loss,grad_norm
10240,1.500347552448511,0.00779592900762605,325.0,125.0,15.968719273805618,1,0.006881933886324987,225.96153846153845,0.0924262698739767,0.3576904296875,221,351.03846153846155,1.2849697584286333,33.08838462717334
20480,1.6677014768123626,0.003039723388383624,375.0,125.0,15.968719267845154,2,-0.0003954296582378447,231.140350877193,0.14094106294214725,0.1838623046875,221,356.2280701754386,0.5873921083286404,10.409634007198514
30720,1.7142947733402252,0.0019094958589736372,375.0,64.99999999999999,15.96871920824051,3,-0.002620121096333605,215.80459770114942,0.24258205033838748,0.1113037109375,229,346.82758620689657,0.29239394050091505,6.50001084133865
40960,1.7170734763145448,0.002239183914139526,375.0,75.0,15.968719333410263,4,-0.004313228357204935,227.0,0.5539532519876957,0.1440673828125,231,348.06,0.20699307331815361,4.524234955405879
51200,1.7372498147189617,0.0022184414458710096,377.5000000000002,75.0,15.968719363212585,5,-0.003908426073030569,237.0,0.6645048841834068,0.1401611328125,231,344.74,0.2067207563202828,5.003181794648742
61440,1.7219142757356167,0.0022951714225999537,477.5000000000002,100.0,15.96871938109398,6,-0.004546883441071259,261.5,0.7037117939442397,0.1420654296875,234,354.31,0.16731210444122552,4.397925511314254
71680,1.7192766860127449,0.002237781376743784,485.00000000000085,125.0,15.968719267845154,7,-0.005377746476005996,267.25,0.7239420287311077,0.1473876953125,236,362.55,0.15643055951222778,3.997802639312897
81920,1.7261359170079231,0.0021495576699638087,485.00000000000085,125.0,15.96871926188469,8,-0.005058845511302934,284.75,0.7127312436699867,0.145263671875,237,375.26,0.14088900461792947,2.7481083428341497
92160,1.7234397612512111,0.00161107327087422,475.0,125.0,15.968719136714935,9,-0.004555251928832149,275.25,0.792228089645505,0.0939208984375,238,379.2,0.12570272525772452,3.275670689270399
102400,1.720104392617941,0.0017727908868553992,552.5000000000002,125.0,15.968719190359115,10,-0.005589043640793534,296.0,0.837404191493988,0.1111328125,238,381.35,0.11202041090000421,2.8042895442040923
112640,1.7284521982073784,0.002113422432330777,525.0,150.0,15.968719321489335,11,-0.005474538075213786,299.75,0.8173099763691425,0.133349609375,238,386.32,0.11226156307384372,2.5279941814164517
122880,1.7261582002043725,0.0019346994742821234,527.5000000000002,150.0,15.968719148635865,12,-0.005849173538445029,312.0,0.7371987096965313,0.1171142578125,238,387.52,0.1730984941823408,3.2945733690050325
133120,1.7223209299147129,0.001945984931308277,575.0,175.0,15.968719279766082,13,-0.005451760061987443,334.5,0.7844226766377688,0.121484375,238,389.82,0.11883229601662607,2.3563536997568777
143360,1.7331231281161308,0.0019258936409644698,625.0,150.0,15.968719226121902,14,-0.005726712774776388,345.5,0.8152220260351897,0.1209716796875,238,393.61,0.12007875358685852,2.2442365496138676
153600,1.7399362534284593,0.00198521420975366,625.0,147.5,15.968719279766082,15,-0.0060417833260544285,335.25,0.7808177825063467,0.1256591796875,238,384.41,0.1286353118252009,2.2458424361794327
163840,1.7234475538134575,0.0019242086065108163,675.0,150.0,15.968719255924224,16,-0.005543196989310673,353.0,0.7730642631649971,0.12060546875,238,387.47,0.14335284410044552,2.491403352506576
174080,1.7159769378602505,0.0016167981186757199,600.0,150.0,15.968719351291657,17,-0.006259909144864651,348.5,0.8004597179591656,0.0962646484375,239,387.5,0.1493445876520127,2.434278423253501
184320,1.7190200559794904,0.0019317370760520958,600.0,175.0,15.968719136714935,18,-0.006289229818503372,348.25,0.8197223100811243,0.1148681640625,239,388.06,0.11261379548814147,2.040656918276189
194560,1.7222698710858821,0.0021225975607651925,625.0,175.0,15.968719285726547,19,-0.007393364520885371,355.5,0.8459459129720927,0.1396484375,239,396.23,0.11679055301938206,2.180147217254849
204800,1.7041105449199676,0.00205973973334638,625.0,175.0,15.968719190359115,20,-0.007725240812942502,364.0,0.8117795318365097,0.1330322265625,239,396.83,0.12035252691712231,2.1912600201509362
215040,1.6969481222331524,0.0023370255713647202,625.0,175.0,15.968719309568405,21,-0.007455264887357771,365.75,0.8568462781608105,0.1516357421875,239,400.6,0.10751672140322625,2.154722437450947
225280,1.7210812650620937,0.0019858213558339474,625.0,175.0,15.968719327449799,22,-0.007023756239505019,370.5,0.81310830488801,0.11796875,239,396.89,0.12337165297940374,1.9764460069092487
235520,1.7147684752941132,0.002402441877302703,625.0,175.0,15.968719285726547,23,-0.007506929991450306,386.75,0.8295443873852492,0.1640380859375,240,400.91,0.10671516159782186,1.9164534576724541
245760,1.7429534040391446,0.0016992771243510858,627.5000000000002,197.5,15.96871919631958,24,-0.007027117108737002,401.25,0.7764234382659196,0.10439453125,240,412.21,0.11861632626969368,1.9669895953593977
256000,1.7389224909245968,0.0017788852762353527,652.5000000000002,175.0,15.968719124794006,25,-0.007626380327019433,399.25,0.7510120511054993,0.1047119140625,240,417.11,0.13888216773048043,2.133515918419902
266240,1.7406535863876342,0.002028466576814729,677.5000000000002,200.0,15.968719321489335,26,-0.008553240332548739,403.5,0.75746177919209,0.1313232421875,240,420.1,0.12547202869318425,2.018558853741136
276480,1.7332139663398265,0.002023210697575714,677.5000000000002,200.0,15.968719255924224,27,-0.0077218148275278505,406.0,0.814787944033742,0.1237548828125,241,420.66,0.1276333339046687,2.230603676084381
286720,1.7087910525500773,0.0019731849073653484,677.5000000000002,200.0,15.96871936917305,28,-0.008314782221168571,400.5,0.859110577777028,0.1212890625,241,407.36,0.11016736926976592,1.987478822930425
