P09:episode_rewards,policy_loss,policy_entropy,value_loss,advantage_norm,explained_variance,episode_length,clip_fraction,fps,P01:episode_rewards,frames,approx_kl_divergence,grad_norm,epoch_idx,PMM:episode_rewards
320.0,0.042770433830764884,0.11484586289723757,218216121.6336964,15.968711632490159,-0.47656158208847044,559.875,0.19384765625,494,35.0,10240,644858.449403119,237988189.15750614,1,168.75
125.0,0.003788004545185686,0.8670206823269837,0.004074825980796959,15.968622767925263,-3.01748514175415e-08,473.3658536585366,0.3564208984375,408,0.0,20480,0.021723759848424184,0.14518236695114767,2,48.78048780487805
220.00000000000028,-0.00018552464825916104,1.339065109938383,0.006237935163198927,15.968714225292207,-7.450580596923829e-10,398.8051948051948,0.291455078125,446,0.0,30720,0.006320029469509336,0.057139075483853455,3,77.27272727272727
155.00000000000043,-0.0005111099970235955,1.5230477705597878,0.005445573172454488,15.9687160551548,9.685754776000977e-09,352.84,0.2666259765625,462,0.0,40960,0.004994871833582692,0.04601811458225898,4,73.25
200.0,-0.0009395556793606374,1.5288359224796295,0.004170636238944781,15.968709695339204,-1.3783574104309083e-08,309.37,0.2635009765625,468,0.0,51200,0.004065469947738621,0.04693659742230309,5,92.25
125.0,-0.0014810993721766862,1.600235278904438,0.0042586622200168735,15.96871389746666,1.862645149230957e-09,307.71,0.289208984375,477,0.0,61440,0.005736998423617479,0.04698739346356591,6,74.25
125.0,-0.0010862913899472916,1.6222562573850154,0.005307281243131001,15.968717008829117,-1.1175870895385742e-09,305.1,0.2951171875,480,0.0,71680,0.004854487066870661,0.04888806514824102,7,71.5
175.0,-0.0014088984942645765,1.5405667632818223,0.005488197116818583,15.968715554475784,3.725290298461914e-09,307.53,0.298974609375,488,0.0,81920,0.00407163870356726,0.049610115018091774,8,74.75
175.0,-0.0012424342763551976,1.6074370965361595,0.006343224225383892,15.968717610836029,4.8428773880004884e-09,309.48,0.2810791015625,493,0.0,92160,0.0046407860159092705,0.049919246407201454,9,80.25
200.0,-0.0017073225408239523,1.6201786041259765,0.006817648993092007,15.9687175989151,-4.8428773880004884e-09,313.12,0.2554931640625,495,0.0,102400,0.004189707883779192,0.04941020008864298,10,93.25
200.0,-0.0012127703696023673,1.5821148209273814,0.0059442610380529,15.968712639808654,2.2351741790771484e-09,313.29,0.236279296875,498,22.500000000000007,112640,0.0036150421335150893,0.04667008983140648,11,90.5
200.0,-0.0016620498638076242,1.5628832690417767,0.007717636817437779,15.968717634677887,4.097819328308106e-09,318.13,0.25244140625,502,25.0,122880,0.0034941116774234613,0.05021105441118416,12,107.0
225.0,-0.0015467917171918088,1.5056570172309875,0.008738413243554533,15.968717730045318,-3.725290298461914e-09,324.68,0.23642578125,504,25.0,133120,0.0035368559385233313,0.05207204275508902,13,118.0
227.5000000000002,-0.0012288387642911403,1.5345043055713177,0.007925977367062843,15.968717062473297,-7.450580596923828e-09,332.08,0.234814453125,506,25.0,143360,0.003923432676072025,0.0507962998450832,14,140.5
250.0,-0.0016605010994680924,1.5705545142292976,0.00925817589068174,15.968717610836029,-1.080334186553955e-08,332.71,0.2463623046875,509,25.0,153600,0.003510172471618489,0.054632321464556065,15,144.25
250.0,-0.0015754738087707665,1.5527807518839836,0.0064314237778489766,15.968717151880265,-3.166496753692627e-08,329.15,0.261669921875,509,25.0,163840,0.0034852674847002164,0.05233623750550487,16,133.25
227.5000000000002,-0.0011843853419122752,1.492546485364437,0.005466120111236705,15.968716621398926,1.080334186553955e-08,317.75,0.2380615234375,509,25.0,174080,0.003266217235102431,0.04950325403002793,17,110.25
200.0,-0.0009520284926111344,1.4611264653503895,0.005700089887440996,15.968712252378463,4.470348358154297e-09,311.02,0.1962158203125,510,25.0,184320,0.00347887272490226,0.04454129253049846,18,100.5
200.0,-0.0009070007399714086,1.6222997829318047,0.008179216996177274,15.968717616796493,1.080334186553955e-08,311.13,0.233740234375,512,25.0,194560,0.0037132236333775382,0.050169622590063453,19,103.0
250.0,-0.000694486778229475,1.6347804084420203,0.008825065849396196,15.968717509508133,3.3527612686157227e-09,323.39,0.2303466796875,512,25.0,204800,0.0032860662543271247,0.05284504724690595,20,119.75
250.0,-0.0011321997368213487,1.604136300086975,0.007830864297352491,15.968717330694199,-1.1175870895385742e-09,329.39,0.22021484375,512,25.0,215040,0.0033598583543835046,0.0479398067048866,21,138.0
250.0,-0.0012081783435860416,1.6360113143920898,0.006756490537554782,15.968713295459747,2.2351741790771484e-09,323.16,0.24296875,513,25.0,225280,0.003914453258767025,0.04873853804197358,22,131.75
450.0,-0.0013965289028419648,1.700121184438467,0.008630286365405481,15.968717694282532,2.6077032089233397e-09,322.02,0.2818115234375,514,25.0,235520,0.0035604521513278088,0.054510362452738416,23,149.0
275.0,-0.0006838230721768924,1.6744345478713512,0.006700511490134886,15.968717259168624,-1.0058283805847169e-08,319.12,0.2154052734375,516,25.0,245760,0.003305977234163038,0.04902559260847925,24,129.75
275.0,-0.001306540759105701,1.598855346441269,0.004485386510013889,15.968688070774078,8.568167686462402e-09,314.47,0.25849609375,517,0.0,256000,0.0039563403493161784,0.048447880203648166,25,120.5
175.0,-0.0008889254968380556,1.640447048842907,0.004667275540441551,15.96871063709259,-1.7881393432617187e-08,304.66,0.2560546875,516,0.0,266240,0.003321095401281582,0.04923339222004217,26,89.0
127.50000000000021,-0.0011841648592962883,1.6018464386463165,0.006092629940906136,15.968717074394226,-3.725290298461914e-09,300.02,0.2443359375,517,0.0,276480,0.00333375284047861,0.04961959920081697,27,69.25
