epoch_idx,frames,PMM:episode_rewards,fps,policy_loss,policy_entropy,value_loss,P01:episode_rewards,episode_length,grad_norm,P09:episode_rewards,clip_fraction,explained_variance,advantage_norm,approx_kl_divergence
1,10240,15.625,423,0.03368600281864929,0.18918834932032952,87489802.81328177,0.0,279.15625,109112978.8478514,0.0,0.2231689453125,-1.5700778994709252,15.968697440624236,246496.142090673
2,20480,6.944444444444445,349,0.005213854546013863,0.39462769953534005,0.015345445555169413,0.0,277.0138888888889,0.2695838858183822,0.0,0.33125,-9.685754776000977e-09,15.96837215423584,0.5191460282175513
3,30720,2.25,374,0.0003218859317712486,1.2294560469686986,0.001863131088053116,0.0,277.26,0.13692915119451612,0.0,0.335302734375,0.0,15.968586331605911,0.007811474717163947
4,40960,10.5,386,-0.00014563829390681348,1.503929352760315,0.0022624995631204403,0.0,282.11,0.04390344376884575,50.0,0.3629638671875,-9.313225746154785e-09,15.968605768680572,0.009185702166359989
5,51200,29.5,394,-0.0011886895190400537,1.6287871181964875,0.0036900677979474494,0.0,292.4,0.04462827354180862,75.0,0.389111328125,-3.3527612686157227e-09,15.968716698884965,0.006047437546931178
6,61440,72.5,399,-0.0008285656505904627,1.6954659514129162,0.007729912913509907,0.0,305.89,0.051046000555701077,152.50000000000023,0.276123046875,-6.332993507385254e-09,15.968716651201248,0.00409989333879821
7,71680,131.75,405,-0.0013340405250346521,1.6146566286683082,0.010769610791794549,0.0,326.89,0.05461285591369127,357.5000000000007,0.236474609375,-7.450580596923829e-10,15.968717741966248,0.0032853946999694015
8,81920,177.75,409,-0.0017828494474088075,1.5894115470349788,0.01165094309471897,25.0,340.55,0.05469092576267245,450.0,0.2357421875,-1.30385160446167e-08,15.968717801570893,0.003602476438913982
9,92160,237.25,410,-0.0013623015258417582,1.6242925621569158,0.012151550559792668,50.0,362.39,0.05331470647642202,550.0,0.2007568359375,-1.1920928955078126e-08,15.968718057870865,0.002888506850979411
10,102400,230.75,413,-0.0009335814884252613,1.6666852295398713,0.0118430418529897,50.0,360.48,0.053347056824085956,527.5000000000002,0.1903564453125,2.2351741790771484e-08,15.968717896938324,0.002847180417893469
11,112640,238.25,418,-0.0010279729769536062,1.6794078685343266,0.011740829130576457,50.0,359.77,0.0560159476694216,525.0,0.190234375,1.1175870895385742e-09,15.968717896938324,0.0025878764190338187
12,122880,245.75,422,-0.0016174680353287841,1.6416944690048694,0.01308122267073486,75.0,360.09,0.0553129118989739,502.5000000000002,0.23505859375,1.601874828338623e-08,15.968717902898788,0.00344858784412736
13,133120,256.75,426,-0.0016141697953571566,1.6326534539461135,0.015078756827278994,100.0,356.18,0.05686386125345557,500.0,0.1819091796875,-1.1920928955078126e-08,15.968717896938324,0.002637872555396825
14,143360,265.25,429,-0.0012562795709527563,1.666717042773962,0.013950637099696905,125.0,353.52,0.056970306359206205,477.5000000000002,0.21962890625,1.1920928955078126e-08,15.968717813491821,0.003021347032677113
15,153600,263.5,430,-0.001007433614358888,1.6998850233852862,0.013655512291006745,125.0,345.07,0.057845923533679434,502.5000000000002,0.18310546875,1.6391277313232423e-08,15.96871789097786,0.002469561627015082
16,163840,256.0,433,-0.0018936878797831014,1.6744352728128433,0.015159262530505657,125.0,346.76,0.059555989886386426,427.5000000000002,0.2316650390625,-1.1920928955078126e-08,15.96871789097786,0.0031594496242178137
17,174080,256.5,434,-0.0008891165540262591,1.6362288497388362,0.014405061313300393,125.0,349.85,0.05680340723719547,402.5000000000002,0.1878662109375,-1.7881393432617187e-08,15.968717801570893,0.0026429575621477854
18,184320,259.5,434,-0.0012060446704708738,1.700131246447563,0.013614326374954544,125.0,359.71,0.053944868239902376,400.0,0.18076171875,-2.1979212760925294e-08,15.968717926740647,0.002376605129190068
19,194560,273.5,436,-0.0013883577623346355,1.6767514109611512,0.014053928465000354,147.5,364.16,0.05395070439417814,425.0,0.2102783203125,-4.8428773880004884e-09,15.968717849254608,0.00308879413687464
20,204800,279.0,436,-0.002295235317433253,1.7093967996537685,0.012250193065119675,97.5,363.46,0.060252635122660124,600.0,0.2829833984375,-1.30385160446167e-08,15.968717676401138,0.0035977986841317033
