epoch_idx,frames,PMM:episode_rewards,P09:episode_rewards,policy_entropy,advantage_norm,approx_kl_divergence,P01:episode_rewards,clip_fraction,value_loss,policy_loss,episode_length,explained_variance,fps,grad_norm
18,184320,397.75,650.0,1.7296257674694062,15.968719267845154,0.0023892645994468033,175.0,0.150048828125,0.14759551091119646,-0.007819077084604942,396.36,0.7931932974606752,185,2.671910614357892
19,194560,410.75,650.0,1.727576994895935,15.968719118833542,0.0024645966585583835,200.0,0.160791015625,0.10556054085027426,-0.009667073281889316,407.04,0.8324969284236431,186,1.887138788370849
20,204800,417.0,677.5000000000002,1.7218132965266704,15.968719172477723,0.0025185291013716314,200.0,0.1660400390625,0.102111462270841,-0.008690212318470003,416.8,0.87216533459723,187,2.2911472118731204
21,215040,420.25,677.5000000000002,1.7254579082131385,15.968719184398651,0.0021924300985122817,200.0,0.1406982421875,0.13129890786949544,-0.007439942580094794,427.81,0.8425620727241039,187,2.5739188695318296
22,225280,420.0,675.0,1.7192921839654445,15.96871950030327,0.0025059590982894433,200.0,0.158447265625,0.13991959257982672,-0.009453282486356329,429.81,0.8184293545782566,187,2.1165139237585375
23,235520,415.0,675.0,1.716674341261387,15.968719315528869,0.0023213689231059787,200.0,0.1390625,0.1438861361704767,-0.008951755014641094,422.17,0.8099535938352347,187,2.4797245401517665
24,245760,407.5,627.5000000000002,1.7241949133574963,15.968719220161438,0.00219834566721633,200.0,0.138037109375,0.13355104471556842,-0.008848652742381091,421.29,0.852166547998786,187,1.9839974553979984
25,256000,395.0,650.0,1.6964934341609479,15.968719226121902,0.0022354677538945567,200.0,0.14423828125,0.15729277180507778,-0.00950738827305031,409.62,0.8437068693339824,187,2.349588654826632
26,266240,404.25,650.0,1.7084232039749623,15.96871920824051,0.002360740414747259,225.0,0.1466796875,0.14759668409824372,-0.008864856134459842,415.97,0.8697537273168564,188,2.3867629089437417
27,276480,410.0,652.5000000000002,1.7240356296300887,15.968719279766082,0.002057274408639672,225.0,0.1258544921875,0.11513865585438907,-0.009579092053172644,421.03,0.908129983022809,188,2.013500514721903
28,286720,414.25,675.0,1.7165364541113377,15.968719178438187,0.00209812295297555,225.0,0.132666015625,0.14594017534982412,-0.009384276534638048,416.59,0.8737649947404862,188,2.1856360625039764
29,296960,427.0,677.5000000000002,1.731340229511261,15.968719232082368,0.0017018718097349624,222.5,0.100927734375,0.11532525136135519,-0.008525000864028697,429.05,0.8932053536176682,188,2.2380802078081596
30,307200,431.5,725.0,1.7357728637754917,15.96871936917305,0.0016648271377451135,197.5,0.0966552734375,0.1534148870036006,-0.009088779588637408,424.64,0.8161372102797031,189,2.336848383784084
31,317440,446.0,725.0,1.720421763509512,15.968719327449799,0.0020138241014936225,200.0,0.1201416015625,0.12963439263403415,-0.009891783244529505,424.08,0.8024200335144996,189,1.8001839164881148
32,327680,451.5,752.5000000000002,1.7109919495880603,15.968719339370727,0.0019283351215565955,197.5,0.1141845703125,0.16451695854775608,-0.00916766415721213,427.85,0.7700015466660262,189,2.1186359166777278
33,337920,465.0,752.5000000000002,1.7092772476375102,15.968719118833542,0.0020672997604836854,197.5,0.126171875,0.14141275400761516,-0.009855531583161792,422.08,0.8728620741516352,189,2.1157805962435337
34,348160,480.0,752.5000000000002,1.7203431762754917,15.96871919631958,0.0023000231998597147,222.5,0.145263671875,0.16423942744731904,-0.00942370547745668,427.3,0.8361227426677942,189,1.8861933059176625
35,358400,478.0,725.0,1.7187653914093972,15.968719297647477,0.002242834309072646,200.0,0.135986328125,0.13995703957043587,-0.00969715989594988,432.55,0.8487820338457823,190,1.95004762740576
36,368640,490.5,750.0,1.7002398446202278,15.96871924996376,0.002519453871719038,225.0,0.1633544921875,0.12411113474518061,-0.010911955113260773,446.23,0.8883320178836585,190,1.9031394664268533
