P09:episode_rewards,grad_norm,value_loss,advantage_norm,explained_variance,epoch_idx,P01:episode_rewards,policy_entropy,policy_loss,fps,PMM:episode_rewards,episode_length,frames,approx_kl_divergence,clip_fraction
200.0,995912272.3410809,1034810335.9438899,15.96871413588524,-0.11240494325757026,1,0.0,0.2932840840737754,0.060856328376939925,364,85.29411764705883,488.0,10240,6278758.572932868,0.32548828125
200.0,0.044012867005839514,0.005457307617871265,15.96871725320816,-1.7508864402770997e-08,2,0.0,0.8007416382431984,0.0026868772532907315,332,92.61363636363636,452.29545454545456,20480,0.010324723576513862,0.1901123046875
225.0,0.037562168659332,0.007944985466747313,15.968717885017394,-2.1979212760925294e-08,3,0.0,1.0767497856169939,-0.00021475951580214315,350,123.59154929577464,419.3098591549296,30720,0.003007112534260159,0.134814453125
300.0,0.04205337894835011,0.010588866137186414,15.968717789649963,5.960464477539063e-09,4,0.0,1.1908671140670777,0.00018506158776290249,372,151.0,404.43,40960,0.00323168564154912,0.1787353515625
475.0,0.04404194179613964,0.009946080116969824,15.968717753887177,-7.450580596923829e-10,5,47.50000000000001,1.3875292882323265,-0.0006589276585145853,379,192.25,375.17,51200,0.0031098617712814304,0.1872802734375
500.0,0.04973138238329187,0.011215866543352604,15.968717795610427,-1.2665987014770507e-08,6,50.0,1.4246385857462882,-0.0006263291157665663,389,232.0,364.53,61440,0.0026354168045827466,0.1649169921875
500.0,0.053322642894613595,0.010874158050864936,15.968717902898788,4.470348358154297e-09,7,47.50000000000001,1.4949677415192126,-6.556035368703306e-05,393,226.0,355.22,71680,0.0038360630879537895,0.211328125
505.00000000000045,0.050391050096758525,0.008064086432568729,15.968717777729035,-4.097819328308106e-09,8,50.0,1.4857609167695045,-0.0009317589439888252,395,216.5,355.85,81920,0.0036615452089904465,0.21884765625
380.00000000000045,0.050206810277952166,0.008445043326173619,15.968717455863953,4.470348358154297e-09,9,50.0,1.57606221139431,-0.000866313606093172,400,180.5,348.13,92160,0.003948786734167697,0.2333251953125
275.0,0.05014840170635004,0.00707334585335957,15.968717390298844,1.7136335372924803e-08,10,25.0,1.5979485347867013,-0.0010337585776142078,403,141.0,334.27,102400,0.003941842735844148,0.26103515625
277.5000000000002,0.046388236955627396,0.006768678328285205,15.968716490268708,2.2351741790771484e-09,11,25.0,1.5384462669491767,-0.001114584731476498,405,134.75,327.26,112640,0.0041059443009544335,0.26708984375
250.0,0.04801531485459404,0.0071894687487656485,15.968717831373215,1.9744038581848144e-08,12,0.0,1.5199261285364627,-0.0021858857144252397,405,119.75,314.74,122880,0.0035912147329781874,0.2390625
237.50000000000105,0.04229924091270881,0.006381979642958413,15.968717330694199,3.725290298461914e-09,13,0.0,1.4233212187886237,-0.0009268626985431183,409,123.75,319.28,133120,0.0026999657588021365,0.1679931640625
