explained_variance,PMM:episode_rewards,P09:episode_rewards,avg_q_selected,epoch_idx,avg_q_retraced,episode_length,fps,grad_norm,policy_gradient_loss,frames,policy_loss,q_loss,rollout_prob_std,policy_entropy,advantage_norm,P01:episode_rewards,policy_gradient_bias_correction,model_prob_std
-89.10707359313965,0.0,0.0,0.012095135605583588,1,0.012206225640450914,0,322,0.13445378422766757,-0.0001828284332683931,7200,-0.0001828284332683931,0.0006395122201259558,0.0175185350390772,2.1448394815127054,0.0302102530375123,0.0,0.0,0.017518535194297632
-94.48585624694825,0.0,0.0,0.008771636368085941,2,0.008706790891786416,0,192,0.010301403345869993,-0.00014914420504889372,14400,-0.00014914420504889372,5.638371097423563e-05,0.0036948554993917544,2.196060570081075,0.01658091532687346,0.0,0.0,0.003694855507152776
-22.95180474917094,0.0,0.0,0.005779736892630657,3,0.005701788375154138,0,227,0.00345779368462598,-0.00013030649121598497,21600,-0.00013030649121598497,2.7410404224307665e-05,0.002585475092443327,2.1968205134073893,0.019574673660099507,0.0,0.0,0.0025854750613992414
-17.6069362004598,0.0,0.0,0.006686772281924883,4,0.006525007355958223,0,257,0.0034618104216943115,-0.00015716777973769544,28800,-0.00015716777973769544,2.2344664679015598e-05,0.004149219638202339,2.196482801437378,0.026736416310692828,0.0,0.0,0.004149219622680296
-47.3520272731781,0.0,0.0,0.0048433742563550675,5,0.004832777567207814,0,282,0.0014045608515543184,-9.846446270482072e-05,36000,-9.846446270482072e-05,8.757830316123243e-06,0.0020980519009754063,2.196978465716044,0.01401478536427021,0.0,0.0,0.002098051889333874
-25.070349836349486,0.0,0.0,0.0049477263043324156,6,0.004890117359658082,3324.9166666666665,302,0.002091337778032026,-0.00015008039716425022,43200,-0.00015008039716425022,1.1082715794448934e-05,0.00289400393764178,2.1968206723531085,0.020393470426400502,0.0,0.0,0.002894003929880758
-43.86174396673838,0.0,0.0,0.0037722831902404627,7,0.003848762841274341,3324.9166666666665,320,0.0014754150602059662,-7.640460365413068e-05,50400,-7.640460365413068e-05,5.730428809632334e-06,0.0014179734978824853,2.197085444132487,0.010439268390958508,0.0,0.0,0.001417973474599421
-36.13615335623423,0.0,0.0,0.004819807418001195,8,0.004752112870725493,3324.9166666666665,335,0.0017850656946612243,-0.0001112288260628702,57600,-0.0001112288260628702,1.1046713810477134e-05,0.0014134227860874186,2.1971205552419026,0.012915486733739575,0.0,0.0,0.0014134227531030774
-15.634462261199952,0.0,0.0,0.004048432526178658,9,0.0040194844128564,3324.9166666666665,347,0.0011404115982209578,-8.227094337295663e-05,64800,-8.227094337295663e-05,6.660383534532836e-06,0.0020619808540989957,2.197008490562439,0.014780213854586085,0.0,0.0,0.0020619808715612938
-69.44439701239268,0.0,0.0,0.0030917610429848233,10,0.003124090959317982,3324.9166666666665,358,0.0009032819878338723,-7.643898267512365e-05,72000,-7.643898267512365e-05,5.151487895697452e-06,0.0015534519508946687,2.197079968452454,0.011160357513775428,0.0,0.0,0.0015534519819387544
-24.069934471448263,0.0,0.0,0.0038674607950573165,11,0.003777912026271224,3324.9166666666665,367,0.0013551905198565365,-7.831286924708062e-05,79200,-7.831286924708062e-05,7.493664990458153e-06,0.0023738163911427063,2.1969645341237385,0.018895584663065772,0.0,0.0,0.0023738163503973435
-63.64495580991109,0.0,0.0,0.0021728224276254576,12,0.0020942995285925764,3325.25,374,0.0005508031251802919,-7.634351738185311e-05,86400,-7.634351738185311e-05,3.145340883747849e-06,0.000858741890018185,2.197181479136149,0.006777752423658967,0.0,0.0,0.0008587419055402279
-58.956531556447345,0.0,0.0,0.00235753203354155,13,0.002330366747143368,3325.25,381,0.0007209419485761909,-5.012770501101234e-05,93600,-5.012770501101234e-05,3.025906623103462e-06,0.0008019416437794765,2.1971777121225995,0.006409509410150349,0.0,0.0,0.0008019416437794765
-20.38397854566574,0.0,0.0,0.0020942136994563042,14,0.0021044200053438543,3325.25,387,0.000954887620558144,-4.3686991375579964e-05,100800,-4.3686991375579964e-05,4.610697201693862e-06,0.0007763496018014848,2.1971860965092977,0.009336822208327551,0.0,0.0,0.0007763495979209741
-22.849203832944234,0.0,0.0,0.0028829752351157366,15,0.0028313269140198827,3325.25,393,0.0009718014221423921,-6.449490932330567e-05,108000,-6.449490932330567e-05,4.282316397545098e-06,0.0018705439375480636,2.1970734198888144,0.015172367026874174,0.0,0.0,0.0018705439346376807
-133.7119042634964,0.0,0.0,0.0016232486115768552,16,0.0016206898028030992,3325.25,398,0.0004051865292823399,-3.066967310587643e-05,115200,-3.066967310587643e-05,2.0173367810609005e-06,0.0007173634803621098,2.1971856117248536,0.006194586679339409,0.0,0.0,0.0007173634813322376
-16.252011984738093,0.0,0.0,0.002159293245104703,17,0.002151935681116782,3325.1666666666665,400,0.0008537455647040069,-6.270752944442753e-05,122400,-6.203854514585564e-05,3.454937869170703e-06,0.0029675902621792856,2.1971131750893975,0.013517746295565593,0.0,6.689843170685587e-07,0.0015645139634845747
-16.74603931218228,0.0,0.0,0.0011330395823068331,18,0.0011225821921765427,3325.1666666666665,394,0.00043607975418108745,-2.5730627146873624e-05,129600,-2.553257035582112e-05,1.269238685677822e-06,0.0029896899835683472,2.1971964180437977,0.007494479641355278,0.0,1.9805676484136508e-07,0.0007560132454995899
-13.510876689770866,0.0,0.0,0.0009391989647771142,19,0.0009253361963367623,3325.1666666666665,391,0.00038754379989814405,-2.6291525412783278e-05,136800,-2.6174745186162838e-05,1.1665005612724956e-06,0.004112824975488206,2.197207907589655,0.006336666701781002,0.0,1.1678023004006964e-07,0.0005605796709982863
