policy_gradient_bias_correction,policy_gradient_loss,epoch_idx,model_prob_std,advantage_norm,P09:episode_rewards,explained_variance,fps,policy_entropy,q_loss,avg_q_selected,grad_norm,P01:episode_rewards,avg_q_retraced,policy_loss,rollout_prob_std,PMM:episode_rewards,episode_length,frames
0.0,-2.573253688448555e-05,1,0.006380173657089472,0.03127764246116082,0.0,-24.695055198669433,329,2.194393499692281,8.645418559657021e-05,-0.0008325401159860727,0.017345469097665538,0.0,-0.0010243059557978995,-2.573253688448555e-05,0.006380173602762321,0.0,0,7200
0.0,8.501599113515112e-05,2,0.004685269874365379,0.013675616363373895,0.0,-331.5767779191335,195,2.1934308687845867,5.990603846536639e-05,-0.0027834893927016916,0.028519281204982563,0.0,-0.00248950188094265,8.501599113515112e-05,0.004685269940334062,0.0,0,14400
0.0,1.8946140203013327e-05,3,0.0017367207173568508,0.009864741144701839,0.0,-75.30636889139811,232,2.196980428695679,9.73952511837221e-06,-0.0003211108089393141,0.002367365746729348,0.0,-0.00032772686569349695,1.8946140203013327e-05,0.0017367207115360846,0.0,0,21600
0.0,-5.484664370669634e-06,4,0.0034056785594051083,0.022812687186524273,0.0,-30.43488392829895,262,2.196707995732625,1.2349207903146938e-05,0.0002208185734464981,0.0027291071360571475,0.0,0.0002364181914041789,-5.484664370669634e-06,0.0034056786564178763,0.0,0,28800
0.0,-5.10991868433545e-06,5,0.001482562993381483,0.009101703867781908,0.0,-77.468878809611,287,2.197049037615458,4.419279450000128e-06,0.0001868243913728899,0.0011049426921138589,0.0,0.00012287548303599276,-5.10991868433545e-06,0.0014825630651709313,0.0,0,36000
0.0,-1.1589187420923963e-05,6,0.001938374630602387,0.014083507913164794,0.0,-110.68045941988628,309,2.19700775941213,5.936200288185015e-06,0.0003359235931081154,0.0012883603133364181,0.0,0.000336572567660672,-1.1589187420923963e-05,0.0019383746296322594,0.0,3324.0,43200
0.0,-5.569751112943777e-06,7,0.000572028230332459,0.003697379499984284,0.0,-111.4366662979126,328,2.197202698389689,1.8510321638132154e-06,-0.00010686957466532476,0.0005771051493459985,0.0,-0.00011457354897477974,-5.569751112943777e-06,0.0005720282245116929,0.0,3324.0,50400
0.0,2.4619053003031393e-05,8,0.0006198931068259601,0.00476639667370667,0.0,-70.07653312683105,342,2.1971990982691447,2.093969074697573e-06,-0.0008310930822820713,0.0007498118447361888,0.0,-0.0008363038049234698,2.4619053003031393e-05,0.0006198931048857048,0.0,3324.0,57600
0.0,-8.459432137897238e-06,9,0.0012895524026437972,0.009392031173532208,0.0,-47.3456821123759,355,2.1971204837163287,2.7034428702184715e-06,0.0004522658433415927,0.0007336066292738656,0.0,0.000445841583617342,-8.459432137897238e-06,0.0012895523774204775,0.0,3324.0,64800
0.0,-7.788509583406266e-06,10,0.0008563478690727304,0.006058736778019617,0.0,-293.13705512682594,367,2.1971671978632608,1.7763677476523298e-06,0.00030842375972497396,0.0004969080300206075,0.0,0.00030819936267410716,-7.788509583406266e-06,0.0008563478811993263,0.0,3324.0,72000
0.0,-8.454594593191682e-06,11,0.001322578120743856,0.010501557016201939,0.0,-66.43830348650614,376,2.1971398989359536,2.1467908406217854e-06,0.0004501880078654115,0.0006918866406383283,0.0,0.00047147339889003583,-8.454594593191682e-06,0.0013225781057068767,0.0,3324.0,79200
0.0,-1.239507909834477e-05,12,0.0002886945323552936,0.0018149277137126773,0.0,-395.2025563875834,384,2.1972155491511027,6.949831420873427e-07,0.0003288448909491611,0.00018149613843970172,0.0,0.00031618659171120573,-1.239507909834477e-05,0.00028869453090010213,0.0,3323.9166666666665,86400
0.0,6.028564363684078e-06,13,0.0003443787504996484,0.0015103021772423137,0.0,-107.75263579686482,390,2.197215445836385,5.741778196011183e-07,-0.0004354283383387762,0.00035143188976111524,0.0,-0.0004195863022080933,6.028564363684078e-06,0.0003443787335224139,0.0,3323.9166666666665,93600
0.0,2.512250148356543e-07,14,0.000252157138796368,0.002765466309695815,0.0,-130.4747674703598,395,2.1972183704376222,3.923839533589065e-07,0.0001251711112369473,0.00025977991390720113,0.0,0.00012307795986998826,2.512250148356543e-07,0.00025215713685611263,0.0,3323.9166666666665,100800
0.0,-9.472643030505879e-06,15,0.0010979713467046774,0.009075981132142866,0.0,-38.448003911972044,400,2.197171131769816,1.333272660512345e-06,0.00043526892841327935,0.0005010154925785927,0.0,0.0004330906061416802,-9.472643030505879e-06,0.001097971332880358,0.0,3323.9166666666665,108000
0.0,-5.065170542669269e-06,16,0.00036133272442384623,0.0027474767761304975,0.0,-221.28436228434245,404,2.1972108125686645,5.01979816410388e-07,0.0002566251533456428,0.00018958431761603085,0.0,0.0002676433335485247,-5.065170542669269e-06,0.0003613327155714311,0.0,3323.9166666666665,115200
0.0,-1.1493716545787594e-05,17,0.000898530815684353,0.007383755154935191,0.0,-85.11507260719937,404,2.1971856747733227,9.50449525415959e-07,0.0002951075404243713,0.0003817219495609717,0.0,0.00028835182986221573,-1.1493716545787594e-05,0.00147552669367643,0.0,3324.0833333333335,122400
0.0,-5.813233121124818e-06,18,0.0003830049266595043,0.003634008224076492,0.0,-58.015105338853495,399,2.197216955167907,2.7009322122322e-07,0.000194703758807857,0.00017032110192675257,0.0,0.00018714835350568226,-5.813233121124818e-06,0.002261890227261704,0.0,3324.0833333333335,129600
0.0,-2.736129500757357e-06,19,0.0003446884277931164,0.003414210726926108,0.0,-28.326999904822422,395,2.1972187036338937,2.138979983736459e-07,0.00010387488388712982,0.00016608216039985885,0.0,0.0001066635116859245,-2.736129500757357e-06,0.0018488308068683864,0.0,3324.0833333333335,136800
0.0,-5.976265464504476e-06,20,0.0003440383485691374,0.0036136385478727916,0.0,-112.3458936399789,391,2.1972185395634365,1.9830400983836302e-07,0.000200235977078144,0.0001507180309937975,0.0,0.00020035077514457666,-5.976265464504476e-06,0.0019892552483308525,0.0,3324.0833333333335,144000
0.0,-5.907422531289096e-06,21,0.00028453478894089284,0.0030261908005733917,0.0,-716.2839758142309,388,2.197220374487695,1.4343104477979612e-07,0.00019018457747156466,0.00011921347541992975,0.0,0.0001863923345084163,-5.907422531289096e-06,0.002006257314737706,0.0,3324.0833333333335,151200
0.0,-4.153123736262661e-06,22,0.00030053503755286527,0.0030493095313012556,0.0,-247.6989553982398,385,2.197220163301185,1.4956612211813703e-07,0.00017145000442839756,0.00011701457798393781,0.0,0.00016200098014287602,-4.153123736262661e-06,0.001831281311304839,0.0,3324.0833333333335,158400
0.0,-3.168526499641698e-06,23,0.00022993555516848422,0.0024662919258338096,0.0,-239.2274987613272,380,2.1972217131165603,1.096817746696038e-07,0.0001463146162103161,8.75041438272236e-05,0.0,0.00014510907320457848,-3.168526499641698e-06,0.0017353975672412879,0.0,3324.3125,165600
0.0,-3.579377717428397e-06,24,0.00019991515660336594,0.0022690330985219035,0.0,-50.07930840261399,377,2.1972224406432854,8.605204819642e-08,0.00012170736247546743,9.00229732322768e-05,0.0,0.00011838118308583155,-3.579377717428397e-06,0.0017372122168071726,0.0,3324.3125,172800
