P09:episode_rewards,advantage_norm,P01:episode_rewards,value_loss,explained_variance,PMM:episode_rewards,fps,grad_norm,policy_loss,policy_entropy,episode_length,epoch_idx,frames
2.0,1.4772154153883457,0.0,0.024208772318252157,-1.7984822529554367,1.0,271,0.8510953147105272,-0.01375267067720415,1.339177919626236,168.8139534883721,1,8000
2.0,1.1182226737961174,0.0,0.01310105064760137,-0.12706806659698486,1.096774193548387,164,0.27301755520291804,0.004077870964074463,1.3607617354393005,168.79569892473117,2,16000
3.0,1.2706272478401661,0.0,0.014261509472671605,-0.03579840958118439,1.27,171,0.25285108386579347,0.0013241990248207003,1.369341858625412,174.12,3,24000
3.0,1.0593746366351844,0.0,0.01118776508297742,-0.034123138785362245,1.2,172,0.21742510796055825,0.0011046608828473837,1.3814450430870056,174.48,4,32000
3.0,1.1289534072577954,0.0,0.01148058259866957,-0.015010814666748046,1.09,175,0.22468595177405112,0.0008945981285069138,1.3821207475662232,170.89,5,40000
3.1000000000000085,1.336906032115221,0.0,0.015074087465545744,0.023796783089637757,1.31,175,0.29280252151446307,0.0004878000805911142,1.3754229438304901,178.34,6,48000
3.0,1.1200893719494343,0.0,0.011097723271668657,0.04688299715518952,1.3,181,0.2725463379113329,0.0023416226068729883,1.3782187378406525,177.83,7,56000
3.0,1.1377429485321044,0.0,0.011160799799545202,0.20370040118694305,1.1,179,0.3204496156200933,-0.0027551830105949195,1.375215108394623,168.11,8,64000
3.0,1.2750558245182038,0.0,0.012565264466684312,0.2481613725423813,1.08,179,0.3639970484197228,-0.004398393048904836,1.3724450027942658,166.17,9,72000
3.0,1.249393358528614,0.0,0.012887198115931824,0.127871316075325,1.07,182,0.3648522781383066,-0.0037343438959578632,1.3715376794338225,167.28,10,80000
3.0,1.3358771854639053,0.0,0.01276413500541821,0.6887270718812942,1.21,186,0.384175813988847,-0.0033146055354154667,1.372098934650421,174.02,11,88000
4.0,1.235231142640114,0.0,0.011341577956918626,0.7293157744407653,1.43,187,0.3516823762633075,-0.003235011146061879,1.36647714138031,185.36,12,96000
4.0,1.0803802126646043,0.0,0.00913015168014681,0.7717200064659119,1.36,188,0.3292467514891033,0.0017621907638385892,1.3783965015411377,182.9,13,104000
4.0,1.350315375328064,0.0,0.01478743523475714,0.7929324758052826,1.41,190,0.4605783347709783,-0.002621236911800224,1.3584050917625428,183.78,14,112000
5.0,1.3024608406424523,0.0,0.013098553779709619,0.8142513477802277,1.8,191,0.4878812949899873,-0.005339553924277425,1.3324862205982209,199.33,15,120000
5.0,1.0705824279785157,0.0,0.008161014548968525,0.9085991966724396,1.68,192,0.35927412347342513,-0.0020401424693409355,1.3401840269565581,194.22,16,128000
5.0,1.1594157683849335,0.0,0.010150467309576925,0.8487986218929291,2.0,193,0.37501720826709994,-0.004433034906105604,1.3422183096408844,200.59,17,136000
5.0,0.9771573284268379,0.0,0.006942664042580873,0.9309651446342468,1.95,194,0.2909422710450844,-0.0006809474207693711,1.339529435634613,201.37,18,144000
5.0,0.9049661964178085,0.0,0.006302043971954845,0.9210590463876724,2.0,197,0.25319237997286115,-0.0005190726304135751,1.337908948659897,201.88,19,152000
5.1000000000000085,0.829822091460228,0.0,0.005009563452331349,0.9484283804893494,2.14,198,0.23831165518657454,-0.0015719744499074295,1.3304819393157958,209.08,20,160000
5.0,0.9972822654247284,0.0,0.007390529932454228,0.9259169960021972,2.07,199,0.25887814680344645,-0.00023880675056716426,1.345642647743225,209.3,21,168000
6.0,0.9278486788272857,0.0,0.006507045354228466,0.9440738832950593,2.52,200,0.24304645550670378,-0.0027992073621135203,1.3309686613082885,224.2,22,176000
6.1000000000000085,0.7403871002793312,0.0,0.0044439701721421445,0.9625979894399643,2.42,201,0.21716050881520135,-0.0012986818079662045,1.3426991844177245,218.91,23,184000
5.0,0.8838223168253898,0.0,0.006221875937771983,0.9239152532815933,2.17,202,0.25381198275362604,-0.0008667019940912724,1.3476417255401612,210.11,24,192000
5.0,0.7511997710168362,0.0,0.0046347133137169295,0.9432844066619873,1.72,203,0.20833428066696894,-0.0005872083397116513,1.3504600954055785,196.48,25,200000
5.0,0.6806370049715043,0.0,0.003585184297990054,0.9472419607639313,1.47,203,0.1832264509553869,0.0001171184802069547,1.3566042816638946,184.8,26,208000
