PMM:episode_rewards,fps,grad_norm,advantage_norm,P09:episode_rewards,approx_kl_divergence,epoch_idx,frames,policy_loss,explained_variance,value_loss,policy_entropy,clip_fraction,episode_length,P01:episode_rewards
55.5,252,0.04599456136550588,15.968686282634735,102.50000000000021,0.003786863264110707,71,727040,-0.0004737273869977798,1.1175870895385742e-09,0.0032520501554412105,1.5327992163598538,0.2316162109375,294.97,0.0
52.75,252,0.04811986619654288,15.968452733755111,102.50000000000021,0.0030279117654117725,72,737280,-0.001517028664056852,0.0,0.002977723652681258,1.5808975487947463,0.25458984375,296.58,0.0
52.0,252,0.050289000613885984,15.968716406822205,125.0,0.0041386977510910585,73,747520,-0.0006876486499095335,-8.568167686462402e-09,0.0060291353929869725,1.6550801634788512,0.2664794921875,298.36,0.0
62.0,252,0.04947280341758152,15.968712294101715,125.0,0.0028078418602660803,74,757760,-0.001077939987226273,1.0058283805847169e-08,0.004202223919583048,1.6110019586980342,0.2199462890625,298.8,0.0
74.25,252,0.04927155740896774,15.96871713399887,175.0,0.0026938293609589437,75,768000,-0.0007419150198984426,-5.587935447692871e-09,0.0055545881076227484,1.5450037114322186,0.194970703125,300.76,0.0
57.0,252,0.044682271446406,15.96871570944786,125.0,0.0028462605110348704,76,778240,-0.0010962977579765721,1.080334186553955e-08,0.0031492446530251073,1.405604673922062,0.24375,294.66,0.0
47.25,252,0.03874237014960625,15.968684422969819,125.0,0.003733569852641949,77,788480,-0.000995966878326726,1.080334186553955e-08,0.002581730716090647,1.360758078843355,0.2328369140625,294.01,0.0
40.5,252,0.042755826735658545,15.96871645450592,100.0,0.0032413528336263653,78,798720,-0.0008644367273518583,-1.564621925354004e-08,0.003887039193068631,1.3742104016244412,0.2226318359375,293.22,0.0
48.5,252,0.03545662443452503,15.968696010112762,100.0,0.003637523812881227,79,808960,-0.0007648237617104315,-5.960464477539063e-09,0.0035889758897629798,1.1822386905550957,0.2247314453125,295.34,0.0
47.5,252,0.035465071695677766,15.968701577186584,100.0,0.0022314767161560668,80,819200,-0.000372753160627326,-2.4959444999694825e-08,0.0035024997285233892,1.1678838714957238,0.1578369140625,293.97,0.0
54.75,252,0.036320941339649124,15.968679839372635,102.50000000000021,0.0037028236093618718,81,829440,-0.0015520513155934169,-1.1175870895385742e-09,0.0040638342051551035,1.1119944542646407,0.2046142578125,297.28,0.0
42.5,252,0.029933579510445767,15.968658953905106,100.0,0.003924932777321999,82,839680,-0.0010042354435427115,1.4901161193847657e-09,0.0019028714379018651,1.1454160269349813,0.224658203125,295.69,0.0
