policy_loss,clip_fraction,episode_length,fps,grad_norm,approx_kl_divergence,P01:episode_rewards,PMM:episode_rewards,explained_variance,frames,epoch_idx,value_loss,policy_entropy,advantage_norm,P09:episode_rewards
0.006591657353419577,0.29052734375,337.3076923076923,297,21.814789553863253,0.00729171216480696,150.0,259.61538461538464,0.08757327571511268,10240,1,0.9148784258402884,1.5864580869674683,15.968719071149826,387.5
-0.0027883371876669116,0.125439453125,348.26785714285717,224,3.483535918163162,0.0021186775911022785,125.0,262.94642857142856,0.19439916200935842,20480,2,0.186471031839028,1.6742551013827325,15.968719267845154,412.5
-0.0032853643846465276,0.1361572265625,346.75581395348837,221,2.990713911157465,0.0021220535259320545,112.5,245.93023255813952,0.29461388289928436,30720,3,0.13625985328108073,1.7165450364351273,15.968719166517257,387.5
-0.004164627561840462,0.1195556640625,354.16,223,3.1903240687761456,0.0019491873330710814,75.0,262.75,0.5074432384222746,40960,4,0.13539986559189857,1.7313908435404302,15.968719166517257,505.00000000000045
-0.004667998159129638,0.1383544921875,356.46,227,2.6937370849473217,0.0022058690117776917,75.0,264.5,0.5402834165841341,51200,5,0.12439353237859904,1.7401338130235673,15.968719333410263,550.0
-0.004885959426610497,0.1141357421875,367.31,227,3.0209299330783916,0.0019135960654242418,100.0,280.0,0.6761685717850924,61440,6,0.12975703799165786,1.7343048855662346,15.968719154596329,550.0
-0.004098295450603473,0.140576171875,375.66,229,4.321974879156009,0.002171018440379135,100.0,301.0,0.6599549788981676,71680,7,0.17449413863942026,1.7002118431031703,15.968719279766082,577.5000000000002
-0.005280539023806341,0.1122802734375,374.57,230,3.2059975995214116,0.0019074810963960731,125.0,296.25,0.684556958079338,81920,8,0.14884379860013724,1.694280406832695,15.968719321489335,575.0
-0.005780952979694121,0.138134765625,373.79,232,2.846465491092571,0.002212190284422219,125.0,303.25,0.7816018670797348,92160,9,0.11987832151353359,1.7192074470221996,15.968719202280045,575.0
-0.006202883880177978,0.1385498046875,379.31,234,2.569300964174695,0.002174630228933286,150.0,330.75,0.7684433627873659,102400,10,0.13975983778946102,1.7315866269171238,15.9687191426754,600.0
-0.006288173042412382,0.153466796875,379.29,235,2.5646508554308034,0.002412342507432508,150.0,328.75,0.7227651167660951,112640,11,0.14933374323882162,1.7188990265130997,15.96871936917305,600.0
-0.006919982328690821,0.1531494140625,389.5,234,2.0869163234120554,0.0024162452162389465,175.0,352.25,0.8395028568804264,122880,12,0.11091444559860975,1.6992703624069692,15.96871930360794,600.0
-0.006526802407461218,0.1354248046875,390.14,234,2.7871248819622805,0.0021495632627878797,175.0,352.5,0.826954023912549,133120,13,0.13212126423604786,1.679309717565775,15.968719285726547,600.0
-0.0061819759590434845,0.1461181640625,391.85,234,2.2156831340359853,0.0022786195632764424,175.0,348.75,0.808476897329092,143360,14,0.11572095593437552,1.729375882446766,15.968719434738158,600.0
-0.006248641471029259,0.120947265625,392.01,235,2.3662383837681973,0.0019571195246160474,175.0,352.75,0.7020107273012399,153600,15,0.14909629623871296,1.7512311585247518,15.968719202280045,625.0
-0.006433156163984677,0.13564453125,381.07,236,2.2688793286252316,0.0020443010848342027,150.0,327.75,0.6779696509242058,163840,16,0.13988000340759754,1.7456868447363376,15.968719106912612,602.5000000000002
-0.007689544252934865,0.148291015625,377.37,236,1.8553715459220737,0.002405971245730414,150.0,311.25,0.805229788646102,174080,17,0.09123378933873028,1.7370218575000762,15.968719136714935,600.0
-0.008138890194823034,0.13212890625,380.36,236,2.3603390065596868,0.0020778915916710933,147.5,311.25,0.8017260376363993,184320,18,0.11953155109658838,1.7264219254255295,15.968719184398651,577.5000000000002
-0.008162341019487939,0.139306640625,386.25,236,2.15334846964396,0.0022397019769872005,175.0,319.25,0.8245109364390373,194560,19,0.11935869161970913,1.7090781897306442,15.968719166517257,577.5000000000002
-0.008345878794352756,0.1356689453125,400.62,236,2.1820934969833528,0.002124594113866187,175.0,333.25,0.7903441417962312,204800,20,0.13439910314045847,1.7228616245090962,15.968719339370727,600.0
-0.009185424797760789,0.1515625,402.05,237,2.047694533876194,0.002364615890087739,175.0,340.25,0.7764771118760109,215040,21,0.12604221212677658,1.7241421833634376,15.968719065189362,600.0
-0.008320473971252795,0.12958984375,399.04,237,2.1515153138354512,0.0021453351432117553,175.0,348.5,0.8080819562077522,225280,22,0.14334787661209702,1.7213181950151921,15.968719309568405,602.5000000000002
-0.008542569095698126,0.1287353515625,404.39,237,2.0721239094262343,0.0021535733464364036,175.0,377.0,0.8268434196710587,235520,23,0.14516084939241408,1.7129662923514843,15.968719220161438,652.5000000000002
-0.009460377880895977,0.1489013671875,406.24,237,2.054244071622764,0.0023232387387909503,175.0,385.25,0.8616584200412035,245760,24,0.12215143605135381,1.7176136322319508,15.968719238042832,675.0
-0.009291764048248297,0.1531494140625,408.44,238,2.192824828925629,0.002394052132740702,200.0,412.5,0.8397343829274178,256000,25,0.14309627851471304,1.7103374637663364,15.968719357252121,700.0
-0.00943365566781722,0.145068359375,415.3,238,2.0189514725829776,0.0022665437893241115,200.0,436.0,0.8482412006705999,266240,26,0.13397908471524717,1.70708035454154,15.968719178438187,700.0
-0.010346676186600234,0.1474365234375,416.84,237,2.0994395873118634,0.002440023454403543,200.0,451.25,0.9017850019037723,276480,27,0.11176824921276421,1.704457314312458,15.968719285726547,700.0
-0.010256396560362192,0.15361328125,423.3,238,1.8091234937821858,0.002393416754535177,222.5,464.5,0.8687837429344654,286720,28,0.12913314963225275,1.7219892114400863,15.968719285726547,725.0
-0.009328393032410532,0.1515625,420.07,238,2.0547468549177843,0.0023769515526740714,200.0,455.25,0.8696788586676121,296960,29,0.1403729840181768,1.6989882692694664,15.968719148635865,700.0
-0.008640771557838888,0.1370849609375,437.06,238,2.1446647544497304,0.0022719387611917384,200.0,469.75,0.8666969474405051,307200,30,0.16945352868642657,1.7109898649156094,15.968719238042832,725.0
-0.01016727425303543,0.148583984375,441.56,237,1.96402582934924,0.002368206623941955,200.0,472.5,0.8701583772897721,317440,31,0.11905483969021588,1.7097022980451584,15.968719273805618,750.0
-0.010484475812336313,0.1488525390625,437.9,238,2.013122636309985,0.0024290315471265137,175.0,471.25,0.8577584672719241,327680,32,0.15471895872615277,1.6941044315695764,15.968719226121902,750.0
-0.010814448875680682,0.15908203125,441.3,238,1.9638448587952388,0.0025378540172372637,222.5,489.75,0.8861818023025989,337920,33,0.14563880187924952,1.6979232460260392,15.968719393014908,752.5000000000002
-0.0108386434505519,0.156787109375,441.39,238,1.8348735419313844,0.002499566486085649,225.0,495.5,0.8956649895757437,348160,34,0.12454706325661391,1.694743286818266,15.968719333410263,750.0
-0.009910929141915404,0.11953125,431.49,238,1.9931837240645909,0.0019956384678497226,200.0,481.0,0.8374734003096819,358400,35,0.17480722349137068,1.7064685389399528,15.96871930360794,727.5000000000002
-0.011170929380205053,0.1618896484375,435.32,237,1.9560848758142702,0.0027342811539259352,222.5,495.25,0.8220882169902325,368640,36,0.16491182358004153,1.692894547432661,15.96871930360794,727.5000000000002
